gene_name,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene_id,Entrez,Phylostrata
TSPAN6,5163.60216556559,0.43489668542381144,0.14452797758701738,3.009083034888307,0.0026203748874260367,0.0050037525229397455,ENSG00000000003.15,7105,5
TNMD,42.39400834036564,0.4152499405728312,0.3029357148536979,1.3707526719765453,0.17045206913602404,0.22003729315625412,ENSG00000000005.6,64102,8
SCYL3,463.00904586869035,-0.27553482859597916,0.06871302720586839,-4.009935812760223,6.073525588535286e-5,1.5363434324785588e-4,ENSG00000000457.14,57147,4
C1orf112,328.1879266223998,1.260481056741729,0.09355423353687686,13.473265816932564,2.2470298509393633e-41,1.1132932561735271e-39,ENSG00000000460.17,55732,4
FGR,259.9440830945931,0.08082857510324018,0.19476848623449936,0.4149982200196564,0.6781432061621534,0.7198788405576318,ENSG00000000938.13,2268,2
CFH,865.5464293501936,-1.2255950906673554,0.18628960898810942,-6.578977202886197,4.736953855859962e-11,2.55430105043826e-10,ENSG00000000971.16,3075,9
FUCA2,2262.7340041197576,0.34076799480322645,0.07700531532294677,4.425252898116257,9.632936500564461e-6,2.76757965653267e-5,ENSG00000001036.14,2519,1
GCLC,1490.438694223967,0.16544810288702344,0.07311721854846878,2.262778948263046,0.023649319257143035,0.03743136871595975,ENSG00000001084.13,2729,2
NFYA,1101.4886687152646,0.4187187336293979,0.06664810692516561,6.2825300364427035,3.3310688582598785e-10,1.6520846799989364e-9,ENSG00000001167.14,4800,2
NIPAL3,1436.1484215323928,-0.7572132130561556,0.07486380297598424,-10.114543784251303,4.762305163173901e-24,7.547252539511416e-23,ENSG00000001461.17,57185,4
LAS1L,2060.2461364773876,0.9910532819507565,0.09694143804626404,10.223216221300422,1.560748254720897e-24,2.5742637558667668e-23,ENSG00000001497.18,81887,2
ENPP4,1016.1700550018802,-0.4969284815981473,0.10759236471194435,-4.618622175733078,3.862965050311364e-6,1.169352155651689e-5,ENSG00000001561.7,22875,6
SEMA3F,1405.3298624317613,1.0559564211582704,0.1528586003196687,6.908060252743253,4.913253131125643e-12,2.927318195140052e-11,ENSG00000001617.12,6405,8
CFTR,6337.498675215435,-0.015790459315666812,0.19705219336649138,-0.0801333852006337,0.9361311705649793,0.9446818844250968,ENSG00000001626.16,1080,2
ANKIB1,1738.720978509373,0.14947037116541528,0.07905177442635812,1.890790842458023,0.058652270103128124,0.08496943474339527,ENSG00000001629.10,54467,5
CYP51A1,240.25187713135975,0.6363025090479977,0.17253141504230562,3.6880385458611866,2.2598942163154593e-4,5.194055053484006e-4,ENSG00000001630.17,1595,2
KRIT1,209.3772567368622,0.5618035086347704,0.09561653339618971,5.875589593976621,4.213410079559318e-9,1.8410384967475517e-8,ENSG00000001631.16,889,6
RAD52,333.675803863674,-0.26654700641678275,0.08612550781380307,-3.094867167495111,0.0019690105775722485,0.0038408193645824576,ENSG00000002016.18,5893,2
BAD,428.8022112013895,-0.2113508467696933,0.14733880708057168,-1.4344547167001078,0.1514425427327928,0.1982739031685516,ENSG00000002330.14,572,8
LAP3,3815.867281497993,-0.18359800287639463,0.10676211421491394,-1.7196924604434936,0.08548835905218752,0.11891356514035649,ENSG00000002549.12,51056,1
CD99,6097.866869104229,-0.26382051529326955,0.10215573762346213,-2.5825325275971367,0.009807811622730488,0.01676884126202335,ENSG00000002586.20,4267,8
HS3ST1,476.5474282399648,0.685710700126085,0.1337897691856369,5.125285022165208,2.9708797321799825e-7,1.041595960816376e-6,ENSG00000002587.10,9957,8
AOC1,8865.696706078417,-1.9316401855682033,0.16933493285714954,-11.40721617787943,3.848495190794185e-30,9.144814252191843e-29,ENSG00000002726.21,26,1
WNT16,8.191920200473573,-0.7142667812692209,0.33174153909038795,-2.153082135049142,0.03131222401808443,0.04817178491550127,ENSG00000002745.13,51384,5
HECW1,40.34358042124219,1.598463664950208,0.23479744603094277,6.807840936819877,9.907431484754504e-12,5.73574790384515e-11,ENSG00000002746.15,23072,4
MAD1L1,17.740714075823437,0.5054817968841929,0.2284726775527336,2.212438713891831,0.026936366412762897,0.04210703311532812,ENSG00000002822.15,8379,2
SNX11,841.5875513099674,-0.4051257569244572,0.07459636063611268,-5.430905120166582,5.606894043555065e-8,2.1503067859607142e-7,ENSG00000002919.15,29916,5
TMEM176A,7196.551576951288,-0.0437768294953945,0.18725689595189168,-0.23377953197857793,0.8151561404260128,0.839975024281282,ENSG00000002933.9,55365,8
M6PR,2363.8890909397064,0.251797329785278,0.06717729216483413,3.7482506613609607,1.7807224341495208e-4,4.1672308372844743e-4,ENSG00000003056.8,4074,4
KLHL13,229.41626754006387,-0.32702694601296856,0.29561286977690293,-1.1062676204177904,0.2686107022689279,0.32762120646321524,ENSG00000003096.14,90293,7
CYP26B1,102.075737096729,-1.3103496233138419,0.21103348491885576,-6.20920241078179,5.325419358041168e-10,2.5793197034342252e-9,ENSG00000003137.8,56603,2
ICA1,2086.1055539459517,0.871587338776719,0.09614990292423298,9.06488007027462,1.2474140272458866e-19,1.4214382663166154e-18,ENSG00000003147.19,3382,4
DBNDD1,797.5126120624059,2.4147053261881553,0.1584057197523371,15.243801359972855,1.8102455648881987e-52,1.731306249583497e-50,ENSG00000003249.15,79007,8
ALS2,692.9306239618708,0.5626077646513999,0.08464922203454524,6.646343003858918,3.004646106567404e-11,1.6531143225414563e-10,ENSG00000003393.15,57679,4
CASP10,1358.7531157624046,-0.940731433257167,0.11158985930682477,-8.430259157066905,3.449005351670366e-17,3.2790284064211315e-16,ENSG00000003400.15,843,8
CFLAR,2684.260036672232,-0.4614215565103755,0.08215240946410776,-5.616652749691654,1.9469213897911886e-8,7.881782317921641e-8,ENSG00000003402.20,8837,8
TFPI,605.1070604985765,-0.4099512323355867,0.18521914737587672,-2.2133307389848156,0.02687485186882588,0.042017706876529975,ENSG00000003436.16,7035,6
NDUFAF7,433.2112676148893,0.4677402080045915,0.06532387562355703,7.160325432925101,8.048576225574217e-13,5.1989853854948245e-12,ENSG00000003509.16,55471,1
RBM5,1790.2392970801568,0.015350909936343561,0.07619537872756137,0.20146772931244497,0.8403328603477531,0.8619699424151576,ENSG00000003756.17,10181,2
MTMR7,29.837910638734886,-0.49475469120505283,0.18757293134456066,-2.6376657210534127,0.0083478825711861,0.014473038999506301,ENSG00000003987.14,9108,2
SLC7A2,200.52570469424728,-0.7007264873402882,0.27018738459944747,-2.5934833648103686,0.00950091353137935,0.016279598116629906,ENSG00000003989.18,6542,1
ARF5,4274.301422381349,0.3745149909625329,0.12960135254678545,2.889746006526705,0.0038555320345000322,0.007131074235359731,ENSG00000004059.11,381,2
PLXND1,2405.084757940747,0.3029311363718051,0.14419796642020488,2.1008003364557757,0.035658496913056024,0.054162540724409965,ENSG00000004399.13,23129,4
