gene_name,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene_id,Entrez,Phylostrata,cancer_median,normal_median
TSPAN6,3263.261888939,0.010504421312536111,0.2323529026799942,0.04520890934168025,0.9639407928849993,0.9794106881405931,ENSG00000000003.15,7105,5,2705.2439579651373,2305.4031669359592
TNMD,2.21940949208821,-1.2846847106384724,0.6227321999046743,-2.0629810227175143,0.03911443124101702,0.11202206330372015,ENSG00000000005.6,64102,8,0.9090898211808749,4.990194550024949
SCYL3,1157.617993730658,-0.1669116199889818,0.11698771089699765,-1.4267449008891189,0.15365343821873648,0.30115597511270886,ENSG00000000457.14,57147,4,1115.5844076831959,1257.3412100141331
C1orf112,838.112894086634,1.4970943579258087,0.17454969203526757,8.576894868558819,9.746863055260124e-18,2.6518870191108997e-15,ENSG00000000460.17,55732,4,788.3979965084475,258.97743999897403
FGR,609.3876864012321,0.28745988606929346,0.33295903637068985,0.8633491050510451,0.3879455531363761,0.5613230982111567,ENSG00000000938.13,2268,2,436.3952496561627,478.20001393574927
CFH,4877.031268981087,-1.3768142535553134,0.3474017802505394,-3.9631755846569976,7.395934424866774e-5,7.546556588088603e-4,ENSG00000000971.16,3075,9,3297.2048845451304,4060.8839314061106
FUCA2,3426.0951608816545,0.28792510128022064,0.22201099835282956,1.2968956647032301,0.19466708838625404,0.35489180642698426,ENSG00000001036.14,2519,1,3089.99803923505,2930.5268890738976
GCLC,7754.785921857259,0.5282177888751063,0.3407354560626938,1.5502284234779389,0.12108669996250594,0.2553984131292972,ENSG00000001084.13,2729,2,4413.812370165961,4700.191917081067
NFYA,2916.482963944181,0.4258592497274617,0.1994324176194179,2.135356201418267,0.03273192542173189,0.0979792500542727,ENSG00000001167.14,4800,2,2419.1888409780113,1990.7304297741975
NIPAL3,3274.969995474984,-0.6158702389372523,0.15973215557921774,-3.855643447019138,1.1542562206366933e-4,0.001099471890377358,ENSG00000001461.17,57185,4,2921.2435645830883,5122.624474118759
LAS1L,3108.0162113580423,0.4229760494836173,0.14107658961264197,2.998201548853674,0.002715780061253885,0.014279103873921476,ENSG00000001497.18,81887,2,2912.462381585241,2241.395285862179
ENPP4,1940.0571445853107,-1.305809062630082,0.429795189236054,-3.038212374947966,0.0023798616891763094,0.012821844127623912,ENSG00000001561.7,22875,6,1299.1560486347482,3741.516824323605
SEMA3F,8128.898652235422,-0.09388987180479177,0.2851284687207191,-0.3292897136018925,0.7419367183409329,0.8408441723572384,ENSG00000001617.12,6405,8,6372.80782880223,4102.612905243311
