gene_name,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene_id,Entrez,Phylostrata,cancer_median,normal_median
TSPAN6,2289.320930449157,-1.455064287119691,0.12381920602731218,-11.75152332020875,6.935713886197853e-32,3.828536474596033e-30,ENSG00000000003.15,7105,5,1747.1835570013368,4330.862496128896
TNMD,5.812323753532675,-3.4792257701026754,0.583744385908668,-5.960187119721664,2.519492644917147e-9,1.4295673228856526e-8,ENSG00000000005.6,64102,8,0,10.98539182081548
SCYL3,515.8040297993741,-0.43221501010231883,0.08149608985361048,-5.303506105368939,1.1359940288090395e-7,5.12757991682643e-7,ENSG00000000457.14,57147,4,481.7462053041053,673.2533518551925
C1orf112,452.8207150246287,1.0928431129370098,0.10957393971579905,9.973567764118979,1.9895098955278086e-23,5.065541253374791e-22,ENSG00000000460.17,55732,4,415.2118353729575,243.1040938740704
FGR,503.0778406785706,0.1912589599547124,0.17082986219888854,1.119587392349701,0.2628896306335834,0.3324823551511608,ENSG00000000938.13,2268,2,357.97075299514165,393.17063843288105
CFH,4017.554963115598,-0.7450366430898233,0.17182894719878855,-4.335920432707371,1.45151446507802e-5,4.713628374572407e-5,ENSG00000000971.16,3075,9,3085.5680142894234,5522.289638901519
FUCA2,1802.82771422538,0.7697021515033434,0.09419299928564605,8.171543080066645,3.0446974394774686e-16,3.807989268283515e-15,ENSG00000001036.14,2519,1,1664.1075188044474,1029.1963912628314
GCLC,4675.218933798669,0.5587461658005964,0.18613170158770628,3.001886089443566,0.002683125555726744,0.005701120397588901,ENSG00000001084.13,2729,2,2796.8662108980493,2536.582709931493
NFYA,1478.9458389874715,0.444197194385804,0.0737489675594648,6.023097123734535,1.7111069126207263e-9,9.931512161939459e-9,ENSG00000001167.14,4800,2,1440.0431431219267,1142.7470403616585
NIPAL3,2185.0233352773384,-0.3739497675228992,0.08711227066597128,-4.2927335570989245,1.7648674580554225e-5,5.6596674025617775e-5,ENSG00000001461.17,57185,4,1934.8684484093274,2785.940742630408
LAS1L,2783.739610350934,0.32505233077643586,0.07948920460488686,4.089263848998839,4.32744386838148e-5,1.2945581293882577e-4,ENSG00000001497.18,81887,2,2601.676450296707,2269.049191446213
ENPP4,315.2537863854976,-2.3766645366633194,0.24020781350895573,-9.894201616279688,4.411159942532257e-23,1.0843519717725518e-21,ENSG00000001561.7,22875,6,126.89183200752147,780.0038032113728
SEMA3F,5833.28687524888,-0.46646606195585927,0.10611276901597423,-4.39594656026399,1.1029106812827338e-5,3.6555781422785655e-5,ENSG00000001617.12,6405,8,5028.993260735499,7524.068344252374
CFTR,169.88665926274572,-5.097319127846265,0.38452882600233496,-13.256013029866615,4.164550503335376e-40,4.759148031721286e-38,ENSG00000001626.16,1080,2,8.58624514229539,326.4908787609775
ANKIB1,2983.5964236015097,0.23645159685318215,0.10076308272548931,2.346609397584148,0.018945103764193342,0.033156187049046576,ENSG00000001629.10,54467,5,2840.799875368185,2522.2479574882313
CYP51A1,146.55365570538302,-0.29287447025898883,0.18682116085400075,-1.5676728959406687,0.11695749024364589,0.16491232963872143,ENSG00000001630.17,1595,2,113.1802679754786,156.60585574517103
KRIT1,245.00103619177372,0.22759662964898733,0.08947718147112736,2.5436276144038867,0.01097079741238573,0.020311073731242305,ENSG00000001631.16,889,6,223.75279391123388,216.7627417835194
RAD52,313.7800596630593,0.21016830293525748,0.11136656890791534,1.8871758822796942,0.05913667304891254,0.09067676276289233,ENSG00000002016.18,5893,2,272.06382354340974,268.8075704795509
BAD,563.1222719608683,0.23241165703043928,0.11797622602190208,1.9699872157911922,0.04883983574610128,0.07664576988051874,ENSG00000002330.14,572,8,468.93814413569714,430.6709459556803
LAP3,7209.236390316134,0.4896877080307576,0.14512348941212846,3.3742828953080064,7.400826831256638e-4,0.001768507252235877,ENSG00000002549.12,51056,1,5343.038488886025,4884.398646748261
CD99,10937.989685911136,0.11743462532787925,0.12060394726322769,0.973721242071529,0.3301949671994795,0.40410689529727944,ENSG00000002586.20,4267,8,9366.845315620603,9324.003181473507
HS3ST1,899.2098460171168,-2.01176939856013,0.19534658457522294,-10.298462104851643,7.159673074536437e-25,2.0981035101529633e-23,ENSG00000002587.10,9957,8,473.9893968642833,1756.0037080151133
AOC1,302.5279489342651,-0.35746784740325654,0.24872825174925395,-1.4371823260496532,0.15066619356950833,0.20589158406961008,ENSG00000002726.21,26,1,145.5904194706722,197.54911777371075
WNT16,36.417051416664066,-0.08654672265033124,0.3244635779398849,-0.26673786685039336,0.7896709963281533,0.8316822819571762,ENSG00000002745.13,51384,5,9.166043916853255,14.407569350714198
HECW1,111.6811420015315,0.6710726916103588,0.22773092151177765,2.946778975623882,0.0032110262772158584,0.006711785457037295,ENSG00000002746.15,23072,4,71.94002982502563,30.702595570043197
MAD1L1,80.35392680104009,2.48556151393235,0.22920450451107136,10.844296098082527,2.1226347363096142e-27,7.978911584704423e-26,ENSG00000002822.15,8379,2,46.62045538694685,10.264041392366625
SNX11,1588.470216763157,-0.023672067415699518,0.06404921070291997,-0.36959186781392017,0.7116866112723583,0.7655717107595142,ENSG00000002919.15,29916,5,1518.5785282067372,1526.83698429277
TMEM176A,1054.277172256969,-0.048063718104198364,0.18416498086884733,-0.2609818537565881,0.7941065010514995,0.8351438914874942,ENSG00000002933.9,55365,8,761.5242241140705,657.7210805026498
M6PR,3586.05141989339,0.29622789639035974,0.10636206464365472,2.785089753407978,0.00535129083308484,0.010649434799659284,ENSG00000003056.8,4074,4,3519.362816329646,2990.470627876431
KLHL13,683.8197643025196,0.4473648596630259,0.16576026755804463,2.69886665998757,0.0069576047029166225,0.013486945883812225,ENSG00000003096.14,90293,7,542.2899828227023,474.89226713007724
CYP26B1,1531.9133663981847,0.960674478416219,0.22518584198055905,4.266140668378063,1.988834081860226e-5,6.325062522624912e-5,ENSG00000003137.8,56603,2,970.7001859921457,590.2556975900259
ICA1,277.8138064959227,-1.5792726393870313,0.2221638122413988,-7.108595335369133,1.1722990899786738e-12,1.0054289057600728e-11,ENSG00000003147.19,3382,4,116.94071417352757,543.4560936643331
DBNDD1,765.2845592793434,-1.2412064318567957,0.2076395546667007,-5.977697427877642,2.2631357379938593e-9,1.2924801108392475e-8,ENSG00000003249.15,79007,8,447.51984859564413,1601.2245094124057
ALS2,1234.4840527630863,0.08214308081736536,0.07952796777986038,1.0328829355321114,0.3016586854641744,0.3738213333197467,ENSG00000003393.15,57679,4,1185.3274061600573,1107.4573044409108
CASP10,1090.1599635373682,0.029302224454352602,0.1360270926909371,0.2154146197987872,0.8294440726058439,0.8646695706400549,ENSG00000003400.15,843,8,929.3727322160156,859.2236127927493
CFLAR,4740.3231935694985,-0.44144858880111343,0.08780524964005226,-5.027587651202886,4.966884788109988e-7,2.0354219995793975e-6,ENSG00000003402.20,8837,8,4462.517887040845,6227.009812332295
TFPI,808.071200520455,-0.6055796504750748,0.17221744445324041,-3.516366488875049,4.374966303717251e-4,0.0010928300579846097,ENSG00000003436.16,7035,6,551.9664391994138,868.864139378433
NDUFAF7,484.62221806913294,-0.1420520450989151,0.06822248048637435,-2.0821882184023823,0.03732528099610124,0.06053863988018148,ENSG00000003509.16,55471,1,455.149248411572,473.0230690002603
RBM5,1773.045231624623,-0.15890701839055021,0.07789324895467589,-2.0400615011323278,0.04134420059281762,0.06616195157624509,ENSG00000003756.17,10181,2,1650.713851400632,1808.642537614159
MTMR7,44.42435037332527,0.057980736704440254,0.13929393533430554,0.41624738769341574,0.6772289871304611,0.7356148793992029,ENSG00000003987.14,9108,2,35.83492338231031,42.0651852422461
SLC7A2,996.7369059162879,-1.2538553491976032,0.27187443187490173,-4.611891381439439,3.990214982015802e-6,1.4234877398256207e-5,ENSG00000003989.18,6542,1,370.3100875076341,1274.7365445980554
ARF5,5670.121906408247,-0.15438974781667897,0.0867207497744501,-1.7803091903405763,0.07502537390370496,0.11185290714467135,ENSG00000004059.11,381,2,5204.473616594997,5744.537970930993
PLXND1,4095.7859617561226,0.7109493272752364,0.1279767681729638,5.555299898762646,2.7713552946533337e-8,1.3648665186366354e-7,ENSG00000004399.13,23129,4,3658.9800048404636,1563.4246136349093
