gene_name,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene_id,Entrez,Phylostrata
TSPAN6,4314.9875635603585,-1.0621907696305755,0.17062470957695472,-6.2253044841169904,4.80621676874149e-10,1.955070050435881e-9,ENSG00000000003.15,7105,5
TNMD,44.02989485648661,-1.9658558036513096,0.4100157617630634,-4.794585932984992,1.63011177491228e-6,4.394805083139152e-6,ENSG00000000005.6,64102,8
SCYL3,551.1768249636227,-0.783046637109851,0.1013636539729122,-7.725122432140298,1.1174588683954618e-14,7.464137198081342e-14,ENSG00000000457.14,57147,4
C1orf112,116.46902027440024,-0.20467078746540396,0.13502125928070258,-1.5158411983101374,0.1295595118333134,0.16583280756092791,ENSG00000000460.17,55732,4
FGR,367.06177966134464,-0.7384948833528111,0.2358504633908616,-3.1311996285076,0.0017409377529462422,0.0030909608394738297,ENSG00000000938.13,2268,2
CFH,1116.5980106913148,-1.8601742005480033,0.296489037912395,-6.274006666977137,3.5187343076163795e-10,1.4559726827030222e-9,ENSG00000000971.16,3075,9
FUCA2,2622.548012493228,-0.0704305195197655,0.12027206683218226,-0.585593324990735,0.5581488350805562,0.6093539342949305,ENSG00000001036.14,2519,1
GCLC,2277.0953086587847,0.9944147559263078,0.1429952347268611,6.954181080409883,3.5461587814719055e-12,1.8124310619215562e-11,ENSG00000001084.13,2729,2
NFYA,1083.2084903691552,-0.6690425369773824,0.11954499357920134,-5.596575121601609,2.1862761400835564e-8,7.435822680455809e-8,ENSG00000001167.14,4800,2
NIPAL3,3545.6732657806933,-0.7636998853654704,0.1334087526347685,-5.72451110052908,1.0373202559856124e-8,3.653470503590879e-8,ENSG00000001461.17,57185,4
LAS1L,3253.4960683864315,0.9212131191836548,0.08402711855241142,10.963283461982021,5.737902500664814e-28,1.2316576222060147e-26,ENSG00000001497.18,81887,2
ENPP4,3533.0720507331494,0.25540275786074856,0.1683520099099684,1.5170757866053,0.12924755077108738,0.16548320334178854,ENSG00000001561.7,22875,6
SEMA3F,8863.989010217188,1.7610758574896714,0.20901306165195638,8.425673704651881,3.586804375560695e-17,3.06052947036548e-16,ENSG00000001617.12,6405,8
CFTR,19836.813466799947,6.7751358904892305,0.4028084305955006,16.819746996042415,1.749040450785319e-63,2.8125569900314094e-61,ENSG00000001626.16,1080,2
ANKIB1,2603.44061680661,-0.5279988540077337,0.13712773838347161,-3.850416117351899,1.1791731159474927e-4,2.4728452683417835e-4,ENSG00000001629.10,54467,5
CYP51A1,287.3807537932358,0.6862198067371774,0.23924085585295607,2.8683219857687967,0.004126553410761894,0.006924175036208363,ENSG00000001630.17,1595,2
KRIT1,435.99841140772594,0.6822090675718574,0.07221209420267742,9.44729653812703,3.4769465910875985e-21,4.230209858184008e-20,ENSG00000001631.16,889,6
RAD52,381.81453708608194,-0.44873525320994934,0.11559659660278458,-3.8819071356564474,1.0364045734233125e-4,2.1919301565892531e-4,ENSG00000002016.18,5893,2
BAD,833.3706995240101,0.2901749634982903,0.129428749813399,2.2419668266644277,0.024963516385055857,0.03671274181300532,ENSG00000002330.14,572,8
LAP3,6102.087614061392,0.05079064969038032,0.12135854452433868,0.41851729426595224,0.6755689447474755,0.7174573807132127,ENSG00000002549.12,51056,1
CD99,2930.4043487623953,-0.572100183280056,0.23371694049762104,-2.44783361472199,0.014371800610020864,0.022077451878737768,ENSG00000002586.20,4267,8
HS3ST1,1678.7456405298433,-0.3658039825149603,0.2778954944268515,-1.3163365000552334,0.18806112516137882,0.23232925603258975,ENSG00000002587.10,9957,8
AOC1,3821.639948032768,-5.13160582520522,0.5651110140395103,-9.080703963852383,1.0787485726992835e-19,1.151196950486558e-18,ENSG00000002726.21,26,1
WNT16,10.841025311086279,0.49385524560830446,0.47181920437771113,1.0467044177645481,0.2952359255807693,0.34810550893570325,ENSG00000002745.13,51384,5
HECW1,172.78395887322608,-6.858112800359749,0.4837279366488387,-14.177623992261548,1.260422852737211e-45,8.889613909493198e-44,ENSG00000002746.15,23072,4
MAD1L1,9.19414291918085,-1.054420183882828,0.18916684715713108,-5.5740220854184654,2.4892415652772554e-8,8.419440731786928e-8,ENSG00000002822.15,8379,2
SNX11,1448.9390943442068,-0.6289597427672666,0.09977610752574559,-6.303710962115593,2.906022048308569e-10,1.2117108677056073e-9,ENSG00000002919.15,29916,5
TMEM176A,3579.2369729443158,-4.687023413413844,0.33500046931790906,-13.991095066096605,1.7667049877623485e-44,1.1809226855254215e-42,ENSG00000002933.9,55365,8
M6PR,4485.20454472797,0.4899576016566478,0.1122083409037707,4.366498940366946,1.2625390012362069e-5,3.0327878816720526e-5,ENSG00000003056.8,4074,4
KLHL13,2010.7956608967957,-0.5790647267537097,0.2385693940305729,-2.4272381170549564,0.015214266524049256,0.023278853537041656,ENSG00000003096.14,90293,7
CYP26B1,480.65477867822955,-2.1032206181645225,0.3041426264582947,-6.9152444780801705,4.670571886704719e-12,2.3596869562613556e-11,ENSG00000003137.8,56603,2
ICA1,2554.0064338725797,1.2527220277921316,0.17455050028375466,7.176845816859122,7.133806040868361e-13,3.938639117050747e-12,ENSG00000003147.19,3382,4
DBNDD1,1639.7351612199132,0.6616020855209077,0.22410919736170717,2.952141604670945,0.0031557817379303872,0.005393019608131355,ENSG00000003249.15,79007,8
ALS2,1374.6259696317215,-0.3786846157063751,0.11068503602894054,-3.4212810447779174,6.232688857518185e-4,0.0011841351413679397,ENSG00000003393.15,57679,4
CASP10,779.3823229480533,-1.457668640158287,0.18714795772588866,-7.788856784070821,6.761819681528981e-15,4.6174318771634814e-14,ENSG00000003400.15,843,8
CFLAR,5480.891248810122,-0.6709927671185199,0.09196476972452229,-7.296193630761634,2.960228056520639e-13,1.7059958578445076e-12,ENSG00000003402.20,8837,8
TFPI,1538.2978508244184,-2.8615773102553446,0.21371576565496947,-13.389640682265712,6.951623753457177e-41,3.576337185485163e-39,ENSG00000003436.16,7035,6
NDUFAF7,709.8875737295648,0.020850342028904963,0.11804612861621125,0.17662876600293345,0.8597999973238564,0.8817971400084056,ENSG00000003509.16,55471,1
RBM5,2351.886666919323,-0.18924362933282787,0.07655572356104715,-2.471972316765069,0.013436992108137846,0.020757006911956255,ENSG00000003756.17,10181,2
MTMR7,77.80182914365142,-0.6065629936638175,0.24677004034580705,-2.458009054963968,0.013970965145817287,0.021507490709433495,ENSG00000003987.14,9108,2
SLC7A2,1841.2698919346817,-0.008740605275676763,0.2771933729440292,-0.03153251891574502,0.9748448586880819,0.9791943592354838,ENSG00000003989.18,6542,1
ARF5,6196.87881372571,0.4545061417399202,0.09869016626107514,4.6053842946983075,4.11704850734124e-6,1.0525834654773312e-5,ENSG00000004059.11,381,2
PLXND1,4904.2089774249935,1.8392001490268045e-4,0.20451866467445326,8.992822987351246e-4,0.9992824766347471,0.9994245361971218,ENSG00000004399.13,23129,4
AK2,7244.591776645663,-0.6211487407935872,0.08166230074016748,-7.606309584271374,2.820332497509942e-14,1.7972594386872118e-13,ENSG00000004455.17,204,1
CD38,104.69554937617913,-0.4814398399237681,0.2668078116484058,-1.804444318737565,0.07116168067436045,0.0959816361127865,ENSG00000004468.13,952,4
FKBP4,7817.139766023242,0.26833116037390137,0.12026612986636519,2.2311448840339336,0.025671533457355015,0.03766541308776994,ENSG00000004478.8,2288,1
KDM1A,3418.7798759328457,0.05137006388915389,0.08660999387156948,0.5931193571648153,0.5531012767579775,0.6046000244424428,ENSG00000004487.17,23028,2
RBM6,3473.83433431925,0.11514430945627147,0.1042455471133777,1.1045489485612296,0.2693550825480231,0.32092473762580626,ENSG00000004534.15,10180,8
CAMKK1,502.4723630368708,0.5120635638042071,0.16586502221700522,3.0872305502377833,0.0020203083806823938,0.0035546766375380294,ENSG00000004660.15,84254,2
RECQL,925.5282507813376,0.026526424435201323,0.17336183034457603,0.15301190799887776,0.8783888846491181,0.8975826927660815,ENSG00000004700.16,5965,1
ARHGAP33,428.4208856330784,0.09233305158602251,0.18612754255113492,0.4960740915636158,0.619842137738291,0.6676737836590717,ENSG00000004777.18,115703,5
