gene_name,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene_id,Entrez,Phylostrata,cancer_median,normal_median
TSPAN6,3485.895292645316,-0.6147208799077849,0.10397555152632984,-5.912167532500354,3.376348631132523e-9,1.8901795270477608e-8,ENSG00000000003.15,7105,5,2911.111400854602,4662.939242054927
TNMD,29.569097379984207,-2.31548952207696,0.4364471778115931,-5.305314456808145,1.1247892607870225e-7,4.973338731779323e-7,ENSG00000000005.6,64102,8,4.413873737997667,67.92617232896394
SCYL3,473.52219863326536,-0.44952059901182884,0.08675369807422095,-5.181572762780067,2.200227254623937e-7,9.29524543081885e-7,ENSG00000000457.14,57147,4,427.98737650793646,612.1647327557516
C1orf112,121.69619990454578,0.28886076070083067,0.12190717237992339,2.3695140742055507,0.01781147717477069,0.030748417913598412,ENSG00000000460.17,55732,4,109.19093725004228,96.42246092289858
FGR,815.1920044477305,1.2756463973296739,0.2276728343228096,5.602980263868363,2.1069722385573047e-8,1.0445654078023031e-7,ENSG00000000938.13,2268,2,575.0284326921937,329.20524728398766
CFH,3539.1027851190483,0.7599192217374375,0.3257968901271413,2.332493786054499,0.01967472943674924,0.03362183059178932,ENSG00000000971.16,3075,9,1574.2275307309749,1969.2144486535003
FUCA2,4111.173837408241,0.6980652429816951,0.10428733880663114,6.693672031233272,2.1763890066456712e-11,1.6613879973457233e-10,ENSG00000001036.14,2519,1,3830.98696254965,2593.8612053355064
GCLC,2278.201920292015,0.623833348387139,0.145344079091605,4.292113942900694,1.7698008427876356e-5,5.4370113222745744e-5,ENSG00000001084.13,2729,2,1950.7646296096414,1480.8889827295388
NFYA,1206.0530402415145,0.12077610822111966,0.09824864337307176,1.2292903400457769,0.21896296780222665,0.28343901777004243,ENSG00000001167.14,4800,2,1138.0609545345537,1050.1138435551607
NIPAL3,3176.321192612939,-0.3794503758427944,0.14880339861080227,-2.5500114875417133,0.01077193696329285,0.019519582109394203,ENSG00000001461.17,57185,4,2641.586907805733,3426.353400549718
LAS1L,2196.5754457642124,0.23906194752440518,0.0706210119237693,3.3851390827202636,7.114219756209968e-4,0.001646610722342357,ENSG00000001497.18,81887,2,2067.21435563184,1888.163522396159
ENPP4,1667.7385467481172,-0.6336039664878231,0.12290728044185416,-5.155137793383793,2.5344448968548884e-7,1.0592290671505472e-6,ENSG00000001561.7,22875,6,1414.8214508612082,2295.4373467000855
SEMA3F,2509.6672596914414,-0.21432410033954608,0.23043899980358803,-0.9300686972353756,0.35233551687102965,0.4258007334449826,ENSG00000001617.12,6405,8,1660.6896561218132,2696.692462970893
CFTR,135.7521257885661,-0.7006484902462583,0.3395814708168725,-2.063270674223859,0.03908691867012628,0.06215488221005978,ENSG00000001626.16,1080,2,53.0278542358675,165.94864361543281
ANKIB1,4909.980476646202,0.3640158069217063,0.118047853715582,3.083629184811322,0.0020449230568081777,0.004325297053587385,ENSG00000001629.10,54467,5,4703.991386030233,3628.1706927625046
CYP51A1,79.46949173885898,-1.190286333194963,0.25231440810113126,-4.7174727046022635,2.3879242555626425e-6,8.51811979830468e-6,ENSG00000001630.17,1595,2,58.00845938147348,156.06742220773953
KRIT1,370.6325793048471,0.7006775302973787,0.10804920371294714,6.4848005003244555,8.884927145251422e-11,6.257567301100417e-10,ENSG00000001631.16,889,6,356.8034617137804,231.4638135934637
RAD52,644.5980199920474,0.7590810536530308,0.13887164900440363,5.4660620731086755,4.6014326045099444e-8,2.1697036029097673e-7,ENSG00000002016.18,5893,2,556.63857347981,372.9691148858015
BAD,713.6847606882585,0.3256036166848131,0.12070124810298996,2.6975994184168455,0.006984142662002061,0.013196341322939915,ENSG00000002330.14,572,8,626.4337688872323,563.2164467273406
LAP3,3789.4342490527442,-0.8777325810683172,0.13122739908725273,-6.688638098242847,2.2525701844083175e-11,1.7148516232245998e-10,ENSG00000002549.12,51056,1,3134.498547286648,5934.982342447977
CD99,4833.971913403964,0.37381343421732127,0.1341125081542986,2.7873122303196576,0.0053147244386207455,0.010304817434284979,ENSG00000002586.20,4267,8,4285.44771578042,3639.982651839493
HS3ST1,4160.808840640541,1.9204117954273665,0.2207935621379678,8.697770790197923,3.3846733024963834e-18,5.860875089312378e-17,ENSG00000002587.10,9957,8,3983.1059625418,808.7890028540651
AOC1,12506.046522133243,-1.237911489438804,0.3947045835864333,-3.136298743203531,0.0017109482194364199,0.0036774241011941636,ENSG00000002726.21,26,1,5576.356187556048,18523.305754268033
WNT16,4.633554015921034,-0.8682143673981165,0.3298293091048722,-2.6323141801872434,0.00848053992677165,0.015729109526343363,ENSG00000002745.13,51384,5,2.1169560349753707,7.283631360235256
HECW1,318.40671540896716,-3.0932526546353976,0.3643422251941426,-8.48996476592065,2.066997572295239e-17,3.2853194921022903e-16,ENSG00000002746.15,23072,4,67.61357523198062,1007.504064417361
MAD1L1,27.96145346384539,1.1093493729041524,0.19536021479210666,5.678481537731062,1.3589569766710298e-8,6.94492754337496e-8,ENSG00000002822.15,8379,2,22.0591947126629,12.725506584210411
SNX11,1705.2242368811849,0.2171005880283603,0.08373372503075135,2.5927496710391154,0.009521204459065957,0.01745910398782565,ENSG00000002919.15,29916,5,1678.3277078173753,1452.457107155013
TMEM176A,26621.331786595354,0.8924771580173372,0.21161905809442233,4.2173761004981065,2.4716154455431486e-5,7.404233800500447e-5,ENSG00000002933.9,55365,8,24940.010506411665,15810.09845963287
M6PR,3294.7269427264737,0.021721028608535777,0.1472391550235935,0.1475220949553481,0.882719941267784,0.9054862043408833,ENSG00000003056.8,4074,4,3078.463813125085,3425.846376596585
KLHL13,1187.733690586804,-1.1010537771643638,0.25864362432603494,-4.257030421814779,2.0716017542201154e-5,6.297737032232884e-5,ENSG00000003096.14,90293,7,635.5653673951699,2148.9932293092497
CYP26B1,440.7791062690787,-1.7137923526020962,0.2305247375917845,-7.434309959553654,1.0511522803414909e-13,1.0794860078612753e-12,ENSG00000003137.8,56603,2,275.52111376671934,981.5713763533347
ICA1,1164.624559606875,0.06336349359680862,0.15722799745654958,0.403003883671032,0.6869453674567905,0.7415980597260068,ENSG00000003147.19,3382,4,1083.5131080671229,1064.5270939156903
