gene_name,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene_id,Entrez,Phylostrata,cancer_median,normal_median
TSPAN6,4982.525016079209,-0.1911543931996415,0.11516016999978149,-1.6599002346037195,0.09693452427322571,0.13643255238854682,ENSG00000000003.15,7105,5,4274.766641931202,5864.424893023084
TNMD,3.37744171424135,-0.9733710190529274,0.36528996876751635,-2.664653021644883,0.007706779487433169,0.013964320997248172,ENSG00000000005.6,64102,8,0.9511946297158592,2.4831477018304957
SCYL3,538.7381470347034,0.060986427765288675,0.0817020919549583,0.7464487910408708,0.45539635492601116,0.527802114273078,ENSG00000000457.14,57147,4,511.58357523008436,518.6569957166137
C1orf112,253.24004810102886,0.8944403917384027,0.16047180800553273,5.573816378435546,2.4921841816447016e-8,1.1100767590149413e-7,ENSG00000000460.17,55732,4,188.47855026858093,104.96396859181272
FGR,244.14306818301839,-0.8699197928056617,0.1594240564753672,-5.456640685466901,4.8522685051100643e-8,2.0707014159401658e-7,ENSG00000000938.13,2268,2,152.6854518279274,377.75174356256866
CFH,62729.509585361906,-0.5388054965031682,0.16567831656463172,-3.2521183681449237,0.0011454830741347002,0.0024451779097625073,ENSG00000000971.16,3075,9,49133.64441282908,86075.55690321157
FUCA2,2821.798944050332,0.24297334281483945,0.10799604145059757,2.249835637966293,0.024459380826976334,0.03989314090645166,ENSG00000001036.14,2519,1,2630.4888780948077,2404.674710028322
GCLC,4327.415593557395,-0.5637686621914918,0.12686060991663423,-4.44400088066713,8.83012424856642e-6,2.6984943146076687e-5,ENSG00000001084.13,2729,2,3399.147527179754,5840.496329215953
NFYA,868.953251837069,0.6142772198863888,0.09798132624634623,6.269329508175498,3.6260607495834137e-10,2.0674872733070097e-9,ENSG00000001167.14,4800,2,781.1248337325461,601.6372729994051
NIPAL3,435.85433574969915,0.4079459028984106,0.0911148914633092,4.477269262430996,7.560386958507323e-6,2.3345909440403652e-5,ENSG00000001461.17,57185,4,419.6553063301368,334.8216745159308
LAS1L,1952.1240194200573,0.45153064122733605,0.07560877060122549,5.971934705945576,2.3445637140565597e-9,1.2009458021217613e-8,ENSG00000001497.18,81887,2,1809.7093370165592,1438.865118575806
ENPP4,763.9948984748773,0.24335478598372887,0.15482488624348265,1.5718066512964926,0.11599539854085862,0.15996060689821423,ENSG00000001561.7,22875,6,661.9590780283118,615.3203254391724
SEMA3F,899.8238663911388,1.2517813487952691,0.09691143407530015,12.91675601273876,3.6208812654603996e-38,3.2583733265937266e-36,ENSG00000001617.12,6405,8,828.3300321759405,405.81668719942127
CFTR,229.14660432085037,-1.775942152419728,0.4526665658684951,-3.9232898701329315,8.734795125731786e-5,2.2750037707505792e-4,ENSG00000001626.16,1080,2,8.107250275130381,450.42239653130713
ANKIB1,993.058641258292,0.14815036717104105,0.10013270056523228,1.4795403133517533,0.1389959652578232,0.18771015430833787,ENSG00000001629.10,54467,5,917.4931420967082,926.3698260698173
CYP51A1,194.3727374158573,0.12318482919702968,0.23549378661287404,0.5230916321352123,0.600910488389852,0.6663523599868322,ENSG00000001630.17,1595,2,120.55070394964558,159.90017091960456
KRIT1,177.37936096756718,0.2734288412347391,0.06976478746348476,3.9192958392921806,8.880805225907044e-5,2.3099319624958953e-4,ENSG00000001631.16,889,6,169.90844537503628,145.2703818948025
RAD52,224.59368824278587,0.4087578722218572,0.09301436642543562,4.394567075286541,1.1099372924913357e-5,3.338090979626659e-5,ENSG00000002016.18,5893,2,215.46474895406882,166.02390684375152
BAD,459.31556981896637,0.19129468817727535,0.1047179356814712,1.8267614514399089,0.06773564418973078,0.09947120805611759,ENSG00000002330.14,572,8,404.93735335126433,373.6028072251247
LAP3,6095.395095825514,-0.9300145719784526,0.1315374301234242,-7.070341659448579,1.5455269646338193e-12,1.1885665133520325e-11,ENSG00000002549.12,51056,1,4363.024333212532,9799.808966498716
CD99,8373.723140020002,0.056070679624172594,0.09466680905016026,0.5922950206810386,0.5536530496442721,0.6227659739184382,ENSG00000002586.20,4267,8,7789.993887457596,8073.533633359944
HS3ST1,89.05080620370083,-0.08931101973165692,0.20396290224570862,-0.43787874534196586,0.661474183986274,0.7205658777557145,ENSG00000002587.10,9957,8,50.93182229924803,67.68524566733024
AOC1,175.55178960589186,-2.0763459555217465,0.36552886647438265,-5.6803884616518046,1.3438916689246282e-8,6.197632316315212e-8,ENSG00000002726.21,26,1,14.89515557808197,239.19571945105668
WNT16,3.899923647178221,0.6307457170405272,0.32866458313542996,1.9191167816844483,0.05496955610256788,0.08253541803744849,ENSG00000002745.13,51384,5,1.69730662282879,1.4959644374416514
