gene_name,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene_id,Entrez,Phylostrata
TSPAN6,3043.4175266146967,1.1057865246426581,0.10237480853788036,10.801353774776526,3.3916553299566404e-27,5.349269888309298e-26,ENSG00000000003.15,7105,5
TNMD,6.698799306322729,1.580152223056939,0.46730996291856153,3.381379273808278,7.212291763146357e-4,0.001449046046468515,ENSG00000000005.6,64102,8
SCYL3,752.5047541098601,0.4775608984724519,0.06538877069485353,7.303408420094961,2.8056786627644287e-13,1.6163302582001294e-12,ENSG00000000457.14,57147,4
C1orf112,371.35511011398177,1.7379290047132316,0.09950413317386662,17.465897639412574,2.6057040110476404e-68,3.152365384894782e-66,ENSG00000000460.17,55732,4
FGR,1344.258696846006,-2.107527118073129,0.13712079565483923,-15.369857708368329,2.6074117461182057e-53,1.662801044233801e-51,ENSG00000000938.13,2268,2
CFH,5233.651054306188,0.1743137886225476,0.14936877844123603,1.1670028398279049,0.24320922270754203,0.30120509913676347,ENSG00000000971.16,3075,9
FUCA2,2376.9182454768356,0.23933911776276243,0.08786963636090762,2.723797749426469,0.006453601391548427,0.011046397821087822,ENSG00000001036.14,2519,1
GCLC,4285.89883793985,2.228746357831959,0.21534407913826825,10.349698801799533,4.1980441100256e-25,5.773258053416348e-24,ENSG00000001084.13,2729,2
NFYA,1876.8492222010777,0.792803940710087,0.07531384335291653,10.526669539291087,6.50970382494124e-26,9.378761731394326e-25,ENSG00000001167.14,4800,2
NIPAL3,2326.308582728113,-0.5394702565412431,0.08930514170251323,-6.040752483639599,1.5339714085729167e-9,6.262092690435667e-9,ENSG00000001461.17,57185,4
LAS1L,1987.3581484144677,0.3597946873160604,0.05879621217808762,6.1193514681911765,9.395696229093543e-10,3.920799157870597e-9,ENSG00000001497.18,81887,2
ENPP4,2340.7963975133175,-0.6140277161819727,0.10194926259632117,-6.022875502427909,1.7134524330600459e-9,6.962995349640275e-9,ENSG00000001561.7,22875,6
SEMA3F,1796.8548846836031,-0.2556259873421365,0.1310541649625003,-1.9505369204807876,0.05111215729953535,0.07374241901795117,ENSG00000001617.12,6405,8
CFTR,1070.592720033303,-1.240636563494398,0.24756642756892938,-5.0113279723639845,5.405569428292766e-7,1.6601753699243365e-6,ENSG00000001626.16,1080,2
ANKIB1,3183.654598436164,0.606877401091785,0.0796299254965919,7.621222766530893,2.51283847074372e-14,1.574178873242483e-13,ENSG00000001629.10,54467,5
CYP51A1,135.367538197183,-0.8796220870654464,0.1359459349212943,-6.470381682061345,9.77556728221424e-11,4.4947284710408935e-10,ENSG00000001630.17,1595,2
KRIT1,300.57631991049595,0.3144349879592965,0.08184588744208379,3.8417933727189233,1.22138637342239e-4,2.762677244871222e-4,ENSG00000001631.16,889,6
RAD52,389.2519829262238,0.40904583735057765,0.08772140453377113,4.6630105790554515,3.11616727379736e-6,8.732614012338658e-6,ENSG00000002016.18,5893,2
BAD,480.4996075665555,-0.01088016666026485,0.09795667812734474,-0.11107120890849848,0.9115598794093756,0.9310806223651459,ENSG00000002330.14,572,8
LAP3,5924.962938882649,-0.2656537435515049,0.08439682330394135,-3.1476746772185535,0.0016457474288545117,0.003117983003595994,ENSG00000002549.12,51056,1
CD99,8070.709158506673,-0.07220504916566409,0.09903947543031674,-0.7290532270283165,0.4659691040931652,0.532497281732071,ENSG00000002586.20,4267,8
HS3ST1,1104.8242786003675,1.51958521528409,0.16543814176271712,9.185216897948386,4.106987928346243e-20,3.975823357417416e-19,ENSG00000002587.10,9957,8
AOC1,1818.8467431805516,4.972594035070365,0.29912240593208506,16.623943698150715,4.675340353064586e-62,4.3022544685146664e-60,ENSG00000002726.21,26,1
WNT16,34.214864618528225,1.8601371848184518,0.28752229273726254,6.4695407340753315,9.830122938052773e-11,4.5162788653068775e-10,ENSG00000002745.13,51384,5
HECW1,81.28934875768168,2.3839375277093273,0.19021953001515082,12.53255923573909,4.953790319233723e-36,1.3154567927762476e-34,ENSG00000002746.15,23072,4
MAD1L1,34.88687497742381,-0.43747490205279876,0.14594261625654711,-2.997581606210059,0.0027213099007085445,0.004976908103056536,ENSG00000002822.15,8379,2
SNX11,1311.1961653963033,-0.09045523821121274,0.06961409226340007,-1.2993811349138282,0.193813162580613,0.24603020758659244,ENSG00000002919.15,29916,5
TMEM176A,3495.960919765051,0.9605540322511043,0.16398593509514964,5.857539134034645,4.697761413416848e-9,1.816953645680068e-8,ENSG00000002933.9,55365,8
M6PR,3366.3280578617423,-0.2991677766087048,0.08267035549978743,-3.618803557817942,2.9596819041706533e-4,6.30518933935423e-4,ENSG00000003056.8,4074,4
KLHL13,160.96315118207866,-0.2112968633051069,0.2062220819624589,-1.024608331437425,0.30554803177916945,0.36865268072194585,ENSG00000003096.14,90293,7
CYP26B1,295.50922852892677,-1.095367240932099,0.17336934247301722,-6.3181138332031175,2.6477495873419805e-10,1.1670583345064046e-9,ENSG00000003137.8,56603,2
ICA1,1994.4027745846486,1.1534584478351695,0.09689671375806944,11.903999662105269,1.1280795381147608e-32,2.470782515509822e-31,ENSG00000003147.19,3382,4
DBNDD1,1420.779857953535,1.9670807451819237,0.12450102978841358,15.799714657179372,3.125279706028827e-56,2.2792930877319813e-54,ENSG00000003249.15,79007,8
ALS2,1361.3815184064513,0.010700534463267386,0.05957647240676327,0.17961007140887103,0.8574586974298579,0.8873587591864126,ENSG00000003393.15,57679,4
CASP10,1796.0776921448912,-0.10530895775703457,0.08757374876959573,-1.202517412313817,0.22916312400928907,0.2855808398180413,ENSG00000003400.15,843,8
CFLAR,7844.416113982585,-0.7167109166098717,0.08971699887583932,-7.988574357037272,1.365081223359347e-15,9.408492955837805e-15,ENSG00000003402.20,8837,8
TFPI,9062.15261643459,-0.3462416494636064,0.18001782397008353,-1.9233742627682633,0.05443306419884015,0.07810630118226791,ENSG00000003436.16,7035,6
NDUFAF7,593.6159848482138,0.5651646672416234,0.05907744879018941,9.566504289120155,1.1058146613446063e-21,1.2061913143751707e-20,ENSG00000003509.16,55471,1
RBM5,2736.386532012184,0.04127103476156576,0.08080292543678645,0.5107616406023915,0.6095179724319129,0.6701976723636401,ENSG00000003756.17,10181,2
MTMR7,227.3261597661343,1.3566394630966652,0.24302925265750727,5.582206455650548,2.374862244513715e-8,8.53518643106882e-8,ENSG00000003987.14,9108,2
SLC7A2,5534.878854089538,1.0242308846467718,0.26018544653735226,3.9365417946223715,8.26642288660364e-5,1.9164850219516825e-4,ENSG00000003989.18,6542,1
ARF5,3906.3762478895615,0.33428738684913406,0.09380072436914381,3.563803894878017,3.6551907436191124e-4,7.679877450951879e-4,ENSG00000004059.11,381,2
PLXND1,9796.794630321914,-0.3655293769678997,0.11369242314236878,-3.2150724460342777,0.001304116051475722,0.0025161689359421585,ENSG00000004399.13,23129,4
AK2,7149.848126741873,0.6369936442529915,0.07533887038145207,8.45504639275578,2.7897640934961156e-17,2.1894937313065392e-16,ENSG00000004455.17,204,1
CD38,1169.843966608399,-0.3073125679769989,0.17546846486371256,-1.7513834649188416,0.07987987926492998,0.11059558924548388,ENSG00000004468.13,952,4
FKBP4,4034.035344858387,1.1219522862243465,0.118425424776216,9.473913970285155,2.6954996612956993e-21,2.8575769991772164e-20,ENSG00000004478.8,2288,1
KDM1A,3976.178679371627,0.6432057275732023,0.06738225808643661,9.545624409738702,1.352901230012435e-21,1.4632891478859188e-20,ENSG00000004487.17,23028,2
RBM6,3246.268690013984,0.09684107944718139,0.08737300570757475,1.108363832317901,0.2677047181586711,0.3277134065063724,ENSG00000004534.15,10180,8
CAMKK1,546.7839670097325,-0.09932594673232926,0.1083229655768713,-0.916942646495795,0.3591726949823861,0.4248900078430441,ENSG00000004660.15,84254,2
RECQL,1007.8786301307133,0.04061192874582423,0.1059686793473588,0.38324464356775484,0.7015383794815491,0.754257362204364,ENSG00000004700.16,5965,1
ARHGAP33,407.8214679858091,1.283396647959851,0.15821849265781557,8.111546421665741,4.99795595332654e-16,3.576564408980177e-15,ENSG00000004777.18,115703,5
NDUFAB1,2190.209044782055,0.4593432789801211,0.08327197978065505,5.516180595082133,3.464462553578891e-8,1.2232080533593177e-7,ENSG00000004779.10,4706,1
PDK4,3226.0958769032377,-2.39911897600752,0.19065355724799032,-12.58365703025879,2.597222226406392e-36,7.009943690208275e-35,ENSG00000004799.8,5166,2
SLC22A16,12.755719765010136,-0.4722546829843394,0.22735030124592515,-2.0772115998804015,0.03778203371613091,0.056132644399538134,ENSG00000004809.14,85413,8
ZMYND10,446.29707735674344,-1.9768691220142762,0.24943633112740146,-7.9253455704677425,2.2751273414681905e-15,1.5429977400925158e-14,ENSG00000004838.14,51364,2
ABCB5,8.614211555170153,-0.819475539326412,0.28805328696857924,-2.844874807541426,0.004442888129893256,0.007824847674883293,ENSG00000004846.16,340273,1
ARX,175.2311309909062,1.6236204741063753,0.31333142197336583,5.181799079967116,2.197558659725966e-7,7.054724135683147e-7,ENSG00000004848.8,170302,4
SLC25A13,1664.0444305483102,1.058288005543328,0.08728379979210318,12.124678440489644,7.816640569934822e-34,1.8299480737799037e-32,ENSG00000004864.14,10165,2
ST7,1589.3313016896868,-0.6502231434546253,0.0799970329658391,-8.12809074721919,4.361046946870457e-16,3.1355172883346005e-15,ENSG00000004866.22,7982,5
SLC4A1,9.339346698287626,-3.411204783988731,0.2259450753830726,-15.097495611290904,1.682015082860078e-51,9.883760914754797e-50,ENSG00000004939.15,6521,2
CALCR,44.58991339860494,1.5882618611888786,0.27247503396607203,5.829017939994625,5.575451012625269e-9,2.1389202247930907e-8,ENSG00000004948.16,799,5
HCCS,1037.2872893142603,0.22761660786684854,0.06973341385978142,3.264096725918733,0.0010981366869004037,0.0021428747256641355,ENSG00000004961.15,3052,2
DVL2,1493.8785355502773,0.20914008900840814,0.0726812708845606,2.8774963131916693,0.004008445942278958,0.007123451436263734,ENSG00000004975.12,1856,4
PRSS22,1292.0193548447494,1.6557826346018107,0.16242748506942473,10.193980617837532,2.1094583760132402e-24,2.78103690322284e-23,ENSG00000005001.10,64063,6
SKAP2,3146.5455446727524,-0.2342222793195068,0.09953097645414606,-2.353260137334361,0.01860960990787507,0.029283438574622237,ENSG00000005020.13,8935,5
SLC25A5,12433.824281397327,0.27082182667411603,0.09483443519361154,2.8557330058560813,0.004293760406426591,0.007584936516965642,ENSG00000005022.6,292,2
HOXA11,21.98023372962075,4.0488396972295035,0.47525401597624195,8.51931716749955,1.604967588476285e-17,1.2811397596894047e-16,ENSG00000005073.6,3207,8
POLR2J,1589.1834175488802,0.7516263023835983,0.10222992820829695,7.352311750157295,1.9480779097103816e-13,1.1361163853695892e-12,ENSG00000005075.15,5439,1
MEOX1,66.14538769654231,-1.1857101378040937,0.2135621921590026,-5.552060155485301,2.823223999151998e-8,1.0058698376536955e-7,ENSG00000005102.14,4222,5
LIG3,1538.932558199232,0.8026307292147707,0.07257616294531523,11.05915078232419,1.9796290722616877e-28,3.3815648932450165e-27,ENSG00000005156.12,3980,4
RPAP3,1376.4046320775094,0.5606564013733881,0.06041499974458561,9.280086133305565,1.6934161425194353e-20,1.6910727407198819e-19,ENSG00000005175.10,79657,2
ACSM3,622.2775424090225,0.0237347477687524,0.1601844964358364,0.14817131680567852,0.882207567794903,0.9078088681386872,ENSG00000005187.12,6296,1
CIAPIN1,2107.1200461847075,0.29810899262181345,0.06899544135765252,4.320705640195881,1.5553103612900257e-5,3.983225271835043e-5,ENSG00000005194.15,57019,2
COPZ2,486.7947358341983,-0.24666887877831511,0.13110589230992123,-1.8814476941678147,0.05991104415641623,0.08518808694987103,ENSG00000005243.10,51226,2
PRKAR2B,783.4470619003193,-0.22097785597000313,0.1530398482169057,-1.4439236482828177,0.1487604537086475,0.19371165450163977,ENSG00000005249.13,5577,1
MSL3,1446.64819158945,0.020806382791161784,0.05484444188593139,0.3793708546517091,0.7044124904251013,0.7568924262337894,ENSG00000005302.19,10943,4
CREBBP,5341.1698117699325,-0.054607360720952756,0.07088544318449287,-0.7703607153703856,0.4410859498289138,0.5080560156341943,ENSG00000005339.15,1387,2
MPO,26.8805637240388,-0.6050695620205024,0.1869531747974413,-3.236476527751288,0.0012101517839692053,0.002345766886428149,ENSG00000005381.8,4353,7
PON1,87.34859723176102,1.6978943562454987,0.24460280597925482,6.941434500099316,3.881381868673048e-12,2.0178574368570335e-11,ENSG00000005421.9,5444,5
GCFC2,704.5389168271938,0.18855204331830144,0.0732118167872072,2.575431830442547,0.010011500603939323,0.016566218293580987,ENSG00000005436.14,6936,9
WDR54,712.8224923906864,-0.22729680238178487,0.11758394771066341,-1.9330597994642076,0.05322883159323935,0.0765144689821672,ENSG00000005448.17,84058,2
CROT,700.7986742572672,0.011331741491101565,0.09202278418255032,0.1231406068808156,0.9019957563158176,0.9237573808519701,ENSG00000005469.12,54677,5
ABCB4,96.38950892571432,2.033226176842941,0.18694612141988112,10.876000857361003,1.5000041625634643e-27,2.4205441827666916e-26,ENSG00000005471.19,5244,1
KMT2E,3971.1605205346345,-0.22601908747304525,0.07021000528580296,-3.2191863047580225,0.0012855493216357707,0.002482325614817583,ENSG00000005483.21,55904,3
RHBDD2,5691.716032839616,-0.4327775521094502,0.0867932181685452,-4.986306087522094,6.154461571701413e-7,1.8775603933011512e-6,ENSG00000005486.17,57414,9
SOX8,53.14886431995427,0.6909171665410747,0.21813260280899724,3.167418155946456,0.0015379899463572196,0.0029259581177332925,ENSG00000005513.10,30812,6
IBTK,3254.9626583271884,0.22281563516192515,0.07283988936384948,3.058978220696046,0.002220932953149371,0.0041232007204320765,ENSG00000005700.15,25998,3
ZNF195,1201.22688619075,0.7268912267486847,0.0876176004170244,8.296178202655355,1.0751421930217223e-16,8.075935687648375e-16,ENSG00000005801.18,7748,2
MYCBP2,2495.7429710904566,-0.18741652801643272,0.10102253064630576,-1.8551953392714406,0.0635683370048177,0.08994380674965316,ENSG00000005810.18,23077,2
FBXL3,1953.463289086801,-0.7534072987135668,0.0731306939263173,-10.302203606500179,6.886540896922927e-25,9.339402793047503e-24,ENSG00000005812.11,26224,6
ITGAL,1819.0164088520276,-1.2107305800089132,0.13563117302496988,-8.926639451728521,4.391458223078049e-19,3.9405290377371155e-18,ENSG00000005844.19,3683,8
PDK2,857.1073055340495,-0.2712254805131659,0.0939258436393832,-2.887655516350782,0.0038812468625271028,0.006917428276629287,ENSG00000005882.12,5164,2
ITGA3,24702.06532867278,0.2723264927378842,0.14290016172369352,1.9057115783006924,0.056687636276751344,0.08101075436791207,ENSG00000005884.18,3675,5
ZFX,1619.5938059962612,-0.1846350144999442,0.08053315817167589,-2.2926583123233546,0.02186768436444689,0.03398766147601715,ENSG00000005889.16,7543,8
LAMP2,10989.668852772538,-0.01817475612869917,0.08142404905353409,-0.22321115616284032,0.8233711696074025,0.8591508452425491,ENSG00000005893.16,3920,6
ITGA2B,95.5277782439425,-0.30082638397710604,0.21563395527121193,-1.395078913238613,0.16299204421468858,0.21044484131718205,ENSG00000005961.19,3674,5
ASB4,69.56324721003452,0.45588042478724955,0.24720630862741488,1.8441294128716785,0.06516428233127662,0.09198045451880173,ENSG00000005981.13,51666,8
GDE1,4984.617284640229,0.17097262901727675,0.08307323637537328,2.0580951998152908,0.03958099571888651,0.0585292770496217,ENSG00000006007.12,51573,1
CRLF1,5665.674781664204,4.049625340360448,0.3347990363341552,12.095689953894045,1.1130320101205791e-33,2.5851126861823706e-32,ENSG00000006016.11,9244,8
OSBPL7,941.8419421870906,0.6142973945254514,0.11982884452654129,5.126456797214535,2.9524576661256136e-7,9.341803167749604e-7,ENSG00000006025.12,114881,2
TMEM98,3601.1984729107253,-0.10074062325222372,0.13455267589995318,-0.7487076907123686,0.45403340724861097,0.5207382372394913,ENSG00000006042.12,26022,4
YBX2,251.34016757012594,4.738854718558854,0.279277623844016,16.968257797859348,1.410550887793868e-64,1.4505047416906293e-62,ENSG00000006047.13,51087,6
KRT33A,0.5506865891146693,0.940092008642378,0.798383675257187,1.1774940267153406,0.23899838027977197,0.296615284556252,ENSG00000006059.4,3883,10
ABCC8,56.76639552535196,-0.12209902970733487,0.3135202814929007,-0.38944539449228477,0.6969466972823081,0.7500852586230193,ENSG00000006071.15,6833,1
CACNG3,0.7085524194873328,1.360883389704932,0.47873446220467963,2.842668529517926,0.004473757167299327,0.0078732087460476,ENSG00000006116.4,10368,8
TMEM132A,2416.316469721992,2.0105976404038137,0.14898395206474482,13.495397407165415,1.6645517530141943e-41,5.892255357722277e-40,ENSG00000006118.15,54972,10
AP2B1,12959.150998170764,0.07809302516273922,0.07288606992458156,1.071439648804573,0.2839717932543435,0.3454882360297824,ENSG00000006125.18,163,2
TAC1,16.147581661808726,1.2723883931234978,0.6291858931048536,2.0222773699591747,0.04314770515519694,0.06328190932942711,ENSG00000006128.12,6863,8
ZNF263,1439.501476935919,0.190944045014275,0.050921477379559515,3.749774257157005,1.7699382970361475e-4,3.90301141757293e-4,ENSG00000006194.10,10127,10
CX3CL1,5072.266132423466,-1.0895041205096885,0.19392548719183386,-5.618158480798016,1.930034325202466e-8,7.000169508113809e-8,ENSG00000006210.7,6376,9
SPATA20,3210.8201746703335,0.9039573429816894,0.10063662924051035,8.982388915484558,2.6495041704895274e-19,2.413243025791535e-18,ENSG00000006282.21,64847,1
CACNA1G,53.92411727828911,1.2176326411192904,0.23124089952756857,5.265645669113669,1.3969749726342684e-7,4.6035708659962637e-7,ENSG00000006283.18,8913,2
TNFRSF12A,4016.458144000957,0.4313453134075563,0.15325041371180065,2.8146437126018777,0.0048831338559119294,0.008534435729561309,ENSG00000006327.14,51330,10
DLX6,43.37666549450408,5.007706818633171,0.44269820626597484,11.311784750319319,1.1473169154261526e-29,2.1124703080673203e-28,ENSG00000006377.11,1750,8
RALA,3743.5405558396697,-0.4163918726692126,0.07239285181265305,-5.751836849124299,8.82789736124737e-9,3.3110048523770227e-8,ENSG00000006451.8,5898,4
BAIAP2L1,3190.6236167764073,1.2291697975693558,0.1028917541839902,11.94624202218736,6.7927940784073e-33,1.4989699507893103e-31,ENSG00000006453.14,55971,6
KDM7A,1948.2910541543918,0.014183080390023877,0.09103333178843784,0.15580095896067458,0.8761899147159542,0.9029040926448378,ENSG00000006459.11,80853,5
ETV1,2207.400294612536,-1.1615782200243938,0.1569895309338125,-7.39908077382638,1.3713042432849523e-13,8.090340998141127e-13,ENSG00000006468.14,2115,5
AGK,1294.9601994835698,0.5387843184064317,0.05958246517403205,9.042665771426512,1.5289679036338901e-19,1.4167838878164633e-18,ENSG00000006530.18,55750,4
TTC22,874.3647329606351,0.9530722884524756,0.12012609664613187,7.933932051917422,2.1231428736330822e-15,1.4413473480962134e-14,ENSG00000006555.11,55001,7
CCL26,25.577480661157544,1.2542154915919,0.24077284643022653,5.209123496221816,1.897347999641523e-7,6.142264699295983e-7,ENSG00000006606.9,10344,11
