gene_name,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene_id,Entrez,Phylostrata,cancer_median,normal_median
TSPAN6,3387.683947037166,1.1187823923745248,0.10967109847613386,10.201250903108162,1.9573505539245676e-24,1.4247047169475e-23,ENSG00000000003.15,7105,5,3075.5256874784263,1547.54646653958
TNMD,1.2733597979752436,-1.3416163635213068,0.3564472581445124,-3.7638565955173733,1.6731285468681896e-4,3.2192216661748314e-4,ENSG00000000005.6,64102,8,0,2.2826486773783166
SCYL3,746.8362836947387,0.2211956392314219,0.06639160306706894,3.331680950796889,8.632315962617533e-4,0.0015315987545831515,ENSG00000000457.14,57147,4,708.0814474711152,644.3080869172829
C1orf112,671.0616265970913,2.2456189601069614,0.09578301517297398,23.44485560463524,1.4916987092951562e-121,2.2242524884903208e-119,ENSG00000000460.17,55732,4,635.3769722345417,149.3209146854859
FGR,1342.673712781535,-2.4589381319051826,0.15199375535471957,-16.177889191345848,7.222848140784074e-59,2.1036736899209327e-57,ENSG00000000938.13,2268,2,713.3989095351612,4799.08391156913
CFH,4759.613871729637,-0.7758176988156708,0.16296964488486318,-4.760504321917005,1.9310979874727054e-6,4.546226301361896e-6,ENSG00000000971.16,3075,9,3436.9207000579504,5884.714682801736
FUCA2,2331.377406210696,0.05876693117273856,0.09113166075972427,0.6448574587890169,0.5190195622700056,0.5719909927569389,ENSG00000001036.14,2519,1,2096.430360663691,2189.701677950478
GCLC,11565.97534651065,3.3332859235349535,0.19948209571100972,16.709699743499257,1.113950063045017e-62,3.7000404273248284e-61,ENSG00000001084.13,2729,2,6894.771733048019,1157.8655445236848
NFYA,2008.7059586470116,0.5595426812300955,0.0703970535197226,7.9483821162107695,1.8896303113074177e-15,8.486941594624628e-15,ENSG00000001167.14,4800,2,1903.1546707222703,1357.6417283357337
NIPAL3,2217.6386941678215,-0.8201713845463035,0.07921177098470986,-10.354160427805864,4.0068643907937197e-25,3.0173558488330235e-24,ENSG00000001461.17,57185,4,1959.3908462348131,3684.6165129149003
LAS1L,2717.4373847427237,0.5645843925079196,0.06616076948647576,8.53352215958324,1.4195824872411037e-17,7.192108541169567e-17,ENSG00000001497.18,81887,2,2624.827834064208,1874.5819180528094
ENPP4,1080.5736607987374,-2.1869653357564407,0.16678661334859682,-13.112355313465807,2.7977274172432988e-39,3.975748416064597e-38,ENSG00000001561.7,22875,6,635.1221539434881,3634.2409290180613
SEMA3F,5154.549960763302,1.0437384999112906,0.11488473990087526,9.085092596387023,1.0361045158942232e-19,5.904977876625241e-19,ENSG00000001617.12,6405,8,4836.353606505719,2281.8751833187507
CFTR,590.3246258016889,-2.5612037682450106,0.26099280119429197,-9.813311924792757,9.867564836924193e-23,6.617072890643282e-22,ENSG00000001626.16,1080,2,179.81446982821063,2131.3645091709604
ANKIB1,3759.5476713995936,0.568737839480805,0.08128128753785198,6.99715588555298,2.612106081332147e-12,9.622145871029645e-12,ENSG00000001629.10,54467,5,3513.829015200204,2551.7861785492255
CYP51A1,173.38152350405434,-0.6285058394291311,0.1418074778290836,-4.4321064661106995,9.331691719007344e-6,2.0556495075689338e-5,ENSG00000001630.17,1595,2,128.62741516215303,230.93890677345527
KRIT1,369.40373446963844,0.42957638035969686,0.09229896439580497,4.654184184749329,3.252659574463714e-6,7.497896831203702e-6,ENSG00000001631.16,889,6,336.30115200631565,287.0562132247348
RAD52,557.0580937829843,0.6773828493184804,0.09586458397442514,7.066038585210919,1.594191057217685e-12,5.9588863550169496e-12,ENSG00000002016.18,5893,2,511.3149809603849,347.80557324475416
BAD,526.1615739966146,0.07650481269819043,0.08282009645300162,0.9237469645016054,0.35561807385404137,0.41077540730294204,ENSG00000002330.14,572,8,480.61727052257436,484.80917338626216
LAP3,5776.278853650018,-0.7958958794322403,0.10355050081653606,-7.686064993952622,1.5172944879852388e-14,6.468068920503886e-14,ENSG00000002549.12,51056,1,4667.2354283440045,8736.451401992104
CD99,12281.088495039276,0.06667520623603236,0.09624576537133775,0.6927598942019367,0.48846024485739675,0.542551966663823,ENSG00000002586.20,4267,8,10854.086801924104,11772.917623444406
HS3ST1,962.5247138849218,1.0993329836071455,0.20094740487489673,5.47074984268423,4.4813546809533436e-8,1.2151655171638262e-7,ENSG00000002587.10,9957,8,540.6356086682364,405.4165323084378
AOC1,215.75693723220985,1.3981832563817056,0.27636544788964407,5.059182568075646,4.210575828410872e-7,1.051532481597312e-6,ENSG00000002726.21,26,1,66.45194938059231,61.28966351551302
WNT16,89.47593807731812,3.2958496594619273,0.3008584898051892,10.954816869539044,6.300567715190555e-28,5.447343776280506e-27,ENSG00000002745.13,51384,5,23.595834677397704,7.121623315257473
HECW1,120.82534213301788,2.341943251232259,0.2031681664778449,11.527117125839906,9.631513190197774e-31,9.464548563261681e-30,ENSG00000002746.15,23072,4,77.86844018127775,19.756215675368292
MAD1L1,43.49343340675894,-0.3011598622087001,0.18732655304784993,-1.607673110452062,0.10790679071844354,0.14073193044610444,ENSG00000002822.15,8379,2,24.10752540740911,50.31812997975203
SNX11,1755.7525030399747,0.1230296550622409,0.07707293676293824,1.5962756867648216,0.11042725588825417,0.14372306416272018,ENSG00000002919.15,29916,5,1603.7627486570875,1561.6011090007908
TMEM176A,2429.464417758238,-0.19106800504215699,0.16490358393752252,-1.1586649633676092,0.24659277756245226,0.2968461452541949,ENSG00000002933.9,55365,8,1872.275079140968,2389.919168485692
M6PR,5289.637494719078,0.09206673504850259,0.08033013298813393,1.1461046013966183,0.25175187392168924,0.3022873495761568,ENSG00000003056.8,4074,4,4907.398375915182,4749.790286880242
KLHL13,1171.278626842721,2.5948277725304902,0.1990394415728786,13.036751671052041,7.561034954861008e-39,1.0537312310611241e-37,ENSG00000003096.14,90293,7,953.615793121203,190.6502664554284
CYP26B1,484.6141592505815,0.1116656277717194,0.19654846205752965,0.5681327984089487,0.5699447984418748,0.6201879491030385,ENSG00000003137.8,56603,2,284.1684299559152,332.9288197145397
ICA1,741.3363044437403,-0.559986702759067,0.18756905665320628,-2.985496183383906,0.00283118671019685,0.004710517803575547,ENSG00000003147.19,3382,4,467.11168224579785,1040.758978751838
DBNDD1,933.0266444011695,1.0278288837737408,0.16325011997075797,6.296037540173629,3.053504524774573e-10,9.779293790861694e-10,ENSG00000003249.15,79007,8,690.240175344479,472.51843619334306
ALS2,1741.6627012132883,0.06489092249776243,0.07616580535793963,0.8519692294043093,0.3942311707071752,0.45005935252803375,ENSG00000003393.15,57679,4,1600.886660411024,1703.390465892625
CASP10,1409.084777723033,-0.9243702680682138,0.12649649380405825,-7.307477387476475,2.7220411425580727e-13,1.0735302461028742e-12,ENSG00000003400.15,843,8,1112.6484944461445,2435.697070729915
CFLAR,6078.7965285869,-1.53350647022469,0.09001529869058535,-17.036064897100417,4.435929408746107e-65,1.5915975491502813e-63,ENSG00000003402.20,8837,8,4709.136464597244,13602.257856230026
TFPI,4407.042184047235,-1.904024463360234,0.19562775990747075,-9.732895087388474,2.182900706015483e-22,1.4375915451330002e-21,ENSG00000003436.16,7035,6,2084.4011934041696,11773.230599360064
NDUFAF7,781.6197205553618,0.6528548309591755,0.06866601934038599,9.50768425533586,1.9495397687954347e-21,1.218395742520992e-20,ENSG00000003509.16,55471,1,756.437913554947,481.8382373390725
RBM5,2394.8833876693675,-0.5121538722047861,0.07633575214575154,-6.709226775245575,1.956583980443227e-11,6.807681529519831e-11,ENSG00000003756.17,10181,2,2136.628376637811,3334.424221272085
MTMR7,78.82139744721769,-0.34726820766460503,0.17670547310301477,-1.965237417757607,0.049386765081834955,0.06852538537349412,ENSG00000003987.14,9108,2,47.82272437408029,95.71256097540393
SLC7A2,1567.117208153526,-1.3977200918281385,0.2343390215639726,-5.964521326835755,2.453522237091413e-9,7.356812688179235e-9,ENSG00000003989.18,6542,1,588.7916739979031,3104.036325832197
ARF5,5988.173182567764,0.7486575240791811,0.08475746794044643,8.832938763640438,1.019608481249102e-18,5.521179925963887e-18,ENSG00000004059.11,381,2,5625.619821479677,3547.04065181559
PLXND1,6428.463554837954,-1.4876225185768028,0.1155860081669172,-12.870264681418309,6.61749942216865e-38,8.911537016358922e-37,ENSG00000004399.13,23129,4,4837.714076697954,15423.22968939717
AK2,6879.461562664681,0.3059376111387814,0.07369071590947267,4.151643899275163,3.3009560787232496e-5,6.863760431678284e-5,ENSG00000004455.17,204,1,6454.98065057332,5483.9362857762235
CD38,1103.4285487442294,-0.9755464183737904,0.1725637022413791,-5.653253874961567,1.5743849633882542e-8,4.421169483676575e-8,ENSG00000004468.13,952,4,747.448486942862,1694.004698195044
FKBP4,9519.958946034452,2.131131576843895,0.10664108882564557,19.984150577534145,7.566395514640807e-89,5.368748982922893e-87,ENSG00000004478.8,2288,1,9037.803156737102,2346.296310936297
KDM1A,5976.570371935687,0.9602669366658367,0.07417196929581749,12.946493746661053,2.459325980754821e-38,3.364730765026061e-37,ENSG00000004487.17,23028,2,5575.405540950142,3235.4490792662928
RBM6,3279.4617179510865,-0.221740323352025,0.09387267480899365,-2.3621391827090106,0.018169819131244234,0.026984256668010003,ENSG00000004534.15,10180,8,2921.9589305569743,3625.7365827020444
CAMKK1,754.688447563912,0.13485799801160236,0.12365061865671279,1.090637470937402,0.2754324346934941,0.3273215829447316,ENSG00000004660.15,84254,2,623.3399331346224,655.1201704075769
RECQL,1710.573349475645,0.4433834153898449,0.10101068433596452,4.389470463492144,1.1362700958261328e-5,2.4827215037764096e-5,ENSG00000004700.16,5965,1,1546.8784288478541,1247.2556951636707
ARHGAP33,593.5518435451393,1.2484198105429583,0.16775108860066398,7.442096626358446,9.909969008133641e-14,4.0105700123977965e-13,ENSG00000004777.18,115703,5,433.50492095113873,224.3311344306104
NDUFAB1,2913.6957621842,0.7908347081954642,0.0861802465081316,9.176519448930149,4.452501722076943e-20,2.587745457849944e-19,ENSG00000004779.10,4706,1,2683.7611958403804,1609.2519034791412
PDK4,1839.206005226547,-3.931773988566742,0.23442942742514764,-16.771674237962902,3.932698067335002e-63,1.3233545074661054e-61,ENSG00000004799.8,5166,2,355.31420221845156,8667.729396440585
SLC22A16,18.90476668437548,-0.2234836332098338,0.24918891018937178,-0.8968442176660142,0.3698020493611166,0.42545172176923746,ENSG00000004809.14,85413,8,7.812580188757293,10.53956282559861
ZMYND10,266.03178079626684,-3.0651319890924302,0.28241403615188654,-10.853327373020354,1.9229503146978763e-27,1.6246581246371668e-26,ENSG00000004838.14,51364,2,42.936351436093105,742.4503874612811
ABCB5,14.441179317412104,-0.2682402027333211,0.32859785613251835,-0.8163175678941255,0.41431852913254713,0.4702259934342915,ENSG00000004846.16,340273,1,3.5132398280840995,11.235258218555277
ARX,42.132659789028295,-0.29477220797382436,0.3578197504900839,-0.8238008314803552,0.4100527350781233,0.46610441263375463,ENSG00000004848.8,170302,4,6.374851077677365,21.998107667934047
SLC25A13,2036.2913236997101,1.1103917050484333,0.08720115930302541,12.733680537317223,3.842878283121658e-37,5.057557175042811e-36,ENSG00000004864.14,10165,2,1927.5707462295645,948.844908202807
ST7,1303.4801479476564,-1.1130924451314126,0.06871627122948001,-16.19838249683554,5.177097015627844e-59,1.514273280605176e-57,ENSG00000004866.22,7982,5,1106.2793504741699,2561.274559498443
SLC4A1,10.29116041645289,-3.0949492791110123,0.31209537456684444,-9.9166778213438,3.522869884830373e-23,2.4159337983720907e-22,ENSG00000004939.15,6521,2,1.8747719755857248,35.473841955092354
CALCR,14.083175797181028,-0.23160249944789754,0.20507139941765679,-1.1293749401700157,0.2587396996508012,0.30981912768567815,ENSG00000004948.16,799,5,8.179791251279571,13.8492032696144
HCCS,1480.1029720852637,0.5265412215772756,0.08296425419462024,6.346603446131127,2.2012055383227722e-10,7.119491726197373e-10,ENSG00000004961.15,3052,2,1399.471823346393,1007.965462957249
DVL2,2566.506704692302,0.7874117169702004,0.0883289105026954,8.914541258223402,4.898399198442463e-19,2.69647833885368e-18,ENSG00000004975.12,1856,4,2322.1686074133004,1558.1525102199757
PRSS22,1887.4408978208016,1.9319147397547316,0.202157414259574,9.5564871900969,1.218214979079948e-21,7.698774454707644e-21,ENSG00000005001.10,64063,6,1231.4051788325942,487.8225605182408
SKAP2,2766.976214246923,-0.7963972537514072,0.08567497977030376,-9.295563954453952,1.4642785831566258e-20,8.752493944985879e-20,ENSG00000005020.13,8935,5,2473.0992701630785,4240.63955522537
SLC25A5,21366.898958581824,0.8979444420600876,0.10709753198814906,8.384361669132115,5.100175780895259e-17,2.506479986708425e-16,ENSG00000005022.6,292,2,19257.45933402052,10926.652223920595
