gene_name,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene_id,Entrez,Phylostrata,cancer_median,normal_median
TSPAN6,434.56452964292447,-2.2474757050049408,0.5408034363684388,-4.155808846365725,3.241387511339905e-5,3.736799577887905e-4,ENSG00000000003.15,7105,5,323.7832273436542,1903.6531804294568
TNMD,3.5067606136816716,-0.6141306467097369,0.9108148961198851,-0.6742650447703071,NA,NA,ENSG00000000005.6,64102,8,2.2971460398820733,0
SCYL3,416.37692215928473,-0.30240099714921764,0.2134920730548908,-1.4164507038697758,0.15664358757964608,0.292372840866273,ENSG00000000457.14,57147,4,410.69499156163727,487.27461688691716
C1orf112,85.57344940890385,-0.256953536806356,0.2947939745666904,-0.8716376825002784,0.38340606663195465,0.5425928724566431,ENSG00000000460.17,55732,4,84.42823410582234,105.81156750338494
FGR,211.96367958723212,-0.8544707976357995,0.5540188227059911,-1.5423136590600162,0.12299739131320908,0.24639937930836953,ENSG00000000938.13,2268,2,172.8274832585907,384.8362031095539
CFH,1100.9459562385478,-1.4387295782228893,0.7986611178439147,-1.8014268456024494,0.07163562800292948,0.16687868446241041,ENSG00000000971.16,3075,9,633.3970334178935,2732.776526970095
FUCA2,1342.9592161284684,-1.142799751445343,0.48846851613094194,-2.339556621780301,0.019306644784425703,0.06328513130114927,ENSG00000001036.14,2519,1,1083.2804819467144,2705.6199963223853
GCLC,1419.8420449650823,-0.42016018311796915,0.2981025820525936,-1.4094483188469706,0.1587026450323172,0.29491846752473194,ENSG00000001084.13,2729,2,1373.8642619343443,1920.0281068811196
NFYA,791.3759556355155,-0.3522464711053906,0.23405122208729004,-1.5049973589713592,0.13232475573815308,0.2592451015629499,ENSG00000001167.14,4800,2,745.5178010902802,962.344011101079
NIPAL3,1377.4851082152582,0.16451990587600557,0.3969190277587728,0.4144923633542517,0.6785135586304657,0.7871735135409725,ENSG00000001461.17,57185,4,1211.729928629666,1507.5303972256454
LAS1L,2097.7973500547478,0.15845438570891007,0.16708077030379684,0.9483699735211795,0.3429411398392292,0.5030186445078887,ENSG00000001497.18,81887,2,2028.734661935249,1903.6531804294568
ENPP4,2879.610752222694,1.4252574177434136,0.3531250287715597,4.0361268718378716,5.434083807670918e-5,5.753228412248416e-4,ENSG00000001561.7,22875,6,2731.803079987449,1156.5850636619866
SEMA3F,1977.307556807533,1.5919651634586238,0.6996528104504232,2.2753644946180476,0.022884073442230944,0.07211185977622696,ENSG00000001617.12,6405,8,1332.2742460221552,640.5581989721045
CFTR,6.198381316202924,1.2345770493059982,0.9245159843469783,1.3353766405434602,0.1817531061645975,0.323483577896762,ENSG00000001626.16,1080,2,4.122853370216782,2.7686057777665747
ANKIB1,2225.712904541841,0.22601577207925203,0.25955387899126364,0.8707855685210527,0.3838712464741231,0.5429825346491333,ENSG00000001629.10,54467,5,2130.80566044855,1708.9137031191844
CYP51A1,163.36916977267947,-0.9870255829152869,0.8188101191708466,-1.2054389165522046,0.22803390558805844,0.3789039158423442,ENSG00000001630.17,1595,2,134.28980824126432,200.2455471031801
KRIT1,438.81872351567745,0.5807695758172845,0.23598645206230448,2.461029312241837,0.01385390468536753,0.049126998209605824,ENSG00000001631.16,889,6,426.3327019622298,315.15918492943683
RAD52,307.81325673934845,-0.2919144169090118,0.29060890767447106,-1.0044923235319516,0.31514136949100835,0.4743120574287384,ENSG00000002016.18,5893,2,284.0018191239278,393.83417188729527
BAD,727.2388099900171,0.15753912554388658,0.36382985603185647,0.433002193008846,0.6650131766356895,0.7772405661592977,ENSG00000002330.14,572,8,627.9742731334165,745.2320076851304
LAP3,2177.009033540398,-0.8319932299523535,0.4258423141126234,-1.9537589440496852,0.05072973175970548,0.13028444311664733,ENSG00000002549.12,51056,1,1975.7319525511648,3479.513409900987
CD99,6563.419076585751,-0.05999442969706083,0.46109249201871166,-0.13011365558003096,0.8964765063744552,0.9366661513342529,ENSG00000002586.20,4267,8,5595.758134532985,6519.374455195842
HS3ST1,1270.1789730522075,2.1361018967603354,0.9076050741635521,2.3535587862694185,0.018594667409841895,0.061334159050902025,ENSG00000002587.10,9957,8,647.2195005120814,297.99359177993335
AOC1,222.73299750867588,5.647890802433592,1.6394998474729658,3.444886445789512,5.712993409105173e-4,0.003997097836230578,ENSG00000002726.21,26,1,13.002667259839207,2.076454333324931
WNT16,38.114926270895616,1.4421745640076122,1.3814106723526705,1.0439868410394249,0.29649147781963986,0.45466687809536094,ENSG00000002745.13,51384,5,7.191771986630383,12.458725999949586
HECW1,11.355152932735527,1.8176150261007058,1.5068439859230744,1.2062396924172987,0.22772508344128045,0.378568981059185,ENSG00000002746.15,23072,4,2.2483424302613986,2.2755175807179553
MAD1L1,13.618004078399665,0.6258778945701724,0.7590871554918389,0.8245138783367298,0.40964763339574095,0.5662434667014141,ENSG00000002822.15,8379,2,8.458504346178781,7.0116139242337265
SNX11,1373.3637735396549,0.47964462621918796,0.23382494899474365,2.0512978973427267,0.04023794512860991,0.10952446510230064,ENSG00000002919.15,29916,5,1324.9949646415225,924.714329774036
TMEM176A,4037.223855999257,2.3941028438758534,1.0398668113539717,2.302316813783663,0.02131731230956379,0.06811716516939888,ENSG00000002933.9,55365,8,1602.0969777472014,723.6145906683098
M6PR,2187.6413794618716,0.156873889752632,0.44691472224488016,0.35101526520461174,0.7255768962028175,0.821632893686213,ENSG00000003056.8,4074,4,2183.4644693347113,2190.1856714410324
KLHL13,3391.7107161787976,2.731432516463157,0.4608120229112441,5.927433271395463,3.077063223052411e-9,1.0681641775785656e-7,ENSG00000003096.14,90293,7,3255.090826987631,523.3690435651298
CYP26B1,932.2398489937593,0.20548611194991734,0.9784558822985907,0.21001060514572095,0.8336593959003764,0.8974160092541668,ENSG00000003137.8,56603,2,360.61452551975947,690.6195857478995
ICA1,3293.801589059338,4.297480836230939,0.4553117119081735,9.438546656795966,3.7798557131892526e-21,8.145298303791055e-19,ENSG00000003147.19,3382,4,2998.5357715875107,131.9800196816414
DBNDD1,3603.9503157805384,3.297550930519138,0.41436606369328755,7.958062253283306,1.7475442992418694e-15,1.8756975478529398e-13,ENSG00000003249.15,79007,8,3354.959026891375,276.9587500072322
