gene_name,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene_id,Entrez,Phylostrata
TSPAN6,3419.4227947456616,-0.08199827874602508,0.07706095837784425,-1.064070321367822,0.28729684439764286,0.36880484169574845,ENSG00000000003.15,7105,5
TNMD,23.46848579592657,-3.3304341523651737,0.3067315357794697,-10.857814615969748,1.83078057746762e-27,1.0897416257279764e-25,ENSG00000000005.6,64102,8
SCYL3,828.4628817999001,-0.06758765827623471,0.0631470185580453,-1.0703222387943387,0.2844742876327332,0.36561518311916774,ENSG00000000457.14,57147,4
C1orf112,174.72415754981176,-0.07270128549994039,0.06924304712202285,-1.0499434747841656,0.29374410179825183,0.3758787836482539,ENSG00000000460.17,55732,4
FGR,270.0188464970855,-0.10865693164111771,0.1193825247482993,-0.9101577627898644,0.36273931543358967,0.4482809755145583,ENSG00000000938.13,2268,2
CFH,1244.1067267626388,-0.9607763931655051,0.14437866435641886,-6.654559366151876,2.8415004585102454e-11,2.0850903508369613e-10,ENSG00000000971.16,3075,9
FUCA2,2441.0128480489784,0.41712197133555257,0.07537194666795402,5.534180683605732,3.126865138159875e-8,1.5212213805236584e-7,ENSG00000001036.14,2519,1
GCLC,2322.958268433929,-0.3268911383950538,0.07069892329471258,-4.623707450711647,3.7694139207675384e-6,1.3404445759861781e-5,ENSG00000001084.13,2729,2
NFYA,1713.8154158219174,0.29763492081972226,0.06370956702767101,4.671746092552321,2.9864999980118397e-6,1.0803186562239932e-5,ENSG00000001167.14,4800,2
NIPAL3,8009.0536702237005,-0.7524494336392614,0.14914275902966803,-5.045162356756331,4.531364258364376e-7,1.8610067056488653e-6,ENSG00000001461.17,57185,4
LAS1L,2611.6019080280525,0.23662932098537734,0.04983077147573993,4.748658589413574,2.047702828692957e-6,7.604414975973823e-6,ENSG00000001497.18,81887,2
ENPP4,2978.411059222093,-0.29425485109526084,0.10715208845518676,-2.7461420056065857,0.0060300656524031925,0.012072977055159077,ENSG00000001561.7,22875,6
SEMA3F,3281.3487384350674,-0.42334820335224727,0.11324643619871705,-3.7382916192557705,1.8527496661775283e-4,4.958344067280947e-4,ENSG00000001617.12,6405,8
CFTR,576.029087401496,-0.6581288122365736,0.25673338756256736,-2.563471851031389,0.010363110376736569,0.01969498318405544,ENSG00000001626.16,1080,2
ANKIB1,2417.635857754198,-0.1556008498425055,0.08060356669417616,-1.9304462100651447,0.05355157396468632,0.08592986083366165,ENSG00000001629.10,54467,5
CYP51A1,128.23947085254713,-0.45418693229746276,0.1575959578611287,-2.881970695578917,0.003951964856910855,0.008212526061894232,ENSG00000001630.17,1595,2
KRIT1,294.7768547619636,0.05363292995636701,0.05367530412656545,0.9992105462486337,0.31769270806044636,0.40091912829512355,ENSG00000001631.16,889,6
RAD52,454.3780463212358,0.05921181252643175,0.06642627971211706,0.8913913707503733,0.3727192454927128,0.4585358296082241,ENSG00000002016.18,5893,2
BAD,851.3319193054729,0.46628730673168695,0.0992833448289681,4.696530999584508,2.646170911464598e-6,9.660160271087259e-6,ENSG00000002330.14,572,8
LAP3,3720.229164776831,0.14776810656158365,0.05953702425782508,2.481953177936369,0.013066444330095602,0.024275867076160553,ENSG00000002549.12,51056,1
CD99,14919.916581128735,0.02207575839606382,0.06813416990311981,0.3240042173765882,0.7459348413192686,0.80229835635827,ENSG00000002586.20,4267,8
HS3ST1,639.3450721762416,0.4727499058181298,0.19380150038943847,2.4393511137331374,0.014713664386350757,0.027035232283486695,ENSG00000002587.10,9957,8
AOC1,1417.7998589612082,-1.9963933059007246,0.35283418943997863,-5.658162858507042,1.5300191660135196e-8,7.797246645977004e-8,ENSG00000002726.21,26,1
WNT16,29.609470660360106,-1.2811654227107858,0.20609502631832463,-6.216382052480773,5.087484684993922e-10,3.1820390199627484e-9,ENSG00000002745.13,51384,5
