gene_name,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene_id,Entrez,Phylostrata,cancer_median,normal_median
TSPAN6,6408.902071499009,0.5621379149694382,0.2349851687388763,2.3922272115569365,0.01674647165705767,0.03446730808529955,ENSG00000000003.15,7105,5,5742.296358069347,4270.301690193257
TNMD,63.72548454336126,1.1259149278600382,0.5885115564370096,1.9131568709994375,0.055727972981691146,0.09515187958123807,ENSG00000000005.6,64102,8,27.020596644063325,31.32735663189669
SCYL3,499.5288501379736,-0.15490137656703556,0.13998101876646302,-1.1065884355754325,0.26847190945385446,0.35360609789471154,ENSG00000000457.14,57147,4,471.74540592784285,548.8017794286798
C1orf112,369.12311145901606,1.0486480636979096,0.18339997278369272,5.7178201707516925,1.0789924172755246e-8,1.1594294144726505e-7,ENSG00000000460.17,55732,4,357.8603024494782,179.25938825516016
FGR,230.10400298665277,-0.005076088400453048,0.3528101667281089,-0.014387591059315776,0.9885207592671101,0.9915362726369674,ENSG00000000938.13,2268,2,154.2550744871025,238.6083555881546
CFH,854.4284478002722,-1.7975368938392309,0.35291219228424786,-5.093439481941819,3.5162532483255293e-7,2.6026420031104403e-6,ENSG00000000971.16,3075,9,523.8031944881554,2442.6193786458052
FUCA2,2344.3637507492854,0.3914344186533095,0.14695416508457174,2.663649706206286,0.007729800856899115,0.017731467838925916,ENSG00000001036.14,2519,1,2315.222709150755,1794.4367165294254
GCLC,1621.6603169592952,0.17299792170052658,0.15822406240677495,1.093373024741141,0.2742300523442471,0.3598504968763492,ENSG00000001084.13,2729,2,1586.081995157837,1447.594475428813
NFYA,1149.0262743550195,0.5812442301232446,0.13981346721856952,4.1572835699338535,3.2205413888793336e-5,1.4828815696505516e-4,ENSG00000001167.14,4800,2,1130.0284145883447,782.6352364272253
NIPAL3,1355.0276104694726,-0.6986599573872404,0.14749797046473662,-4.736742852704363,2.171804508739717e-6,1.3426433110823444e-5,ENSG00000001461.17,57185,4,1251.0346376923653,2213.5104270723514
LAS1L,2416.157875373976,1.1344806947073034,0.17411921302971228,6.515539985318632,7.24286256679594e-11,1.2403845948491404e-9,ENSG00000001497.18,81887,2,2166.7304527731912,1084.5148616341758
ENPP4,1045.0398562495955,-0.6939759172102579,0.24112520763440207,-2.8780728652081673,0.004001127099383938,0.010073642131400926,ENSG00000001561.7,22875,6,924.0276060188058,1561.764750978612
SEMA3F,1628.219211108068,1.1236328490046559,0.24650451418319086,4.558264795790406,5.157798317593641e-6,2.894703092896302e-5,ENSG00000001617.12,6405,8,1450.9009400385446,748.8376244465198
CFTR,7115.905722448547,0.015991479437082214,0.3203005209215313,0.049926485886046625,0.9601809709334781,0.9707045488179041,ENSG00000001626.16,1080,2,6638.6117885493295,6548.972047471239
ANKIB1,1718.551047640615,-0.05775149043932052,0.14449261964945354,-0.3996847076302484,0.6893887569503969,0.7545023443633412,ENSG00000001629.10,54467,5,1705.4622526662843,1785.4635390449641
CYP51A1,237.45507630066908,0.31239565344448544,0.31163291551574057,1.0024475525233993,0.3161274852755531,0.404590488413153,ENSG00000001630.17,1595,2,190.65610391370257,139.7430562700931
KRIT1,211.31690126998632,0.4816191804331146,0.1566601698581512,3.074292469293243,0.002110024672864194,0.005799299791708266,ENSG00000001631.16,889,6,214.2057124054308,164.12439204714804
RAD52,359.69492609397895,0.1584347673036512,0.2310345327532062,0.6857622772475016,0.492863027722058,0.5796351256807826,ENSG00000002016.18,5893,2,311.5943930763587,314.2714414389102
BAD,492.7149841470733,0.048564342956716654,0.32736787002057016,0.14834792111292142,0.8820681981294822,0.9124181913813328,ENSG00000002330.14,572,8,315.95778737889407,444.4030831315762
LAP3,3309.7814189243895,0.1032839715482685,0.16863599226113507,0.6124669482676741,0.540228859229764,0.6236362143906767,ENSG00000002549.12,51056,1,3086.203475916526,2974.504249692207
CD99,6330.022577393318,-0.21592145654535472,0.1900597834490681,-1.1360712541441835,0.25592674448632674,0.3396114605283613,ENSG00000002586.20,4267,8,5933.076685933597,7083.007241972786
HS3ST1,464.82251389289803,0.6701785253298568,0.2586055035689112,2.5915091368164664,0.009555600414444476,0.02128213212075135,ENSG00000002587.10,9957,8,390.8080340159154,274.5852890402049
AOC1,9377.850703607413,-1.3733834479675204,0.31658065793664203,-4.338178639588205,1.4366836125698383e-5,7.228419493737968e-5,ENSG00000002726.21,26,1,6808.328623312449,19075.94566575068
WNT16,7.778096639275255,-1.8922258786854997,0.5629933279001932,-3.361009420383311,7.765817681917932e-4,0.0024321698609583624,ENSG00000002745.13,51384,5,3.00433831966264,23.08535085653151
HECW1,35.882992643264544,1.1940602886911842,0.4167190530362651,2.865384435847407,0.004165032645161997,0.0104205977441261,ENSG00000002746.15,23072,4,25.98679161733321,15.37077288677639
MAD1L1,10.379591405738386,-0.03089900961966573,0.34652045771645923,-0.08916936628586841,0.9289473105343216,0.9473872790411878,ENSG00000002822.15,8379,2,8.740594613704449,9.73207439308982
SNX11,897.4643275658212,-0.4285662857396468,0.16411530821514886,-2.611373005970978,0.009017947409163592,0.020260660139767944,ENSG00000002919.15,29916,5,826.7508652090544,989.603197532424
TMEM176A,8615.384194138816,0.644696464250133,0.3061369981730267,2.105908361607945,0.03521231321230037,0.06462625410514704,ENSG00000002933.9,55365,8,7625.911759730582,5282.756240165318
M6PR,2564.8766044054205,0.286036779889163,0.18385227481358263,1.555796794895198,0.1197564205354031,0.18083484777913347,ENSG00000003056.8,4074,4,2432.8181053821,2115.2341747748583
KLHL13,231.9708877902145,-0.7767295111511221,0.5864829963139284,-1.3243853888908996,0.18537508462116545,0.26065544297816334,ENSG00000003096.14,90293,7,61.693686026962745,397.2708056014
CYP26B1,96.63795400411645,-1.3979330327649697,0.3748534350500339,-3.7292789716022727,1.9202846260258716e-4,7.151237176921663e-4,ENSG00000003137.8,56603,2,61.67051845190686,249.17995919173148
ICA1,2229.797954843778,1.144596308894127,0.18929611197976598,6.046591749419944,1.4794199911359694e-9,1.9160476984364785e-8,ENSG00000003147.19,3382,4,2151.546949710588,1151.9226345655152
DBNDD1,882.2072995103127,2.497202798901105,0.26277126838449194,9.503332743544664,2.032781059331275e-21,2.869403930669182e-19,ENSG00000003249.15,79007,8,768.4397811537611,150.2240593477778
ALS2,687.0730288176806,0.2382307374977537,0.16676774654135756,1.4285180584284844,0.15314280062978539,0.2224167602786256,ENSG00000003393.15,57679,4,658.5317051605105,588.2945479144128
CASP10,1242.6865110209362,-0.5724606524061193,0.19852646346294162,-2.8835483311421553,0.0039322230073491,0.009918926067906135,ENSG00000003400.15,843,8,1093.3206179296967,1683.8796473825146
CFLAR,2563.052565679932,-0.5868588040042005,0.12094222640440122,-4.8523896198329295,1.2198267843684254e-6,7.969363907506574e-6,ENSG00000003402.20,8837,8,2388.405582363568,3487.4086431431233
TFPI,510.0824558445717,-1.212026533845279,0.31724160914416727,-3.820515654031012,1.331729519664746e-4,5.166644689770958e-4,ENSG00000003436.16,7035,6,376.91784245332167,1050.0825470515742
NDUFAF7,466.6415655445811,0.29006786492983033,0.14665592752946352,1.97788026584575,0.04794221569713526,0.08377224048260291,ENSG00000003509.16,55471,1,456.01972414859904,360.09640295966506
RBM5,1863.427703576338,0.26206158454775397,0.14972769311402614,1.7502546061948552,0.08007439003447685,0.12906569360286005,ENSG00000003756.17,10181,2,1786.9488284111258,1528.7709399387631
MTMR7,24.22426342357385,-1.390154077908331,0.30655879785525797,-4.534706188940281,5.768372683390602e-6,3.207724793634778e-5,ENSG00000003987.14,9108,2,17.82530794387523,58.8046071004926
SLC7A2,165.42122515121315,-1.5218533361100888,0.49793655416327876,-3.056319772842097,0.002240721436710585,0.006109250164337542,ENSG00000003989.18,6542,1,68.17450999935335,412.8756298882819
ARF5,4758.454065766784,0.5229023345082723,0.22393647960867658,2.3350475787689042,0.019540935353111792,0.03917297390504385,ENSG00000004059.11,381,2,4128.467233577198,3245.0274403514964
PLXND1,2588.3383314150637,0.4342110391265188,0.3190006131752347,1.3611605156633233,0.17346296894038524,0.24672348696767565,ENSG00000004399.13,23129,4,1919.355184280521,2000.4234603687496
AK2,4871.602189922372,0.055231668556981625,0.15985393051454266,0.34551335947261513,0.729708468567543,0.7893266502049021,ENSG00000004455.17,204,1,4499.226495279268,4300.39095651177
CD38,194.1631291926279,-0.7776799883265961,0.4778191607776273,-1.627561328978436,0.10361793451250095,0.1602045500741212,ENSG00000004468.13,952,4,96.84700553329995,251.48499397068522
FKBP4,6623.845224683002,0.9018814522993417,0.21218104502347251,4.250527902714265,2.132672643219358e-5,1.0282226618136594e-4,ENSG00000004478.8,2288,1,5965.468772605709,3478.4620837629795
KDM1A,4250.8700896340715,0.7306562833002045,0.16620118977088835,4.396215720882797,1.1015446324779512e-5,5.714007225895742e-5,ENSG00000004487.17,23028,2,4196.857050135848,2518.6523011727004
RBM6,2242.922292196466,0.42850651318521765,0.20558298622829593,2.084348131364185,0.037128512211587084,0.06759851396010992,ENSG00000004534.15,10180,8,2128.4877892677914,1590.7782811087668
CAMKK1,523.6696590183583,0.6594648438706547,0.19566755386139772,3.370333153639722,7.507735534763129e-4,0.0023632582549959983,ENSG00000004660.15,84254,2,488.3133893538593,338.90732294310556
RECQL,559.9836861193663,-0.017453405295574886,0.2237506793049003,-0.07800380919421254,0.9378250229286436,0.9538535587214949,ENSG00000004700.16,5965,1,540.2663877564935,538.1992509974796
ARHGAP33,333.7381724427997,1.279659621704229,0.297193384823515,4.305814621224294,1.6637234206211198e-5,8.222706610599412e-5,ENSG00000004777.18,115703,5,277.43669879798324,143.52267765452817
NDUFAB1,2748.1948716830416,-0.11355601101267061,0.2016784523518229,-0.5630547521981925,0.5733976013582547,0.6536110591933546,ENSG00000004779.10,4706,1,2459.985824091883,2735.0322163952023
PDK4,929.2457908224186,-3.5284861729027597,0.3256340835504438,-10.835739718739127,2.3307401048132967e-27,8.5712967354509e-25,ENSG00000004799.8,5166,2,432.5998640018306,6898.1539468247665
SLC22A16,3.3617299805938017,-0.7148581880565061,0.5586578365651849,-1.279599320492295,0.2006860889709115,0.2781815950328823,ENSG00000004809.14,85413,8,1.6659395951766975,2.5963612001410645
ZMYND10,14.763515881456788,0.36232997212981305,0.39497334652843535,0.9173529690407294,0.3589577091476579,0.4489370430942027,ENSG00000004838.14,51364,2,9.721208695803135,11.296043831599789
ABCB5,4.661920934972949,-3.687645064907305,0.7611032725074014,-4.845131006674846,1.2652816159334518e-6,8.233610217397915e-6,ENSG00000004846.16,340273,1,0.6153629168637519,17.937923861078914
ARX,17.81349286685503,-1.1632104214329617,0.811829550404678,-1.4328259187573655,0.15190759232369735,0.2209212872231771,ENSG00000004848.8,170302,4,2.996536099280732,39.71322262330246
SLC25A13,1521.243226490688,-0.03951217110824616,0.1594792428572239,-0.24775745357419338,0.804322075817324,0.8504841743726691,ENSG00000004864.14,10165,2,1458.1683277423317,1348.3852470199258
ST7,775.1460155168946,0.5244747732601226,0.129673605306222,4.044576165069094,5.2417865683891226e-5,2.27453334575233e-4,ENSG00000004866.22,7982,5,775.4903623035849,542.0588483052204
CALCR,3.716863286052835,-0.3880809268599719,0.5068189478347145,-0.7657190571070247,0.4438434852915742,0.5332723570808274,ENSG00000004948.16,799,5,2.1676758344770723,3.5319998410751072
HCCS,1386.1419777545457,-0.038371486178656655,0.18210684786837988,-0.21070863961354244,0.8331146325259791,0.8742479862006679,ENSG00000004961.15,3052,2,1240.0867001828728,1320.6732980528407
DVL2,1110.7962488033695,0.1012251639173136,0.15818552432731112,0.6399142042091194,0.5222283788651121,0.6067157567818522,ENSG00000004975.12,1856,4,1020.2025217111966,1037.9046727264972
PRSS22,967.2172758688575,2.610203473673582,0.3643125910221454,7.164735828509742,7.793669551569259e-13,2.0113136684839263e-11,ENSG00000005001.10,64063,6,765.8642463052535,66.95486672501565
SKAP2,1568.6018970807324,-0.8620131614260048,0.26816043659755373,-3.2145426535074058,0.001306525024285583,0.0038232716892218363,ENSG00000005020.13,8935,5,1434.5727684350773,2756.8375863378515
SLC25A5,24931.560396639266,0.09520583954353734,0.2864751893222877,0.3323353752510474,0.7396360308179644,0.7972881604956529,ENSG00000005022.6,292,2,18785.32976148956,20343.23099816706
HOXA11,453.2729536789314,0.693128276243093,0.35724964656453556,1.9401790398073424,0.052357934891113726,0.09022454665958059,ENSG00000005073.6,3207,8,402.32543904951547,250.29330739204164
POLR2J,1654.4846020886441,0.4949859812443999,0.2312797996031524,2.140204125452092,0.03233827392655029,0.06015857414624295,ENSG00000005075.15,5439,1,1440.0416116252818,1107.8818540284046
MEOX1,77.61003161732431,-1.659099350328227,0.3749882241371086,-4.424403870670892,9.67089535826819e-6,5.089283644666497e-5,ENSG00000005102.14,4222,5,53.355663620962154,247.33600215697336
LIG3,1266.0126847685058,0.6851661503619759,0.1430454436393894,4.789849525646175,1.6690642866816556e-6,1.0568345661183868e-5,ENSG00000005156.12,3980,4,1229.1619370432334,814.8315212282503
RPAP3,1043.1983467493171,0.2595543206511689,0.18605844380634623,1.3950150035723121,0.16301131521250092,0.23430204416941056,ENSG00000005175.10,79657,2,1033.5055923344112,851.9347306924876
ACSM3,488.65760017762983,-0.8870838773263103,0.3093179808901608,-2.8678703862395727,0.004132447892605302,0.010354831105471184,ENSG00000005187.12,6296,1,407.2086132389534,721.3533358418814
CIAPIN1,2151.30745888255,0.419648365419142,0.1457111043976164,2.8800026405263237,0.00397671840376116,0.010020312176949212,ENSG00000005194.15,57019,2,2110.5632771610244,1508.1497657395785
COPZ2,209.3728244947409,-1.2276860245505175,0.3431102616084792,-3.57810931913025,3.4608870315558956e-4,0.0012009974130240343,ENSG00000005243.10,51226,2,141.51763578411132,427.53697028799655
PRKAR2B,259.55771812833893,-2.6757159933682764,0.3262841392068972,-8.200570214268373,2.3924944887284506e-16,1.2091831548909848e-14,ENSG00000005249.13,5577,1,145.76389106245875,1163.807122457771
MSL3,1143.6031205699676,0.39777333448431773,0.14275153720847916,2.786473212567905,0.005328502191620824,0.012858427538733414,ENSG00000005302.19,10943,4,1105.7490604144891,843.9827628779019
CREBBP,3658.281524517139,0.04527525288620766,0.17556878331862788,0.25787757954693274,0.796501388709983,0.8444189702634493,ENSG00000005339.15,1387,2,3409.11167750628,3750.727031110954
MPO,9.867219803349519,0.2975197785237476,0.4198160447251797,0.7086908236642319,0.4785163605521096,0.5665689676006915,ENSG00000005381.8,4353,7,7.301030769512613,7.767287370214328
PON1,7.0016399577949056,1.26126853137578,0.7488412009102682,1.684293719205916,0.09212491862938366,0.14533751133284284,ENSG00000005421.9,5444,5,2.2623520175286993,2.507376364517091
GCFC2,415.36172550804207,-0.20808929400850457,0.17777009968866914,-1.1705528340982752,0.24177856537325265,0.32428587789696894,ENSG00000005436.14,6936,9,390.87072107855454,450.5346437893536
