gene_name,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene_id,Entrez,Phylostrata,cancer_median,normal_median
TSPAN6,2666.2025973800605,-0.06610773364939261,0.18262836342989622,-0.361979554587471,0.7173673089757988,0.7731239198543093,ENSG00000000003.15,7105,5,1989.5009086652665,2030.0223364675603
TNMD,6.042592653752076,-0.8771678443334417,0.4199012158460475,-2.088986197780019,0.036708965628707124,0.06633630947408778,ENSG00000000005.6,64102,8,1.5062042025428535,6.971477960316221
SCYL3,959.3552094879843,8.508329164345907e-4,0.0787569106484957,0.010803279476413059,0.9913803977669046,0.9938137216636014,ENSG00000000457.14,57147,4,917.4636569230707,889.5933963140055
C1orf112,554.2782816583901,1.3761550659540358,0.11752441276514984,11.70952514099364,1.13915819484507e-31,3.028273435598202e-29,ENSG00000000460.17,55732,4,526.0895784989866,218.06050255334966
FGR,654.9279772625587,0.18559306888377708,0.16904522136058892,1.0978900639130762,0.2722524972001821,0.3503127635633613,ENSG00000000938.13,2268,2,527.37840486595735,509.03675461988183
CFH,4571.972445724753,-0.03473388048127355,0.20543410195596687,-0.16907553395744623,0.8657372289321192,0.8957949595573873,ENSG00000000971.16,3075,9,3052.1107413093523,4220.507461406931
FUCA2,3850.14487901719,0.5145612103925179,0.1071923286212475,4.800354810936744,1.5838476718866927e-6,9.108543331692468e-6,ENSG00000001036.14,2519,1,3556.7995164556805,2753.4211784033805
GCLC,2971.2372768175883,-0.12808498057699105,0.10639940296054767,-1.2038129633536034,0.22866187808824054,0.3037511394143198,ENSG00000001084.13,2729,2,2552.243917691759,3081.580551849851
NFYA,2120.4293534436038,0.6116846598701565,0.1079301152019183,5.6674141292798765,1.4496866608047875e-8,1.2253739026023684e-7,ENSG00000001167.14,4800,2,1901.8786278968591,1437.3235667119648
NIPAL3,2585.4106098777816,-0.4502206534003629,0.09913727961454784,-4.541385996779919,5.588560355663416e-6,2.8569829601562882e-5,ENSG00000001461.17,57185,4,2281.102716517281,3408.116257877049
LAS1L,2294.363054013666,0.3027705312404631,0.08311952233047855,3.642592290613323,2.6990615973164516e-4,9.28611129736858e-4,ENSG00000001497.18,81887,2,2124.6141359520716,1900.6213777372982
ENPP4,1822.6924274961737,0.0016189136976361967,0.15258848715675852,0.010609671331055536,0.991534865863204,0.993857686882718,ENSG00000001561.7,22875,6,1572.5413804118582,1810.299896692864
