gene_name,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene_id,Entrez,Phylostrata
TSPAN6,2770.0372015443345,0.4342229357312649,0.11219292000458267,3.8703238645854703,1.0869086290939821e-4,3.2130875413628453e-4,ENSG00000000003.15,7105,5
TNMD,6.300075728135642,-1.1793006034129234,0.45361525242223844,-2.5997816367849897,0.009328309773313167,0.018787504501558465,ENSG00000000005.6,64102,8
SCYL3,419.90977003174453,0.1783646144338495,0.11175203264667888,1.596074900917252,0.11047207164410655,0.16569330851294076,ENSG00000000457.14,57147,4
C1orf112,228.74653781439878,1.4713272171338179,0.13317966341741513,11.047686856831483,2.2493603264527693e-28,6.543851752984756e-27,ENSG00000000460.17,55732,4
FGR,233.61407601164214,-0.9924813294480156,0.20841291039654575,-4.762091405756143,1.9159685692619515e-6,7.404443818902179e-6,ENSG00000000938.13,2268,2
CFH,1220.9452750566163,-0.003939859496930722,0.26737578622936603,-0.014735289056993915,0.9882433658145316,0.9906196192713287,ENSG00000000971.16,3075,9
FUCA2,1915.6459008943386,0.7722820038525764,0.09724553482887359,7.941567756417695,1.9964160073401856e-15,2.1236035309348494e-14,ENSG00000001036.14,2519,1
GCLC,1232.5003310782608,-0.9377159417297041,0.181308964288519,-5.171922664769658,2.3169748179378603e-7,1.0172002261990919e-6,ENSG00000001084.13,2729,2
NFYA,1091.6768348463015,0.6281459937413796,0.08935788517214682,7.029553044269841,2.0719617414617135e-12,1.6264816659186733e-11,ENSG00000001167.14,4800,2
NIPAL3,1066.680375320826,-0.14365992252902227,0.10536548294343163,-1.363443876645543,0.17274266090461582,0.24300056190074956,ENSG00000001461.17,57185,4
LAS1L,1806.8744319534549,0.3656895118890308,0.08320974211030134,4.394792035339797,1.108788515925399e-5,3.836314283380594e-5,ENSG00000001497.18,81887,2
ENPP4,775.9715328727841,0.6678644211871636,0.14698956906623736,4.54361779158769,5.529688234180042e-6,1.9968764077567875e-5,ENSG00000001561.7,22875,6
SEMA3F,2714.278517581622,1.044419376380962,0.1743233815310609,5.991275336721641,2.0820179848752684e-9,1.1831212119099063e-8,ENSG00000001617.12,6405,8
CFTR,663.5555804420374,1.4089164784145691,0.409293220120521,3.4423157021748314,5.767567160979322e-4,0.001496184657336798,ENSG00000001626.16,1080,2
ANKIB1,1358.9979781981965,0.012932342901860043,0.09142553853935721,0.14145219277317003,0.8875127248528111,0.9118523674997275,ENSG00000001629.10,54467,5
CYP51A1,57.587727210526594,0.5073470051445154,0.2619621873081499,1.9367184644389754,0.052779767421016276,0.08726922978596476,ENSG00000001630.17,1595,2
KRIT1,191.99892408679173,-0.2650833188811575,0.09649791922363594,-2.747036630570462,0.0060136417617797444,0.012649985491377037,ENSG00000001631.16,889,6
RAD52,292.5968572321952,-0.1759891024112478,0.11034293568710168,-1.5949285861878668,0.11072820630305007,0.16603934567013443,ENSG00000002016.18,5893,2
BAD,763.3994581128343,0.6586712057280691,0.14325413216269614,4.597921161394528,4.267274000323416e-6,1.566919661269431e-5,ENSG00000002330.14,572,8
LAP3,2579.081314366783,0.44416304130699935,0.14867460431992605,2.987484266991727,0.0028128377214918718,0.006366331973668821,ENSG00000002549.12,51056,1
CD99,4704.994556104127,-0.7846413339082886,0.14411344489745548,-5.444608825128033,5.191935463679409e-8,2.4817806174091856e-7,ENSG00000002586.20,4267,8
HS3ST1,824.0018068897824,0.27895655542436015,0.2456459876675618,1.1356039562179956,0.2561223523831631,0.3378439014016094,ENSG00000002587.10,9957,8
AOC1,3244.8172675085793,6.122224080660218,0.43878128187632515,13.952792276097657,3.025252816018356e-44,2.2842116011813355e-42,ENSG00000002726.21,26,1
WNT16,20.773187335417933,1.7506929057752374,0.4110633687212126,4.258936794152961,2.0540153407829513e-5,6.819511917246592e-5,ENSG00000002745.13,51384,5
HECW1,43.06554053646456,1.2873088863971487,0.2746544455705337,4.687012743314786,2.7722171162644853e-6,1.0447669949514944e-5,ENSG00000002746.15,23072,4
MAD1L1,12.800120789265913,0.556291900131634,0.223373921344185,2.4904066543850183,0.012759700847650698,0.024838030754403058,ENSG00000002822.15,8379,2
SNX11,725.6123104721628,0.4533536737492459,0.08125767947901918,5.579210194727531,2.416131306472628e-8,1.2056658284317187e-7,ENSG00000002919.15,29916,5
TMEM176A,1377.3466841988682,0.5479415914184947,0.2758001118924475,1.9867344783100487,0.046951828903465186,0.07869215684701639,ENSG00000002933.9,55365,8
M6PR,1344.3971619253846,0.07021021293011658,0.14142011612987,0.4964655301629126,0.6195660011996543,0.6908218207144928,ENSG00000003056.8,4074,4
KLHL13,502.93907770837546,-1.7535055418089194,0.2499293866278583,-7.016003862002298,2.2830374614975073e-12,1.785023723138524e-11,ENSG00000003096.14,90293,7
CYP26B1,128.41448432389004,-0.6506697967554608,0.3218210480692168,-2.021837293300703,0.04319316364882265,0.07314336043846045,ENSG00000003137.8,56603,2
ICA1,1259.218395707796,1.1710900019204251,0.1518129490748479,7.714032360592942,1.2190354336075932e-14,1.2032831621355354e-13,ENSG00000003147.19,3382,4
