Gene	FDRAdjustedP-value	CancerSampleMed	NormalSampleMed	|log2FC|
RPS4Y1	3.9e-06	1.0	547.4	-9.10
PTGDS	q<=9.6e-20	1.0	424.3	-8.73
RN7SL1	q<=9.6e-20	243.5	1.0	7.93
AADAC	q<=9.6e-20	2.8	409.9	-7.18
CD68	q<=9.6e-20	1.0	139.7	-7.13
PYURF	q<=9.6e-20	118.4	1.0	6.89
MIR3654	q<=9.6e-20	84.3	1.0	6.40
IFITM10	q<=9.6e-20	2.0	156.2	-6.28
CCL14	q<=9.6e-20	1.0	74.9	-6.23
DDX3Y	1.3e-19	1.0	71.3	-6.16
KDM5D	q<=9.6e-20	1.0	70.2	-6.13
TMEM35B	q<=9.6e-20	1.0	61.0	-5.93
FGF11	q<=9.6e-20	1.0	60.5	-5.92
RAB5IF	q<=9.6e-20	1.7	99.9	-5.91
PLSCR3	q<=9.6e-20	1.0	57.4	-5.84
ADH1B	6.3e-10	2.3	130.5	-5.83
POLR2F	q<=9.6e-20	55.4	1.0	5.79
AMT	q<=9.6e-20	1.0	55.0	-5.78
MFSD14A	q<=9.6e-20	1.0	52.9	-5.73
EIF1AY	6.0e-06	1.0	52.4	-5.71
ACAD11	q<=9.6e-20	1.0	51.8	-5.70
EMC6	q<=9.6e-20	1.8	87.9	-5.58
KCNJ5	9.4e-19	2.0	96.3	-5.56
DAPL1	1.3e-06	1.0	46.9	-5.55
SPSB3	q<=9.6e-20	1.3	60.8	-5.53
BIRC7	1.6e-04	46.1	1.0	5.53
SAA1	9.0e-13	1.0	45.2	-5.50
PCBP1	q<=9.6e-20	4.2	190.7	-5.50
RAB4B	q<=9.6e-20	1.5	68.6	-5.49
C2orf74	q<=9.6e-20	1.0	44.9	-5.49
MDP1	q<=9.6e-20	1.0	44.2	-5.46
ITIH4	q<=9.6e-20	1.0	42.8	-5.42
AVPR1A	q<=9.6e-20	1.2	50.8	-5.42
LY6G5B	q<=9.6e-20	2.4	102.0	-5.41
MIR497HG	q<=9.6e-20	1.0	42.2	-5.40
BBS1	q<=9.6e-20	1.0	40.5	-5.34
MRM2	q<=9.6e-20	1.0	40.3	-5.33
IL1RL1	q<=9.6e-20	1.0	40.1	-5.33
SH3BGR	q<=9.6e-20	1.0	40.0	-5.32
NDST2	q<=9.6e-20	1.0	39.8	-5.31
IPO4	q<=9.6e-20	1.0	39.7	-5.31
NPM2	q<=9.6e-20	1.0	38.2	-5.26
PSMA6	q<=9.6e-20	6.8	261.5	-5.26
SRCAP	q<=9.6e-20	1.0	38.5	-5.26
CAMK1	q<=9.6e-20	4.7	176.8	-5.24
RPL26	q<=9.6e-20	40.4	1516.4	-5.23
