Gene	FDRAdjustedP-value	CancerSampleMed	NormalSampleMed	|log2FC|
PI16	1.1e-04	1.0	304.4	-8.25
ADH1B	2.6e-04	1.0	106.8	-6.74
SCARA5	1.4e-04	1.0	73.2	-6.19
TNXB	8.3e-04	1.1	67.9	-5.96
PCOLCE2	8.2e-04	1.8	78.7	-5.47
C16orf89	2.5e-05	1.0	37.3	-5.22
CLEC3B	4.8e-05	2.2	79.9	-5.16
FAM107A	6.8e-05	1.5	53.9	-5.12
NR4A1	6.4e-04	31.0	957.0	-4.95
FENDRR	5.9e-04	2.8	85.0	-4.94
CFD	9.5e-06	18.8	537.3	-4.83
PDK4	8.3e-04	6.8	172.4	-4.66
F10	5.5e-05	1.0	24.5	-4.62
ABI3BP	4.2e-04	2.0	47.8	-4.59
ADAM33	5.1e-05	1.6	37.1	-4.57
UBE2C	2.1e-16	290.2	14.1	4.36
MFAP4	1.5e-04	30.4	592.7	-4.29
ITIH5	4.3e-04	5.2	98.6	-4.25
PID1	1.2e-04	1.6	29.5	-4.20
CAVIN2	6.6e-04	3.5	64.8	-4.19
SLIT3	2.1e-04	3.8	68.9	-4.17
TPPP	1.3e-04	1.0	17.8	-4.15
MRGPRF	8.3e-04	3.4	60.3	-4.13
TROAP	q<=1.7e-18	32.6	1.9	4.11
ITGA8	2.2e-04	1.6	27.5	-4.08
GSTM5	7.8e-05	2.1	35.0	-4.03
IQGAP3	7.5e-07	16.1	1.0	4.01
PHYHIP	6.2e-05	1.5	23.8	-4.00
BIRC5	8.3e-07	63.0	4.1	3.95
SRPX	2.8e-05	8.3	127.7	-3.94
COL14A1	4.3e-04	5.5	84.4	-3.94
NEK2	2.8e-11	24.6	1.6	3.93
FOXF1	1.6e-04	5.0	75.3	-3.92
SPON1	2.3e-04	5.1	76.4	-3.90
OLFM1	7.6e-06	1.6	24.5	-3.89
ARHGAP6	4.5e-05	1.4	20.0	-3.88
DCN	3.1e-04	55.6	806.1	-3.86
EPHA3	6.5e-04	1.7	24.1	-3.86
ABCA8	3.0e-04	1.0	14.4	-3.85
CENPA	q<=1.7e-18	18.7	1.3	3.84
RBM24	2.8e-04	1.0	14.3	-3.84
LRRN4CL	2.8e-05	1.6	23.2	-3.84
MELK	3.7e-14	26.8	1.9	3.83
KIF18B	q<=1.7e-18	14.3	1.0	3.83
MIR100HG	2.0e-04	3.4	48.5	-3.83
PLAC9	1.1e-05	6.5	91.5	-3.81
SLIT2	3.9e-04	1.0	13.9	-3.79
GNG7	1.2e-05	1.2	16.0	-3.79
KCND3	1.1e-04	1.0	13.7	-3.78
TEDC2	2.9e-07	13.6	1.0	3.76
PLP1	7.5e-05	1.0	13.4	-3.75
KIF20A	3.4e-07	29.7	2.2	3.73
FOS	2.4e-04	264.5	3486.4	-3.72
DUSP1	4.4e-05	161.6	2116.7	-3.71
C1QTNF7	1.1e-04	1.0	13.0	-3.70
NUF2	q<=1.7e-18	25.2	1.9	3.70
FOXM1	2.6e-07	30.2	2.3	3.69
GPIHBP1	3.7e-04	1.3	16.0	-3.68
KRT14	1.6e-09	20.5	1.6	3.66
MMP11	2.1e-17	81.4	6.5	3.66
TOP2A	4.3e-08	68.0	5.5	3.63
TWIST2	7.0e-05	2.1	25.8	-3.61
ADAMTS1	4.1e-04	16.3	199.8	-3.61
SKA3	1.1e-10	12.2	1.0	3.60
SPARCL1	6.5e-04	58.1	693.3	-3.58
PKMYT1	2.0e-06	23.3	1.9	3.58
HLF	9.0e-04	1.0	11.8	-3.56
ANK2	5.3e-04	1.0	11.7	-3.55
CDK1	7.9e-14	76.0	6.6	3.53
CCNB2	8.1e-12	67.6	5.9	3.52
CA9	5.2e-13	11.5	1.0	3.52
IL33	8.9e-04	4.6	52.5	-3.50
TCEAL7	5.8e-05	1.8	20.3	-3.48
NR3C2	9.9e-04	1.0	11.2	-3.48
CENPF	8.4e-05	19.1	1.7	3.48
TK1	5.9e-09	153.1	13.8	3.48
KLHDC7B	1.5e-17	11.0	1.0	3.46
KIF4A	1.2e-12	16.3	1.5	3.46
CDC20	1.5e-15	107.0	9.8	3.45
AURKB	1.7e-10	64.5	5.9	3.44
TPX2	4.7e-13	71.2	6.6	3.42
EPIST	6.1e-04	1.0	10.7	-3.42
SKA1	3.1e-08	11.0	1.0	3.40
CEP55	7.7e-05	31.6	3.0	3.40
MMP1	4.6e-07	23.7	2.2	3.40
TPSB2	9.6e-05	8.8	90.4	-3.36
GYPC	1.5e-04	13.0	133.6	-3.36
RAI2	1.0e-04	3.5	36.3	-3.36
TTK	1.5e-10	15.6	1.5	3.35
DUXAP8	5.7e-11	10.1	1.0	3.34
NCAPH	1.1e-11	10.2	1.0	3.34
TPSAB1	1.0e-03	7.5	75.9	-3.34
CDT1	1.2e-09	30.2	3.0	3.33
VSTM4	7.8e-05	3.0	29.8	-3.32
PAMR1	6.7e-05	4.9	48.7	-3.31
ASPA	2.2e-05	1.0	9.9	-3.30
PIMREG	7.0e-08	13.4	1.4	3.29
FGFR1	3.0e-04	10.0	97.5	-3.29
NCAPG	1.4e-08	9.9	1.0	3.29
CDCA3	2.4e-10	45.4	4.7	3.28
TRIP13	1.2e-12	31.5	3.3	3.28
MKI67	1.0e-07	23.5	2.4	3.28
TPSD1	1.0e-03	1.0	9.6	-3.26
KIF23	8.2e-07	22.4	2.3	3.26
ACOX2	5.0e-04	1.1	10.4	-3.24
GATA6	6.9e-04	1.9	18.3	-3.24
RCAN2	9.4e-04	5.1	47.8	-3.24
RERGL	4.7e-04	1.0	9.4	-3.24
MATN2	2.8e-05	14.4	134.0	-3.22
CST1	6.0e-04	9.3	1.0	3.21
MEX3A	6.4e-09	9.2	1.0	3.21
SPC25	4.8e-07	15.5	1.7	3.21
MYADM	2.5e-04	27.2	250.7	-3.20
AURKA	1.7e-14	36.4	4.0	3.20
JAM2	7.2e-05	2.6	23.8	-3.20
ZWINT	1.6e-13	67.9	7.4	3.19
ULBP2	8.2e-17	9.2	1.0	3.19
KIF2C	4.3e-14	35.5	3.9	3.19
CST6	1.1e-06	33.8	3.7	3.18
SYNE4	3.0e-08	25.6	2.8	3.18
CDCA5	3.1e-07	38.7	4.3	3.17
ESM1	q<=1.7e-18	9.0	1.0	3.17
DLGAP5	1.8e-09	19.3	2.2	3.14
MYBL2	5.6e-11	77.1	8.7	3.14
FBLN2	4.6e-04	17.0	148.9	-3.13
HJURP	1.6e-16	17.7	2.0	3.12
BUB1B	2.3e-07	11.6	1.3	3.12
DEPDC1B	9.5e-13	10.8	1.3	3.10
ASF1B	2.1e-11	50.9	6.0	3.09
KLF2	1.4e-04	8.2	69.5	-3.08
PLK1	7.4e-15	43.6	5.1	3.08
CDKN2A	q<=1.7e-18	30.6	3.6	3.07
GTSE1	4.3e-15	15.5	1.8	3.07
PRKCB	1.6e-04	1.9	15.5	-3.06
CADM3	7.0e-04	1.0	8.3	-3.06
CCNB1	5.0e-11	82.2	9.8	3.06
FBLN5	3.5e-04	12.5	104.2	-3.06
CDC45	1.6e-12	25.5	3.1	3.05
LINC01980	7.3e-09	8.3	1.0	3.05
CDC25C	2.1e-08	8.3	1.0	3.05
EXO1	2.9e-12	8.5	1.0	3.04
PBK	2.1e-06	16.6	2.0	3.03
GHR	8.0e-04	1.0	8.1	-3.03
PRKAR2B	3.9e-05	3.7	29.7	-3.00
CKAP2L	4.5e-07	8.0	1.0	3.00
C4orf48	1.7e-11	24.9	3.2	2.98
MCM10	8.3e-10	7.9	1.0	2.98
INMT	4.0e-04	2.1	16.7	-2.98
TMEM132A	2.3e-17	49.8	6.3	2.98
GINS1	1.5e-10	18.4	2.3	2.98
UHRF1	8.1e-15	15.8	2.0	2.98
CDCA8	2.2e-13	32.9	4.2	2.98
ASPM	1.3e-13	7.9	1.0	2.98
AR	8.8e-04	1.5	11.4	-2.97
KIFC1	8.3e-11	47.7	6.1	2.97
MASP1	7.3e-04	1.0	7.8	-2.96
FAM110B	8.7e-04	1.3	10.1	-2.96
CELF2	7.0e-04	2.4	18.4	-2.96
INA	2.3e-05	7.8	1.0	2.96
RTL5	4.0e-04	1.4	10.9	-2.95
PTH1R	2.3e-05	1.0	7.7	-2.95
LAMA2	9.1e-04	2.1	15.9	-2.93
RAD51	2.1e-09	15.1	2.0	2.93
CCNA2	9.9e-08	25.3	3.3	2.93
SPAG5	1.2e-13	26.4	3.5	2.93
SYNE1	1.5e-04	1.7	13.0	-2.92
PYCR1	q<=1.7e-18	40.2	5.3	2.92
WDR62	3.1e-04	7.7	1.0	2.92
RRM2	2.1e-05	70.1	9.3	2.92
GFRA3	3.1e-04	1.0	7.6	-2.92
TNFAIP8L3	5.7e-04	2.3	17.4	-2.90
HMMR	3.1e-08	14.0	1.9	2.89
RAD51AP1	2.8e-08	14.2	1.9	2.89
SAPCD2	q<=1.7e-18	10.1	1.4	2.88
FABP6	2.6e-08	20.9	2.8	2.88
SOD3	3.5e-04	24.6	180.9	-2.88
CYBRD1	5.4e-04	20.2	148.4	-2.88
PCLAF	1.5e-11	12.5	1.7	2.87
SGO1	5.9e-12	7.3	1.0	2.87
AUNIP	1.7e-11	9.0	1.2	2.87
LGI4	2.9e-06	2.2	16.2	-2.86
NTN1	7.0e-04	1.4	10.2	-2.86
PDE2A	4.2e-04	2.5	17.9	-2.85
PRR11	7.1e-10	8.3	1.2	2.85
GREM2	5.6e-04	1.0	7.1	-2.84
SEMA3E	4.4e-04	1.0	7.2	-2.84
DEPDC1	1.8e-05	7.1	1.0	2.84
PELI2	9.6e-05	2.1	15.1	-2.84
SPC24	9.2e-07	25.8	3.7	2.82
FAIM2	1.6e-04	1.0	7.1	-2.82
LINC01082	2.7e-04	1.0	7.0	-2.81
NAP1L2	1.1e-04	1.4	9.5	-2.81
