Gene	FDRAdjustedP-value	CancerSampleMed	NormalSampleMed	|log2FC|
LEP	1.5e-12	1.0	146.2	-7.19
CIDEC	1.3e-14	2.9	383.8	-7.05
TRARG1	9.1e-16	1.0	109.7	-6.78
ADIPOQ	9.4e-12	2.2	234.2	-6.74
CD300LG	q<=5.0e-20	1.1	111.1	-6.62
GPD1	2.3e-14	3.6	331.9	-6.51
PLIN1	3.3e-15	6.4	577.7	-6.50
ADH1B	3.1e-12	5.7	480.1	-6.39
COL10A1	q<=5.0e-20	82.6	1.0	6.37
AQP7	3.3e-14	1.0	73.0	-6.19
PLIN4	1.2e-13	5.9	432.7	-6.19
FABP4	6.8e-15	36.7	2516.3	-6.10
RBP4	4.1e-14	5.3	338.0	-5.99
MMP11	q<=5.0e-20	376.1	6.0	5.98
CIDEA	3.4e-10	1.0	54.2	-5.76
SCARA5	8.1e-17	1.0	51.7	-5.69
PI16	1.8e-16	2.5	118.7	-5.57
OXTR	q<=5.0e-20	3.1	141.4	-5.53
VEGFD	q<=5.0e-20	1.0	44.8	-5.49
PCOLCE2	1.1e-14	2.2	97.2	-5.47
LYVE1	3.0e-16	1.4	61.1	-5.46
PIGR	8.6e-12	3.6	152.3	-5.41
ECRG4	q<=5.0e-20	2.8	116.1	-5.37
STAC2	3.8e-17	3.3	136.5	-5.36
CHRDL1	9.2e-20	4.9	200.5	-5.36
COL11A1	q<=5.0e-20	40.7	1.0	5.35
SOX10	5.0e-17	2.6	101.0	-5.30
LGALS12	9.4e-11	1.0	38.9	-5.28
LINCADL	8.8e-13	1.0	38.4	-5.26
KCNIP2	1.3e-13	1.8	65.7	-5.19
SLC19A3	4.5e-13	1.0	35.9	-5.17
LPL	7.7e-14	12.7	450.5	-5.15
AKR1C2	3.3e-14	2.2	73.2	-5.05
CD36	6.3e-17	34.3	1138.1	-5.05
TIMP4	1.8e-13	2.8	91.1	-5.03
S100P	q<=5.0e-20	88.9	2.7	5.03
LINC02188	3.7e-08	1.7	55.4	-5.00
SFRP1	q<=5.0e-20	19.8	625.5	-4.98
CAVIN2	q<=5.0e-20	3.4	106.7	-4.96
FOSB	1.0e-14	12.5	375.9	-4.91
LINC02607	q<=5.0e-20	1.0	29.7	-4.89
HSPB6	5.1e-13	1.8	50.8	-4.86
TNXB	4.0e-18	2.7	78.3	-4.84
HSPB7	8.0e-11	2.6	73.2	-4.82
HSD11B1-AS1	7.8e-16	1.0	28.0	-4.81
ADH1C	q<=5.0e-20	1.0	26.9	-4.75
SAA1	6.6e-16	59.0	1583.4	-4.75
MIR145	q<=5.0e-20	2.0	54.8	-4.74
COL17A1	q<=5.0e-20	5.7	150.0	-4.71
S100B	1.4e-16	4.9	124.8	-4.66
CXCL2	2.2e-19	2.2	54.9	-4.66
ABCA8	q<=5.0e-20	1.7	42.2	-4.65
SYNM	q<=5.0e-20	7.6	190.3	-4.64
RERGL	q<=5.0e-20	1.1	26.3	-4.62
PITX1	q<=5.0e-20	26.2	1.1	4.62
GLYAT	2.1e-14	1.0	24.6	-4.62
G0S2	2.1e-13	15.2	372.5	-4.61
PPP1R1A	5.3e-15	5.6	133.2	-4.56
LIPE	1.7e-14	6.5	154.1	-4.56
BTNL9	q<=5.0e-20	4.3	101.0	-4.55
FHL1	4.0e-09	25.6	594.2	-4.54
ATP1A2	2.7e-07	1.0	23.3	-4.54
COMP	q<=5.0e-20	88.5	3.8	4.54
CA4	q<=5.0e-20	1.0	23.0	-4.53
GABRP	9.6e-10	9.1	210.6	-4.53
KRT14	3.5e-17	47.8	1082.9	-4.50
NEK2	q<=5.0e-20	30.6	1.4	4.45
AKR1C1	4.3e-16	1.2	25.7	-4.44
ALDH1L1	2.3e-09	1.0	21.7	-4.44
KLK5	2.6e-07	3.6	76.5	-4.41
KRT5	6.8e-19	53.4	1125.9	-4.40
CES1	3.9e-14	7.7	162.3	-4.40
HBB	3.8e-05	14.4	302.4	-4.39
ACTG2	1.6e-19	20.7	431.9	-4.38
PCK1	3.3e-09	1.0	20.8	-4.38
NTRK2	q<=5.0e-20	7.6	154.5	-4.35
PAMR1	q<=5.0e-20	3.7	74.3	-4.34
MMRN1	4.6e-19	1.4	28.0	-4.33
HBA2	1.3e-05	2.8	55.8	-4.32
ITIH5	1.4e-18	6.1	120.3	-4.30
TNMD	2.9e-08	1.0	19.6	-4.29
FAM107A	q<=5.0e-20	2.6	50.1	-4.27
SOSTDC1	4.4e-13	1.8	33.4	-4.25
SAMD5	q<=5.0e-20	1.0	19.3	-4.25
FMO2	q<=5.0e-20	4.5	85.0	-4.24
KLK7	2.2e-04	1.5	29.0	-4.24
MME	q<=5.0e-20	7.5	141.2	-4.23
MYH11	2.1e-16	11.6	216.9	-4.23
TMEM132C	9.8e-16	1.0	18.5	-4.21
GPIHBP1	q<=5.0e-20	3.6	66.2	-4.20
ABCA9	q<=5.0e-20	1.1	20.1	-4.20
LINC02613	1.2e-18	1.8	32.9	-4.16
PKMYT1	q<=5.0e-20	17.8	1.0	4.15
BBOX1	5.0e-19	2.0	36.2	-4.15
PI15	2.5e-05	2.2	39.6	-4.14
CRYAB	2.7e-18	64.8	1121.1	-4.11
SAA2	8.9e-09	2.2	36.4	-4.08
UBE2C	q<=5.0e-20	111.9	6.7	4.07
TMEM100	1.9e-13	1.2	20.6	-4.06
GJB2	q<=5.0e-20	31.7	1.9	4.05
AK5	q<=5.0e-20	4.0	66.3	-4.04
PDK4	3.4e-14	18.6	305.0	-4.04
FOLR1	1.3e-10	3.5	56.8	-4.03
CHL1	q<=5.0e-20	1.4	23.6	-4.02
KIT	1.7e-19	9.1	146.7	-4.01
NKAIN1	q<=5.0e-20	16.4	1.0	3.98
