Gene	FDRAdjustedP-value	CancerSampleMed	NormalSampleMed	|log2FC|
KRT5	q<=1.7e-19	7600.6	5.9	10.34
KRT17	q<=1.7e-19	4226.1	3.3	10.32
S100A2	q<=1.7e-19	2685.2	3.4	9.62
SFN	q<=1.7e-19	3138.4	5.1	9.25
LY6D	4.0e-11	502.1	1.1	8.85
ADAM33	9.9e-06	1.8	671.6	-8.54
MIR205HG	q<=1.7e-19	360.6	1.0	8.49
FXYD1	5.2e-06	1.0	342.9	-8.42
MEG3	2.8e-06	3.5	1182.6	-8.41
KRT14	1.3e-17	638.1	1.9	8.37
S100A14	3.6e-04	1022.6	3.4	8.24
HSPB6	1.3e-05	1.1	318.5	-8.19
PCP4	7.0e-05	1.0	274.1	-8.10
PKP1	3.3e-05	270.0	1.0	8.08
PI3	7.4e-10	420.5	1.6	8.07
CXCL17	q<=1.7e-19	253.4	1.0	7.99
PDZK1IP1	q<=1.7e-19	270.7	1.1	7.89
DPT	8.0e-05	1.0	242.2	-7.86
DES	9.4e-04	3.9	884.8	-7.84
SERPINB5	6.1e-14	223.7	1.0	7.80
LAD1	1.5e-06	217.5	1.0	7.76
LAMB3	q<=1.7e-19	257.7	1.2	7.73
KRT16	3.6e-15	960.1	4.6	7.72
KRT7	q<=1.7e-19	556.8	2.7	7.71
CCN5	1.0e-04	2.2	461.0	-7.70
MAL2	1.0e-13	204.2	1.0	7.67
TACSTD2	5.0e-11	1303.9	7.1	7.51
RAB25	1.0e-08	359.9	2.0	7.51
RHOV	q<=1.7e-19	178.0	1.0	7.48
RN7SL1	6.9e-15	171.7	1.0	7.42
MASP1	7.2e-07	1.2	196.7	-7.41
EPCAM	q<=1.7e-19	165.9	1.0	7.37
UBE2C	q<=1.7e-19	315.0	1.9	7.37
CDKN2A	q<=1.7e-19	327.6	2.0	7.34
CDH1	5.7e-17	201.3	1.3	7.33
PKP3	6.7e-07	158.0	1.0	7.30
DIO3OS	6.7e-06	3.6	552.6	-7.26
DSC3	8.7e-17	152.0	1.0	7.25
DSG3	1.2e-05	151.5	1.0	7.24
SERPINB4	3.7e-09	144.6	1.0	7.18
PI16	9.7e-05	1.0	144.0	-7.17
MYH11	1.2e-04	4.3	612.9	-7.15
CCL14	2.9e-06	1.0	139.6	-7.13
KRT15	2.7e-12	334.1	2.4	7.12
PRSS8	9.9e-14	136.8	1.0	7.10
CSDC2	1.3e-06	1.0	136.5	-7.09
RRM2	q<=1.7e-19	131.1	1.0	7.03
CDC20	q<=1.7e-19	159.2	1.2	7.02
GJB3	q<=1.7e-19	127.0	1.0	6.99
RNASE4	4.2e-07	1.0	127.4	-6.99
MUSTN1	3.4e-04	1.0	124.6	-6.96
LMOD1	4.0e-07	2.2	268.2	-6.95
KRT6B	1.6e-04	123.8	1.0	6.95
MYBL2	q<=1.7e-19	122.2	1.0	6.93
EMX2	1.7e-07	1.0	116.7	-6.87
TP63	7.6e-13	127.5	1.1	6.86
PRRT2	8.5e-06	1.0	114.8	-6.81
ECRG4	5.8e-05	1.0	111.5	-6.80
CLCA2	1.9e-17	109.7	1.0	6.78
LGI4	3.2e-06	1.7	185.2	-6.76
CLDN4	1.0e-16	393.5	3.7	6.75
GSTM5	3.5e-07	1.0	109.2	-6.74
NECTIN4	8.1e-08	106.9	1.0	6.74
TNS4	1.0e-06	106.5	1.0	6.73
OGN	9.4e-05	1.0	106.2	-6.73
C7	3.1e-04	1.0	104.8	-6.71
PITX1	2.2e-05	181.3	1.7	6.71
LGALS7B	4.2e-06	103.3	1.0	6.69
AP1M2	q<=1.7e-19	101.8	1.0	6.67
APOD	4.0e-05	9.5	962.0	-6.67
IRF6	q<=1.7e-19	204.9	2.0	6.66
AURKB	q<=1.7e-19	100.0	1.0	6.64
ASF1B	q<=1.7e-19	112.4	1.1	6.64
PLSCR3	3.2e-08	1.0	99.4	-6.63
TPX2	q<=1.7e-19	98.4	1.0	6.62
FAM83A	4.6e-14	97.7	1.0	6.61
HSPB7	8.3e-06	1.0	97.0	-6.60
PGR	3.1e-06	1.0	94.3	-6.56
TOP2A	q<=1.7e-19	94.6	1.0	6.56
ARHGEF25	1.7e-07	1.0	93.6	-6.55
CLDN7	3.2e-09	197.0	2.1	6.53
ESRP1	2.4e-10	90.4	1.0	6.50
PGM5	2.5e-04	1.0	87.0	-6.44
AMT	7.3e-06	1.0	85.8	-6.42
ST14	q<=1.7e-19	235.4	2.8	6.41
MIR3654	6.1e-06	85.0	1.0	6.41
GJB5	3.3e-15	84.5	1.0	6.40
FAM83H	4.4e-13	83.8	1.0	6.39
ELF3	5.3e-07	179.7	2.2	6.36
PRLR	2.8e-05	1.2	100.6	-6.34
S100A7	3.9e-11	104.0	1.3	6.33
TK1	q<=1.7e-19	288.8	3.6	6.33
PLA2G4B	1.2e-06	1.0	78.0	-6.29
SEPTIN5	6.2e-08	1.0	77.4	-6.28
MRGPRF	4.6e-08	2.3	173.9	-6.26
BIRC5	q<=1.7e-19	76.4	1.0	6.25
PYURF	5.8e-07	75.5	1.0	6.24
DSG2	q<=1.7e-19	75.6	1.0	6.24
NCAM1	1.1e-05	1.0	74.9	-6.23
IGFBP5	9.0e-06	22.3	1654.9	-6.21
S100A8	6.9e-04	3475.9	47.2	6.20
IL20RB	1.2e-09	103.5	1.4	6.18
PRELP	1.4e-06	3.3	240.4	-6.18
FHL1	2.2e-06	7.6	553.3	-6.18
CEACAM6	4.0e-11	72.8	1.0	6.18
TMPRSS4	q<=1.7e-19	71.4	1.0	6.16
ANXA8	3.2e-09	71.7	1.0	6.16
GPRASP1	3.8e-08	1.0	70.8	-6.15
HAND2	1.2e-07	1.0	70.8	-6.15
FAM107A	9.7e-07	1.1	79.5	-6.14
F10	2.7e-05	1.0	70.6	-6.14
CBLC	q<=1.7e-19	69.8	1.0	6.13
CEACAM5	1.0e-09	70.1	1.0	6.13
RIPOR3	2.9e-06	1.6	113.7	-6.12
MIR1244-4	1.7e-18	72.3	1.0	6.12
MSLN	5.4e-08	69.1	1.0	6.11
SDC1	2.6e-14	702.3	10.2	6.11
GREB1	8.1e-07	1.3	88.1	-6.11
TMEM35B	3.3e-07	1.0	68.8	-6.11
EGFL8	3.0e-06	1.2	82.7	-6.07
HAND2-AS1	2.4e-06	1.0	66.2	-6.05
ACTA2-AS1	1.6e-04	1.0	66.4	-6.05
EMX2OS	1.4e-08	1.0	65.1	-6.03
CLDN1	q<=1.7e-19	256.8	3.9	6.03
CD68	5.4e-04	1.0	64.6	-6.01
CALML5	4.2e-10	63.8	1.0	6.00
IGF2	3.6e-05	1.0	63.6	-5.99
FGF7	1.6e-06	1.0	62.7	-5.97
PLEK2	q<=1.7e-19	62.6	1.0	5.97
LRRC4B	1.6e-07	1.0	62.5	-5.97
TNNT1	q<=1.7e-19	61.9	1.0	5.95
LMO3	5.3e-06	1.0	61.2	-5.94
PTGIS	1.2e-04	1.0	60.9	-5.93
SPINT1	3.4e-11	237.9	4.0	5.90
SYNPO2	8.0e-08	2.3	136.1	-5.87
ALDH1A2	2.1e-04	1.6	93.8	-5.87
AR	7.7e-09	1.0	57.5	-5.84
ZWINT	q<=1.7e-19	123.7	2.2	5.83
CACNA1H	7.9e-07	1.0	56.5	-5.82
TCEAL2	8.6e-05	1.0	55.8	-5.80
PODN	7.5e-07	2.9	158.6	-5.79
