Gene	FDRAdjustedP-value	CancerSampleMed	NormalSampleMed	|log2FC|
APOC3	3.1e-05	7.6	19790.9	-11.34
ADH4	1.1e-04	1.0	2270.3	-11.15
CYP2A6	2.1e-04	1.0	2007.8	-10.97
APOA1	2.3e-05	11.5	19009.4	-10.69
HP	1.3e-05	15.7	25136.6	-10.64
AHSG	4.2e-07	4.0	6202.6	-10.61
SERPINC1	4.7e-14	2.6	3442.1	-10.36
CYP3A4	6.3e-04	1.0	1234.6	-10.26
PLG	8.0e-12	1.9	1794.4	-9.87
TF	2.1e-07	1.1	974.0	-9.81
AGXT	2.2e-10	1.7	1457.7	-9.70
ARG1	5.6e-08	1.1	867.3	-9.65
C9	2.3e-04	1.0	802.2	-9.65
CPS1	2.6e-07	1.0	800.0	-9.64
SULT2A1	9.3e-06	1.0	702.7	-9.46
CYP2E1	1.6e-04	10.1	6806.1	-9.40
CFHR2	5.4e-10	1.0	558.7	-9.13
ALDOB	1.4e-05	14.3	7841.5	-9.10
HPX	7.2e-07	14.0	7359.4	-9.04
BHMT	1.5e-05	1.0	520.3	-9.02
APOA2	3.0e-06	49.8	25540.3	-9.00
SLC22A1	4.4e-05	1.7	854.9	-8.95
F9	7.5e-06	1.0	477.3	-8.90
APOA5	4.9e-05	1.0	479.0	-8.90
HSD17B6	2.1e-06	2.2	990.8	-8.81
HPR	4.9e-05	1.0	432.9	-8.76
SLC25A47	7.0e-05	1.0	433.9	-8.76
DPYS	6.6e-06	1.0	428.0	-8.74
HMGCS2	1.7e-11	4.6	1946.6	-8.72
HSD17B13	8.3e-05	1.1	433.0	-8.68
AFM	2.6e-05	1.0	410.4	-8.68
HAO1	2.2e-07	1.0	410.3	-8.68
CYP8B1	1.1e-05	1.0	398.7	-8.64
HRG	2.5e-06	9.9	3897.1	-8.63
UGT2B10	7.4e-04	1.0	373.2	-8.54
GSTA1	3.6e-05	3.5	1290.9	-8.52
APOF	1.1e-04	1.0	339.5	-8.41
PCK1	9.7e-04	2.7	909.8	-8.38
CFHR1	4.9e-07	2.4	783.1	-8.36
ADH1A	6.8e-06	3.7	1198.2	-8.34
SLC38A4	9.1e-08	1.0	322.3	-8.33
SLC10A1	1.0e-06	1.0	316.9	-8.31
SPP2	1.7e-04	1.0	306.9	-8.26
LECT2	8.2e-07	1.0	303.2	-8.24
SLC22A7	5.2e-05	1.0	299.6	-8.23
GLYAT	3.5e-06	1.0	296.8	-8.21
SERPINA11	2.6e-05	1.6	461.0	-8.18
HAO2	2.8e-06	1.0	287.3	-8.17
CDO1	2.8e-07	1.2	347.8	-8.13
F2	1.5e-10	7.3	1984.8	-8.08
SLC2A2	1.0e-06	1.6	425.1	-8.07
KNG1	6.6e-18	4.2	1132.1	-8.06
RDH16	4.2e-06	2.3	593.8	-8.04
CPN2	6.7e-07	1.0	238.7	-7.90
ANGPTL3	2.2e-06	1.5	364.9	-7.89
SERPIND1	3.0e-09	4.4	1023.1	-7.85
CYP4A22	8.3e-06	1.2	248.8	-7.76
HPD	1.1e-06	6.6	1427.0	-7.75
SLC13A5	6.2e-07	1.0	212.8	-7.73
FABP1	1.7e-04	26.9	5469.0	-7.67
