Gene	FDRAdjustedP-value	CancerSampleMed	NormalSampleMed	|log2FC|
AQP8	5.1e-07	1.1	1601.7	-10.54
CA1	3.5e-10	1.0	1271.4	-10.31
ZG16	3.3e-11	1.2	895.8	-9.51
CLCA4	2.3e-08	1.0	658.1	-9.36
CA4	7.7e-13	1.0	553.7	-9.11
MS4A12	3.0e-08	1.3	684.4	-9.06
GUCA2B	4.3e-10	1.0	393.7	-8.62
CD177	8.9e-09	1.5	581.1	-8.58
CHGA	8.1e-11	1.3	368.2	-8.18
TMIGD1	4.1e-13	1.0	259.9	-8.02
GUCA2A	9.3e-13	13.4	2235.5	-7.38
PYY	3.3e-06	1.0	154.7	-7.27
CA7	3.9e-13	1.0	128.3	-7.00
UGT2B17	3.9e-09	4.0	507.5	-6.99
SLC26A3	2.4e-11	26.3	3009.5	-6.84
OTOP2	1.6e-10	1.0	109.5	-6.77
CLCA1	1.7e-13	13.3	1418.6	-6.74
BEST4	8.3e-12	1.0	86.2	-6.43
CLDN2	q<=9.5e-20	79.6	1.0	6.32
MT1M	6.1e-11	4.9	362.5	-6.20
CA2	1.9e-16	30.3	2221.1	-6.20
MMP7	q<=9.5e-20	68.7	1.0	6.10
ADH1B	5.3e-12	1.0	65.2	-6.03
SCNN1B	1.2e-10	1.7	107.1	-5.96
SCARA5	5.2e-17	1.0	60.2	-5.91
SLC4A4	6.6e-17	1.6	92.4	-5.88
CDH3	q<=9.5e-20	59.1	1.0	5.88
CEACAM7	1.4e-11	55.0	3026.6	-5.78
ADH1C	1.2e-14	12.6	672.0	-5.73
FOXQ1	q<=9.5e-20	52.4	1.0	5.71
CDKN2B-AS1	1.9e-12	1.0	52.5	-5.71
C11orf86	1.8e-10	1.2	60.7	-5.65
ITLN1	2.8e-06	9.0	450.8	-5.64
JCHAIN	2.4e-11	120.3	6022.9	-5.64
CWH43	1.4e-15	1.0	49.4	-5.63
B4GALNT2	1.7e-09	1.0	49.5	-5.63
LYPD8	8.8e-10	10.6	526.5	-5.63
ETV4	q<=9.5e-20	121.5	2.6	5.57
SLC26A2	5.9e-12	13.2	616.5	-5.54
BEST2	6.8e-11	1.0	45.0	-5.49
ANPEP	5.9e-04	18.9	830.5	-5.46
CEMIP	q<=9.5e-20	44.9	1.0	5.46
CHP2	6.5e-17	11.3	458.6	-5.34
UGT2A3	5.2e-16	2.5	100.5	-5.34
CASC19	4.6e-15	129.6	3.3	5.31
MT1H	1.6e-06	6.3	241.2	-5.26
DNASE1L3	3.5e-14	1.4	48.7	-5.15
ABCG2	6.2e-06	1.0	35.5	-5.15
DHRS9	2.2e-13	7.4	249.9	-5.08
SPIB	8.0e-14	1.0	33.1	-5.05
B3GNT6	2.5e-12	1.7	56.0	-5.02
SST	1.7e-04	1.0	30.9	-4.95
CLDN8	2.5e-05	1.0	30.8	-4.94
CLDN1	q<=9.5e-20	68.4	2.4	4.86
TRPM6	2.2e-09	1.2	34.1	-4.83
UGT2B15	2.8e-08	1.5	41.4	-4.81
NXPE4	2.8e-15	9.2	259.1	-4.81
BMP3	6.0e-14	1.0	27.9	-4.80
PKIB	3.3e-18	7.1	194.1	-4.78
SULT1A2	1.0e-10	1.5	40.1	-4.72
MMP3	q<=9.5e-20	26.0	1.0	4.70
PI16	5.4e-09	1.0	25.7	-4.68
SCGN	3.3e-12	1.0	25.6	-4.68
PRSS22	q<=9.5e-20	35.5	1.4	4.67
HSD17B2	9.8e-11	8.0	195.6	-4.61
CST1	1.1e-12	24.4	1.0	4.61
SLC51B	8.2e-14	7.5	182.3	-4.60
GREM2	3.1e-12	1.0	24.0	-4.59
USP2	1.7e-09	1.1	25.1	-4.56
KRT23	q<=9.5e-20	23.1	1.0	4.53
TMEM82	1.3e-14	1.4	31.1	-4.52
LYVE1	3.7e-08	1.2	27.9	-4.51
KRT80	q<=9.5e-20	22.8	1.0	4.51
TMEM236	1.1e-15	2.3	50.4	-4.48
LRRN2	3.0e-10	1.2	27.4	-4.48
