Gene	FDRAdjustedP-value	CancerSampleMed	NormalSampleMed	|log2FC|
SEPTIN5	q<=2.4e-20	1.0	522.7	-9.03
FXYD1	q<=2.4e-20	1.0	389.3	-8.61
MIR3654	q<=2.4e-20	387.7	1.0	8.60
RN7SL1	4.0e-12	323.8	1.0	8.34
LOC728392	q<=2.4e-20	182.4	1.0	7.51
PTGDS	q<=2.4e-20	21.1	3837.9	-7.51
PYURF	q<=2.4e-20	156.8	1.0	7.29
GRIN1	q<=2.4e-20	2.3	343.2	-7.21
UBE2C	q<=2.4e-20	127.4	1.0	6.99
DDN	q<=2.4e-20	2.0	204.4	-6.69
OPALIN	q<=2.4e-20	1.0	100.0	-6.64
PACSIN1	q<=2.4e-20	3.1	304.5	-6.63
NEFM	q<=2.4e-20	1.7	167.4	-6.63
IDS	q<=2.4e-20	7.5	673.4	-6.49
CHI3L2	1.5e-11	231.0	2.7	6.41
TNC	q<=2.4e-20	164.9	2.0	6.33
ATP1A3	q<=2.4e-20	5.0	395.6	-6.29
JPH3	q<=2.4e-20	3.3	244.0	-6.20
JAKMIP1	q<=2.4e-20	1.0	72.6	-6.18
CALY	q<=2.4e-20	2.2	155.1	-6.15
GJB6	q<=2.4e-20	1.0	70.7	-6.14
PRKCG	q<=2.4e-20	1.2	82.9	-6.12
IGFBP2	q<=2.4e-20	940.8	13.7	6.10
CPLX2	q<=2.4e-20	8.9	609.5	-6.09
CPXM1	q<=2.4e-20	76.1	1.2	6.01
SYNPR	q<=2.4e-20	2.0	130.3	-5.99
SNORA8	q<=2.4e-20	1.0	62.1	-5.96
C2orf74	q<=2.4e-20	1.6	96.7	-5.96
MUSTN1	q<=2.4e-20	1.0	60.9	-5.93
ASNS	q<=2.4e-20	1.7	97.6	-5.88
CACNG3	q<=2.4e-20	1.0	58.0	-5.86
CAPN3	q<=2.4e-20	1.2	66.5	-5.84
BIRC5	q<=2.4e-20	57.4	1.0	5.84
BBS1	q<=2.4e-20	1.0	56.8	-5.83
HRH3	q<=2.4e-20	1.0	57.1	-5.83
GNG3	q<=2.4e-20	2.4	133.7	-5.82
WIF1	q<=2.4e-20	1.0	55.0	-5.78
NUDT3	q<=2.4e-20	1.0	54.5	-5.77
TMEFF1	q<=2.4e-20	1.0	52.6	-5.72
RAB4B	q<=2.4e-20	1.6	87.0	-5.72
TJP2	q<=2.4e-20	1.0	52.6	-5.72
METTL7B	q<=2.4e-20	181.4	3.5	5.71
RBFOX1	q<=2.4e-20	1.8	92.0	-5.71
SLC12A5	q<=2.4e-20	2.2	114.1	-5.70
CKMT1B	q<=2.4e-20	1.0	52.1	-5.70
ECE2	q<=2.4e-20	1.0	51.2	-5.68
RRM2	q<=2.4e-20	49.7	1.0	5.63
TNFRSF6B	q<=2.4e-20	1.0	49.4	-5.63
DGCR6	q<=2.4e-20	1.0	48.7	-5.61
CHD5	q<=2.4e-20	1.0	48.7	-5.61
FCGBP	q<=2.4e-20	72.6	1.5	5.61
TOP2A	q<=2.4e-20	47.7	1.0	5.58
MDP1	q<=2.4e-20	1.0	47.8	-5.58
CHD1L	q<=2.4e-20	1.0	47.1	-5.56
CORO6	q<=2.4e-20	1.9	87.7	-5.55
LRP11	q<=2.4e-20	1.0	46.7	-5.54
AIFM3	q<=2.4e-20	2.4	109.6	-5.53
IQSEC3	q<=2.4e-20	1.7	76.5	-5.51
PLA2G4B	q<=2.4e-20	1.0	45.7	-5.51
CDC20	q<=2.4e-20	52.2	1.2	5.50
MOBP	q<=2.4e-20	6.3	282.7	-5.48
GABRG2	q<=2.4e-20	1.3	56.2	-5.46
PHYHIP	q<=2.4e-20	16.3	720.4	-5.46
SNX15	q<=2.4e-20	1.1	48.7	-5.44
MAL2	q<=2.4e-20	1.0	43.1	-5.43
NLRP1	q<=2.4e-20	2.6	113.4	-5.43
CPNE6	q<=2.4e-20	3.8	163.9	-5.42
MIR3682	q<=2.4e-20	96.0	2.3	5.41
ARHGDIG	q<=2.4e-20	8.1	333.4	-5.37
SERPINE1	6.2e-11	101.4	2.5	5.37
UPK3BL1	q<=2.4e-20	1.0	41.4	-5.37
SULT4A1	q<=2.4e-20	4.1	167.1	-5.34
VWA5B2	q<=2.4e-20	1.6	66.1	-5.33
NICN1	q<=2.4e-20	1.0	40.4	-5.33
CCNB2	q<=2.4e-20	40.0	1.0	5.32
AMT	q<=2.4e-20	1.0	39.8	-5.31
MFSD14A	q<=2.4e-20	1.0	39.4	-5.30
CDK1	q<=2.4e-20	39.3	1.0	5.29
MYBL2	q<=2.4e-20	39.0	1.0	5.29
CELF4	q<=2.4e-20	3.1	120.0	-5.29
CHI3L1	9.2e-14	2530.4	65.0	5.28
NEURL1	q<=2.4e-20	2.2	83.6	-5.28
SPOCD1	8.5e-18	38.2	1.0	5.26
MYT1L	q<=2.4e-20	1.0	38.1	-5.25
CRYM	q<=2.4e-20	5.1	191.6	-5.23
F2R	q<=2.4e-20	63.1	1.7	5.22
LTF	3.1e-06	53.6	1.4	5.22
CAMK2A	q<=2.4e-20	7.4	273.1	-5.21
PRR4	q<=2.4e-20	1.3	47.1	-5.21
GAD2	q<=2.4e-20	1.1	42.0	-5.21
PIMREG	q<=2.4e-20	36.8	1.0	5.20
GABRA5	q<=2.4e-20	1.2	44.5	-5.19
ST8SIA3	q<=2.4e-20	1.2	42.4	-5.19
MIR1244-2	q<=2.4e-20	101.3	2.8	5.19
CPT1B	q<=2.4e-20	1.0	36.5	-5.19
ACAD11	q<=2.4e-20	1.0	36.4	-5.18
PILRB	q<=2.4e-20	3.8	136.4	-5.17
CARMIL2	q<=2.4e-20	1.0	35.9	-5.17
LDHB	q<=2.4e-20	34.4	1240.1	-5.17
PBK	q<=2.4e-20	36.0	1.0	5.17
SVOP	q<=2.4e-20	1.0	35.3	-5.14
RPP21	q<=2.4e-20	2.8	99.7	-5.13
DOC2B	q<=2.4e-20	1.3	46.4	-5.13
TNFRSF12A	q<=2.4e-20	185.0	5.3	5.11
AARSD1	q<=2.4e-20	2.2	75.2	-5.10
SCRT1	q<=2.4e-20	1.6	55.5	-5.09
MRM2	q<=2.4e-20	1.0	33.5	-5.07
MAP7D2	q<=2.4e-20	1.4	47.5	-5.07
FABP6	q<=2.4e-20	1.1	37.6	-5.07
GABRA1	q<=2.4e-20	1.2	38.1	-5.05
PLPPR3	q<=2.4e-20	1.1	37.1	-5.05
PVALB	q<=2.4e-20	1.1	35.6	-5.04
INA	q<=2.4e-20	4.9	161.2	-5.04
KCNT1	q<=2.4e-20	1.0	32.6	-5.03
FAM220A	q<=2.4e-20	1.0	32.6	-5.03
ASF1B	q<=2.4e-20	32.4	1.0	5.02
SYCE1	q<=2.4e-20	1.0	32.5	-5.02
CELF6	q<=2.4e-20	1.0	32.1	-5.01
SLC6A17	q<=2.4e-20	1.7	55.5	-5.00
POSTN	1.0e-09	32.0	1.0	5.00
PLSCR3	q<=2.4e-20	1.0	31.9	-5.00
TTC4	q<=2.4e-20	1.4	46.2	-5.00
APOC2	q<=2.4e-20	1.2	38.4	-4.99
PSD	q<=2.4e-20	14.5	458.9	-4.99
KCNIP4	q<=2.4e-20	1.9	59.3	-4.99
JMJD7	q<=2.4e-20	1.0	31.4	-4.97
SOWAHA	q<=2.4e-20	2.7	84.3	-4.97
SNRPN	q<=2.4e-20	11.4	349.9	-4.94
C1QTNF4	q<=2.4e-20	3.4	104.7	-4.93
FAM153B	q<=2.4e-20	1.0	30.5	-4.93
KIAA0408	q<=2.4e-20	1.0	30.2	-4.92
SLC8A2	q<=2.4e-20	1.7	50.2	-4.92
SLC17A7	q<=2.4e-20	11.2	339.1	-4.92
NDUFB8	q<=2.4e-20	17.5	531.4	-4.92
ST3GAL3	q<=2.4e-20	1.8	53.8	-4.91
MEOX2	2.5e-19	30.0	1.0	4.91
WNT10B	q<=2.4e-20	1.0	30.0	-4.91
CNTNAP4	q<=2.4e-20	1.0	29.8	-4.90
PPP2R2C	q<=2.4e-20	6.6	196.4	-4.90
GABRG1	q<=2.4e-20	1.0	29.9	-4.90
AURKB	q<=2.4e-20	29.8	1.0	4.89
CPLX1	q<=2.4e-20	11.8	348.9	-4.89
GTF2H4	q<=2.4e-20	1.0	29.7	-4.89
RIMS2	q<=2.4e-20	1.0	29.4	-4.88
BGLAP	q<=2.4e-20	1.1	31.2	-4.88
TMEM130	q<=2.4e-20	7.1	208.4	-4.88
SST	q<=2.4e-20	4.0	118.2	-4.88
SNAP25	q<=2.4e-20	59.6	1746.4	-4.87
FXYD7	q<=2.4e-20	8.4	245.9	-4.86
RIMS1	q<=2.4e-20	1.5	42.1	-4.85
VSNL1	q<=2.4e-20	11.8	336.6	-4.84
ARHGAP44	q<=2.4e-20	1.5	41.4	-4.83
YJEFN3	q<=2.4e-20	13.0	366.7	-4.82
SNCB	q<=2.4e-20	19.0	536.9	-4.82
CD44	q<=2.4e-20	280.8	9.9	4.82
NOP2	q<=2.4e-20	1.0	28.2	-4.82
DLGAP3	q<=2.4e-20	2.4	66.2	-4.81
SPSB3	q<=2.4e-20	1.0	28.1	-4.81
OGDHL	q<=2.4e-20	3.5	97.9	-4.81
NNMT	6.8e-16	71.9	2.6	4.80
FOXM1	q<=2.4e-20	30.6	1.1	4.80
SPRN	q<=2.4e-20	1.0	27.8	-4.80
GABRB2	q<=2.4e-20	1.0	27.3	-4.77
SH3BGR	q<=2.4e-20	2.2	59.9	-4.77
PEG3	q<=2.4e-20	2.6	70.2	-4.77
VSIG4	q<=2.4e-20	183.0	6.8	4.76
SEC14L5	q<=2.4e-20	1.0	27.4	-4.76
RASGRF1	q<=2.4e-20	1.4	37.6	-4.75
SYT4	q<=2.4e-20	2.3	60.9	-4.75
KIFC1	q<=2.4e-20	26.8	1.0	4.74
FGF17	q<=2.4e-20	1.3	34.0	-4.72
MIR770	q<=2.4e-20	1.0	26.3	-4.72
NPM2	q<=2.4e-20	2.7	71.1	-4.71
PLCH2	q<=2.4e-20	1.6	41.3	-4.71
MAD1L1	q<=2.4e-20	1.0	26.3	-4.71
RTEL1	q<=2.4e-20	1.0	25.9	-4.70
ARHGEF10	q<=2.4e-20	1.0	26.0	-4.70
LOC730098	q<=2.4e-20	1.0	25.9	-4.69
FBXL16	q<=2.4e-20	27.7	715.6	-4.69
SNCG	q<=2.4e-20	11.2	288.1	-4.69
CD163	8.5e-17	62.8	2.4	4.69
MBP	q<=2.4e-20	269.0	6897.8	-4.68
ZNF23	q<=2.4e-20	1.0	25.4	-4.67
C18orf32	q<=2.4e-20	3.2	80.5	-4.67
CLEC2L	q<=2.4e-20	1.4	36.4	-4.66
ABCC3	1.9e-16	25.0	1.0	4.64
SPOUT1	q<=2.4e-20	1.0	24.9	-4.64
CNNM1	q<=2.4e-20	1.0	24.9	-4.64
TGFBI	1.1e-14	146.0	5.9	4.64
MMP19	q<=2.4e-20	24.7	1.0	4.63
TRIM17	q<=2.4e-20	1.0	24.8	-4.63
NEFL	q<=2.4e-20	6.2	152.7	-4.62
PTRH1	q<=2.4e-20	1.0	24.5	-4.62
SARS2	q<=2.4e-20	1.0	24.7	-4.62
RBP4	q<=2.4e-20	2.7	66.0	-4.62
SPC24	q<=2.4e-20	24.2	1.0	4.60
EGLN2	q<=2.4e-20	5.3	128.3	-4.59
SRCAP	q<=2.4e-20	1.0	24.1	-4.59
GABRD	q<=2.4e-20	5.4	129.9	-4.59
C21orf62	q<=2.4e-20	24.0	1.0	4.58
EMC6	q<=2.4e-20	2.9	68.4	-4.58
CACNA1B	q<=2.4e-20	1.0	23.9	-4.58
TMEM235	q<=2.4e-20	1.0	23.9	-4.58
CALB1	q<=2.4e-20	1.4	32.9	-4.57
RGS7	q<=2.4e-20	1.9	45.5	-4.57
CASTOR1	q<=2.4e-20	1.0	23.6	-4.56
ATP2B3	q<=2.4e-20	1.0	23.7	-4.56
KRT222	q<=2.4e-20	1.0	23.6	-4.56
CXCL10	5.4e-09	23.6	1.0	4.56
CELF5	q<=2.4e-20	5.8	135.9	-4.55
SYN1	q<=2.4e-20	10.8	253.4	-4.55
SH3GL3	q<=2.4e-20	3.7	86.2	-4.55
CALN1	q<=2.4e-20	1.0	23.3	-4.54
RAB3C	q<=2.4e-20	1.1	26.7	-4.54
CHRM1	q<=2.4e-20	1.5	33.8	-4.54
GALNT17	q<=2.4e-20	2.9	66.2	-4.54
COL4A1	q<=2.4e-20	201.2	8.7	4.53
TRAPPC5	q<=2.4e-20	1.0	23.3	-4.53
PPP1R16B	q<=2.4e-20	4.7	108.7	-4.52
TUNAR	q<=2.4e-20	1.0	23.0	-4.52
NDST2	q<=2.4e-20	1.0	22.8	-4.51
CAMK1G	q<=2.4e-20	1.7	39.3	-4.51
EGFL8	q<=2.4e-20	1.9	44.2	-4.51
SLC7A10	q<=2.4e-20	1.0	22.8	-4.51
SLC1A6	q<=2.4e-20	1.0	22.8	-4.51
WSCD2	q<=2.4e-20	1.0	22.9	-4.51
CDRT4	q<=2.4e-20	1.0	22.6	-4.50
MSR1	q<=2.4e-20	54.1	2.4	4.50
HPCAL4	q<=2.4e-20	8.3	188.5	-4.50
ETNPPL	q<=2.4e-20	10.1	228.0	-4.49
SYT13	q<=2.4e-20	1.9	42.8	-4.49
TPX2	q<=2.4e-20	44.5	2.0	4.48
GLT1D1	q<=2.4e-20	1.1	24.5	-4.48
KIF2C	q<=2.4e-20	22.3	1.0	4.48
NSG2	q<=2.4e-20	17.0	377.5	-4.47
SHANK1	q<=2.4e-20	1.2	26.1	-4.46
HLA-DQA1	2.1e-19	92.5	4.2	4.46
TMEM74B	q<=2.4e-20	1.3	28.2	-4.46
PTPN5	q<=2.4e-20	4.0	88.7	-4.46
SYT1	q<=2.4e-20	10.1	221.1	-4.45
BICDL1	q<=2.4e-20	1.5	32.8	-4.44
CAMKV	q<=2.4e-20	6.9	149.9	-4.44
C7orf25	q<=2.4e-20	1.0	21.6	-4.44
SAP25	q<=2.4e-20	1.0	21.6	-4.43
SYNGR3	q<=2.4e-20	7.5	160.2	-4.42
MATK	q<=2.4e-20	3.0	64.7	-4.42
CD22	q<=2.4e-20	1.3	28.5	-4.41
COL1A1	1.4e-05	68.7	3.2	4.41
AGAP6	q<=2.4e-20	1.0	21.2	-4.41
TCEAL6	q<=2.4e-20	1.9	40.7	-4.41
NRGN	q<=2.4e-20	60.2	1280.4	-4.41
CALB2	q<=2.4e-20	3.3	70.8	-4.40
KCNJ9	q<=2.4e-20	4.5	95.0	-4.40
PLVAP	q<=2.4e-20	42.3	2.0	4.40
SDHAP2	q<=2.4e-20	21.0	1.0	4.39
MEG3	q<=2.4e-20	66.8	1380.5	-4.37
VSTM2B	q<=2.4e-20	3.2	66.1	-4.37
CENPU	q<=2.4e-20	20.6	1.0	4.36
MIR4477B	9.7e-20	20.5	1.0	4.36
ADAP1	q<=2.4e-20	4.4	90.0	-4.36
