Gene	FDRAdjustedP-value	CancerSampleMed	NormalSampleMed	|log2FC|
CRNN	1.6e-07	5.2	3058.4	-9.20
KRT4	2.2e-07	27.6	15649.7	-9.15
MUC21	1.8e-07	1.0	292.5	-8.19
MAL	1.4e-06	8.7	1887.2	-7.77
CRISP3	2.9e-04	1.0	126.4	-6.98
MMP1	1.5e-19	361.4	3.2	6.82
TMPRSS11B	2.9e-04	1.0	91.9	-6.52
KRT13	2.2e-09	348.0	29990.4	-6.43
IL36A	7.1e-05	2.3	119.1	-5.70
FAM3B	1.5e-08	1.6	76.9	-5.59
MMP11	q<=9.4e-20	86.8	1.9	5.49
AQP5	4.6e-04	1.0	44.2	-5.47
SPRR3	4.8e-08	293.7	12100.2	-5.37
KRT78	1.8e-06	10.9	444.5	-5.35
FAM3D	1.0e-09	2.9	117.7	-5.34
CAPN14	2.1e-04	1.0	32.5	-5.02
ENDOU	3.9e-07	1.8	56.9	-5.00
CLCA4	1.1e-04	4.3	119.0	-4.80
MMP3	5.6e-19	56.1	2.1	4.73
FMO2	8.8e-07	1.4	36.0	-4.73
CA9	q<=9.4e-20	26.2	1.0	4.71
MMP12	q<=9.4e-20	48.0	1.8	4.71
CYP4B1	6.9e-04	1.2	30.5	-4.69
INHBA	q<=9.4e-20	32.8	1.3	4.69
AIM2	q<=9.4e-20	30.9	1.2	4.64
CEACAM7	1.2e-04	1.1	23.1	-4.46
MMP9	q<=9.4e-20	68.8	3.1	4.45
PTHLH	q<=9.4e-20	133.9	6.3	4.40
MMP13	1.5e-10	20.4	1.0	4.35
SPINK7	1.0e-03	9.0	181.5	-4.33
HMGA2	q<=9.4e-20	19.9	1.0	4.31
LINC02487	4.6e-05	1.0	18.9	-4.24
COL1A1	q<=9.4e-20	1054.4	56.6	4.22
FUT6	3.7e-07	1.8	33.8	-4.21
CTHRC1	q<=9.4e-20	62.7	3.6	4.12
VSIG2	6.7e-05	1.0	16.8	-4.07
LAMC2	q<=9.4e-20	510.6	30.6	4.06
MMP10	6.6e-09	63.1	3.8	4.06
CXCL13	q<=9.4e-20	30.2	1.8	4.05
ARTN	q<=9.4e-20	16.3	1.0	4.02
SPP1	5.1e-12	96.6	6.1	4.00
ATP6V0A4	7.2e-05	1.0	15.9	-3.99
CASC9	q<=9.4e-20	15.8	1.0	3.98
HOXB7	q<=9.4e-20	15.3	1.0	3.93
COL5A1	q<=9.4e-20	93.5	6.2	3.92
ISG15	q<=9.4e-20	567.3	38.1	3.90
ALDH1L1	1.1e-04	1.1	15.8	-3.84
ADAM12	q<=9.4e-20	14.3	1.0	3.84
SPINK5	5.7e-08	58.1	822.2	-3.82
SERPINE1	q<=9.4e-20	185.3	13.2	3.81
SLURP1	9.1e-05	30.8	424.7	-3.79
TMPRSS11A	6.4e-05	5.8	80.0	-3.79
FAP	q<=9.4e-20	13.2	1.0	3.72
ADAMTS2	q<=9.4e-20	26.5	2.0	3.70
COL3A1	2.2e-18	675.9	52.3	3.69
COL5A2	q<=9.4e-20	78.6	6.2	3.67
LOXL2	q<=9.4e-20	34.8	2.7	3.67
POSTN	q<=9.4e-20	126.4	10.1	3.65
TGFBI	q<=9.4e-20	506.7	41.0	3.63
NELL2	q<=9.4e-20	28.1	2.3	3.63
SH3BGRL2	5.4e-10	4.1	49.9	-3.60
CXCL11	4.5e-16	13.9	1.2	3.59
FAM107A	2.1e-05	1.2	14.3	-3.53
CRYM	6.7e-04	1.0	11.5	-3.53
IGFL2	2.0e-17	11.5	1.0	3.53
MFAP2	q<=9.4e-20	74.0	6.4	3.52
IFI6	q<=9.4e-20	731.5	64.7	3.50
CXCL10	7.0e-19	86.8	7.8	3.48
HOXD10	q<=9.4e-20	10.9	1.0	3.45
FN1	4.8e-16	267.6	24.9	3.43
COL4A1	q<=9.4e-20	178.2	16.5	3.43
CYP4F12	1.1e-06	1.7	17.9	-3.42
CHST2	q<=9.4e-20	22.3	2.1	3.41
COL6A3	q<=9.4e-20	114.9	10.9	3.40
PPP1R3C	1.0e-04	4.4	46.5	-3.40
GBP5	q<=9.4e-20	19.8	1.9	3.39
LINC01615	q<=9.4e-20	10.5	1.0	3.39
PLAU	q<=9.4e-20	194.8	18.6	3.39
GPR176	q<=9.4e-20	11.4	1.1	3.38
COL4A6	q<=9.4e-20	10.7	1.0	3.36
TMPRSS2	1.2e-04	2.4	24.8	-3.36
RHCG	1.4e-06	198.4	2024.9	-3.35
COL12A1	q<=9.4e-20	61.4	6.0	3.35
PSCA	1.0e-03	7.2	72.2	-3.34
CXCL9	4.7e-19	42.0	4.1	3.34
PADI1	9.6e-05	1.8	17.8	-3.32
C1QTNF6	q<=9.4e-20	29.2	3.0	3.30
CGNL1	5.8e-09	1.3	12.8	-3.29
STC2	q<=9.4e-20	10.3	1.1	3.28
GPD1	3.9e-04	1.0	9.6	-3.26
GREM1	2.2e-15	11.6	1.2	3.25
GCNT3	1.5e-04	1.8	17.0	-3.23
MAB21L4	4.9e-08	14.0	130.5	-3.22
NEFL	q<=9.4e-20	18.5	2.0	3.21
