Gene	FDRAdjustedP-value	CancerSampleMed	NormalSampleMed	|log2FC|
UMOD	3.9e-06	1.0	11203.7	-13.45
AQP2	1.7e-07	1.0	1862.9	-10.86
SLC12A1	9.9e-07	1.0	1702.6	-10.73
CXCL14	3.6e-06	1.0	511.3	-9.00
CYS1	2.4e-13	1.0	425.9	-8.73
KCNJ16	5.6e-17	1.0	365.8	-8.52
KCNJ1	3.9e-10	1.6	520.5	-8.34
SFRP1	2.4e-10	1.0	280.1	-8.13
AOC1	2.3e-07	1.0	219.2	-7.78
SLC22A2	2.2e-07	1.0	204.7	-7.68
CLDN10	2.4e-11	1.0	188.5	-7.56
TSPAN8	4.4e-08	1.0	188.7	-7.56
CFTR	2.6e-09	176.8	1.0	7.47
DUSP9	1.3e-06	1.1	189.7	-7.45
SCNN1G	3.9e-09	1.0	157.1	-7.30
BHMT	2.3e-04	1.0	149.0	-7.22
BBOX1	2.4e-04	1.0	148.6	-7.21
PPP1R1A	3.2e-06	2.6	369.9	-7.17
KNG1	3.3e-07	4.8	678.4	-7.15
GALNT14	1.0e-11	1.0	142.0	-7.15
CLDN19	1.0e-06	1.0	132.1	-7.04
PDZK1IP1	8.5e-04	4.0	520.9	-7.02
LINC01320	7.9e-14	1.5	172.5	-6.85
RBP4	5.2e-04	1.0	114.2	-6.83
KLK4	5.6e-08	114.0	1.0	6.83
SCNN1B	1.6e-07	1.0	111.5	-6.80
TRIM50	4.8e-13	209.1	1.9	6.76
PTH1R	4.7e-04	1.3	129.6	-6.61
MAOB	1.8e-09	1.4	134.5	-6.60
KLK15	1.0e-15	90.1	1.0	6.49
TMEM45B	7.1e-09	1.0	81.3	-6.34
MUC15	6.6e-07	1.0	79.2	-6.31
DCN	3.4e-07	3.4	260.3	-6.25
DHRS2	8.0e-06	132.1	1.8	6.22
ADAMTS9-AS1	2.3e-12	1.0	71.0	-6.15
KRT19	5.5e-06	5.5	387.8	-6.15
HRG	3.4e-07	1.0	67.2	-6.07
SERPINA6	1.3e-05	1.0	67.3	-6.07
MGST1	2.6e-04	1.6	106.2	-6.06
BICC1	7.1e-11	1.0	65.5	-6.03
CLDN16	6.1e-06	1.0	64.3	-6.01
LAD1	1.3e-14	1.0	63.7	-5.99
SOSTDC1	3.4e-09	1.0	63.5	-5.99
HCN2	2.7e-15	93.5	1.5	5.97
GLYATL1	6.8e-04	1.0	61.2	-5.94
ANK2	3.4e-08	1.2	69.6	-5.89
PROM1	1.9e-10	1.9	108.6	-5.87
SLC12A3	6.7e-04	1.0	58.1	-5.86
KL	6.5e-06	1.4	80.0	-5.85
TACSTD2	1.9e-06	16.8	963.6	-5.84
SLC9A3	3.0e-05	1.0	56.5	-5.82
ADH1B	1.2e-04	1.0	55.7	-5.80
TMEM255A	5.4e-08	141.6	2.5	5.80
KCNJ10	2.1e-06	1.0	54.9	-5.78
SMTNL2	4.7e-10	1.0	55.0	-5.78
PDZK1	8.0e-07	2.9	155.5	-5.77
CLIC5	1.0e-03	1.3	67.7	-5.75
WNK4	3.0e-07	1.0	53.0	-5.73
HAO2	5.9e-04	1.0	52.9	-5.72
ALDH8A1	2.2e-06	1.0	50.7	-5.66
SLC16A4	1.1e-07	1.8	92.1	-5.65
ACMSD	4.4e-04	1.0	50.2	-5.65
SFTPB	1.2e-06	49.1	1.0	5.62
FGFR3	7.3e-09	1.0	49.0	-5.62
DPP4	1.5e-04	1.2	58.1	-5.59
ABCB1	1.2e-09	1.0	48.1	-5.59
UGT3A1	6.1e-09	1.0	48.2	-5.59
MT1F	1.6e-04	6.3	297.4	-5.55
AGXT2	6.7e-04	1.0	46.9	-5.55
CASR	7.3e-08	1.0	45.1	-5.50
NTRK2	1.5e-06	1.0	44.8	-5.48
CLDN2	9.1e-04	1.0	44.3	-5.47
MT1M	1.8e-05	1.2	50.8	-5.42
RNF128	1.4e-11	1.0	42.6	-5.41
ACY3	1.0e-04	1.0	42.6	-5.41
