Gene	FDRAdjustedP-value	CancerSampleMed	NormalSampleMed	|log2FC|
UMOD	9.9e-16	1.0	10691.0	-13.38
SLC12A1	9.8e-17	1.0	1835.7	-10.84
AQP2	8.3e-18	1.0	1764.6	-10.79
KNG1	q<=5.7e-20	1.0	726.4	-9.51
KCNJ1	q<=5.7e-20	1.0	583.8	-9.19
FXYD4	5.0e-13	1.0	517.1	-9.01
CLCNKB	q<=5.7e-20	1.0	394.1	-8.62
CALB1	4.9e-12	1.0	389.2	-8.61
CA9	q<=5.7e-20	358.6	1.0	8.49
RHCG	1.8e-09	1.0	265.2	-8.05
TMEM213	q<=5.7e-20	1.0	237.0	-7.89
MT1H	1.7e-09	1.8	411.8	-7.84
ATP6V0A4	q<=5.7e-20	1.0	218.4	-7.77
SERPINA5	q<=5.7e-20	2.1	451.9	-7.73
CLDN8	4.3e-18	1.0	193.6	-7.60
SLC22A8	3.2e-10	1.0	191.0	-7.58
SFRP1	q<=5.7e-20	1.8	332.2	-7.49
SLC13A3	1.7e-09	1.0	175.6	-7.42
SLC12A3	7.4e-11	1.0	167.6	-7.39
CLCNKA	1.7e-12	1.0	162.7	-7.35
SCNN1G	q<=5.7e-20	1.0	157.2	-7.30
DUSP9	7.8e-19	1.0	155.6	-7.28
FABP1	1.6e-09	1.9	273.8	-7.18
TMEM52B	3.1e-14	1.5	218.6	-7.18
SLC4A1	3.5e-18	1.0	143.7	-7.17
NDUFA4L2	q<=5.7e-20	3534.6	27.3	7.02
GGT6	q<=5.7e-20	1.0	125.7	-6.97
SCNN1B	q<=5.7e-20	1.0	121.8	-6.93
NPHS2	1.6e-12	1.0	120.2	-6.91
EGF	8.0e-16	1.5	176.1	-6.90
SLC34A1	1.7e-09	1.0	115.5	-6.85
TMPRSS2	q<=5.7e-20	1.0	115.6	-6.85
FABP7	q<=5.7e-20	109.3	1.0	6.77
PROM2	q<=5.7e-20	1.4	149.3	-6.76
RAB25	q<=5.7e-20	1.0	104.1	-6.70
ATP6V0D2	9.3e-10	1.0	102.8	-6.68
MT1G	1.8e-10	23.0	2322.8	-6.66
HPD	2.5e-10	2.0	202.6	-6.66
ALDOB	1.3e-10	24.0	2364.5	-6.62
TFCP2L1	q<=5.7e-20	1.2	121.5	-6.62
XPNPEP2	4.5e-10	1.0	94.7	-6.56
CLDN19	2.3e-16	1.0	93.1	-6.54
SLC6A3	q<=5.7e-20	91.7	1.0	6.52
PNCK	q<=5.7e-20	90.5	1.0	6.50
CLDN16	5.5e-18	1.0	88.8	-6.47
MCCD1	1.2e-16	1.0	87.3	-6.45
PCP4	4.2e-10	1.0	85.1	-6.41
TSPAN8	1.1e-14	1.4	120.6	-6.41
KCNJ10	q<=5.7e-20	1.0	83.9	-6.39
PLG	7.0e-08	1.0	80.3	-6.33
