Gene	FDRAdjustedP-value	CancerSampleMed	NormalSampleMed	|log2FC|
UMOD	9.9e-07	1.0	9058.5	-13.14
ALDOB	5.4e-06	3.2	6847.3	-11.07
AQP2	1.8e-07	1.0	1354.6	-10.40
SLC12A1	1.7e-07	1.0	1107.6	-10.11
KNG1	1.7e-09	1.0	633.3	-9.31
SLC22A8	1.6e-05	1.0	561.9	-9.13
MT1H	9.3e-06	1.0	553.1	-9.11
CALB1	1.9e-06	1.0	529.1	-9.05
KCNJ1	6.3e-15	1.0	531.0	-9.05
FXYD4	1.3e-05	1.0	511.2	-9.00
SLC22A6	1.5e-04	1.0	382.6	-8.58
PTGER3	4.4e-11	1.0	363.1	-8.50
MT1G	7.4e-06	9.0	3223.7	-8.48
FABP1	6.0e-06	1.0	329.0	-8.36
RHCG	5.7e-09	1.0	304.9	-8.25
CYP4A11	6.1e-06	1.1	295.5	-8.10
SFRP1	1.5e-14	1.0	265.9	-8.05
SLC12A3	3.0e-06	1.0	255.1	-8.00
GSTA2	5.1e-06	1.0	248.2	-7.96
TMEM52B	2.8e-08	1.3	294.4	-7.83
HMGCS2	1.0e-07	1.0	224.3	-7.81
TMEM213	5.4e-14	1.0	209.9	-7.71
HPD	5.0e-06	2.9	583.7	-7.66
PAH	7.9e-05	1.0	197.2	-7.62
HSD11B2	8.2e-16	5.7	1096.0	-7.58
DUSP9	6.5e-09	1.0	187.8	-7.55
XPNPEP2	1.5e-05	1.0	165.0	-7.37
PLG	5.7e-05	1.0	164.4	-7.36
GGT6	3.7e-16	1.0	159.3	-7.32
PROM2	1.1e-10	1.0	155.6	-7.28
SCNN1G	3.5e-09	1.0	146.8	-7.20
NPHS2	8.2e-08	1.0	141.4	-7.14
SLC4A1	8.5e-11	1.0	139.0	-7.12
EGF	2.1e-07	1.3	169.6	-7.07
SCNN1B	4.1e-09	1.0	131.8	-7.04
CLDN8	2.1e-09	1.0	126.3	-6.98
ALB	5.6e-05	1.0	125.1	-6.97
SLC5A12	2.5e-05	1.0	118.5	-6.89
ATP6V0A4	3.2e-17	1.7	198.2	-6.84
SLC34A1	3.9e-05	2.1	227.3	-6.76
GSTA1	2.4e-05	3.8	397.7	-6.70
TMEM174	7.9e-06	1.5	151.2	-6.69
FAM151A	4.8e-05	1.4	142.5	-6.68
CLCNKB	1.8e-12	4.9	491.2	-6.65
TMEM72	5.0e-11	2.0	199.4	-6.64
RASD1	3.1e-09	3.1	309.9	-6.64
CLCNKA	1.1e-04	1.5	152.8	-6.63
RAB25	2.8e-09	1.3	122.0	-6.58
MCCD1	4.6e-08	1.0	94.9	-6.57
SLC13A3	7.0e-05	2.7	238.5	-6.47
ATP6V0D2	7.3e-12	1.0	86.0	-6.43
GATA3	2.5e-11	1.0	82.5	-6.36
CLIC5	3.0e-07	1.4	108.5	-6.32
CRHBP	3.6e-08	1.0	79.1	-6.31
UGT1A9	1.8e-04	1.0	79.5	-6.31
HRG	2.2e-10	1.0	77.2	-6.27
SERPINA5	6.8e-13	5.4	404.2	-6.23
CLDN19	7.3e-07	1.0	72.6	-6.18
PRDM16-DT	5.0e-05	1.0	71.6	-6.16
FGF1	5.5e-07	1.5	99.2	-6.07
SLC36A2	2.6e-05	1.0	67.3	-6.07
KCNJ10	4.5e-12	1.0	67.4	-6.07
LHX1-DT	2.5e-17	1.0	65.4	-6.03
CTXN3	9.4e-07	1.0	65.5	-6.03
G6PC1	1.0e-04	1.0	62.9	-5.97
PDE1A	5.1e-09	1.3	79.8	-5.96
ATP6V1G3	3.4e-11	1.0	61.8	-5.95
FOXI1	1.2e-09	1.0	61.8	-5.95
NDNF	7.1e-06	1.0	60.4	-5.92
PRODH2	4.6e-05	4.7	285.9	-5.91
C16orf89	6.9e-07	1.0	58.7	-5.88
DIO1	3.5e-05	1.7	97.8	-5.87
PIPOX	2.1e-06	4.2	244.8	-5.87
CA4	1.8e-10	1.0	54.3	-5.76
SLC6A19	6.3e-05	2.3	123.4	-5.75
FAM3B	6.4e-09	1.0	52.6	-5.72
CYP4F2	7.7e-05	1.0	51.7	-5.69
TSPAN8	1.1e-06	1.9	97.1	-5.66
SUCNR1	2.0e-08	1.0	49.2	-5.62
SLC13A2	1.5e-05	2.2	108.1	-5.62
AFM	1.8e-05	1.0	48.4	-5.60
SLC26A7	1.2e-12	1.0	47.4	-5.57
APOC1	q<=2.5e-19	210.6	4.7	5.47
