Gene	FDRAdjustedP-value	CancerSampleMed	NormalSampleMed	|log2FC|
SEPTIN5	q<=1.9e-20	1.0	523.6	-9.03
FXYD1	q<=1.9e-20	1.0	390.0	-8.61
LOC728392	q<=1.9e-20	198.8	1.0	7.63
RN7SL1	q<=1.9e-20	122.1	1.0	6.93
PYURF	q<=1.9e-20	114.7	1.0	6.84
MIR3654	q<=1.9e-20	101.3	1.0	6.66
MIR3682	q<=1.9e-20	178.4	2.2	6.31
JAKMIP1	q<=1.9e-20	1.0	72.7	-6.18
IDS	q<=1.9e-20	9.5	674.5	-6.14
RAB5IF	q<=1.9e-20	1.1	70.7	-6.07
SNORA8	q<=1.9e-20	1.0	62.1	-5.96
MUSTN1	q<=1.9e-20	1.0	60.9	-5.93
SH3BGR	q<=1.9e-20	1.0	59.9	-5.86
BBS1	q<=1.9e-20	1.0	56.8	-5.83
RAB4B	q<=1.9e-20	1.6	87.0	-5.80
NUDT3	q<=1.9e-20	1.0	54.6	-5.77
ASNS	q<=1.9e-20	1.8	98.0	-5.77
TMEFF1	q<=1.9e-20	1.0	52.6	-5.72
CPXM1	q<=1.9e-20	61.1	1.2	5.70
ECE2	q<=1.9e-20	1.0	51.3	-5.68
TNFRSF6B	q<=1.9e-20	1.0	49.7	-5.63
PTGDS	q<=1.9e-20	78.1	3841.8	-5.62
SNX15	q<=1.9e-20	1.0	48.7	-5.59
WIF1	q<=1.9e-20	1.1	54.9	-5.59
TJP2	q<=1.9e-20	1.1	52.6	-5.58
MDP1	q<=1.9e-20	1.0	47.8	-5.58
CHD1L	q<=1.9e-20	1.0	47.1	-5.56
LRP11	q<=1.9e-20	1.0	46.7	-5.54
PLA2G4B	q<=1.9e-20	1.0	45.7	-5.51
NDUFB8	q<=1.9e-20	12.7	531.7	-5.39
DGCR6	q<=1.9e-20	1.2	48.7	-5.39
UPK3BL1	q<=1.9e-20	1.0	41.5	-5.38
C2orf74	q<=1.9e-20	2.3	96.8	-5.37
PILRB	q<=1.9e-20	3.3	136.6	-5.36
TTC4	q<=1.9e-20	1.1	46.2	-5.36
NICN1	q<=1.9e-20	1.0	40.4	-5.34
AMT	q<=1.9e-20	1.0	39.9	-5.32
MFSD14A	q<=1.9e-20	1.0	39.4	-5.30
APOC2	q<=1.9e-20	1.0	38.4	-5.26
CPT1B	q<=1.9e-20	1.0	36.5	-5.19
ACAD11	q<=1.9e-20	1.0	36.4	-5.19
C2orf27A	q<=1.9e-20	34.3	1.0	5.10
SNRPN	q<=1.9e-20	10.3	350.0	-5.09
SOX10	q<=1.9e-20	33.5	1.0	5.07
MRM2	q<=1.9e-20	1.0	33.6	-5.07
ST3GAL3	q<=1.9e-20	1.6	53.9	-5.04
MIR4477B	q<=1.9e-20	32.8	1.0	5.04
EMC6	q<=1.9e-20	2.1	68.4	-5.03
FAM220A	q<=1.9e-20	1.0	32.6	-5.03
SYCE1	q<=1.9e-20	1.0	32.5	-5.02
CELF6	q<=1.9e-20	1.0	32.2	-5.01
PLSCR3	q<=1.9e-20	1.0	31.9	-5.00
CAPN3	q<=1.9e-20	2.1	66.5	-5.00
JMJD7	q<=1.9e-20	1.0	31.5	-4.98
GNG3	q<=1.9e-20	4.4	133.8	-4.93
FAM153B	q<=1.9e-20	1.0	30.6	-4.93
KIAA0408	q<=1.9e-20	1.0	30.3	-4.92
GTF2H4	q<=1.9e-20	1.0	29.7	-4.89
NLRP1	q<=1.9e-20	3.9	113.5	-4.87
KCNIP4	q<=1.9e-20	2.1	59.3	-4.83
NOP2	q<=1.9e-20	1.0	28.2	-4.82
LDHB	q<=1.9e-20	43.9	1240.4	-4.82
SPSB3	q<=1.9e-20	1.0	28.1	-4.81
SDHAP2	q<=1.9e-20	27.1	1.0	4.76
RPP21	q<=1.9e-20	3.7	99.7	-4.76
DDN	q<=1.9e-20	7.6	203.9	-4.75
TNC	q<=1.9e-20	54.6	2.0	4.74
MIR770	q<=1.9e-20	1.0	26.4	-4.72
MMP19	q<=1.9e-20	26.2	1.0	4.71
MAD1L1	q<=1.9e-20	1.0	26.3	-4.71
AARSD1	q<=1.9e-20	2.9	75.3	-4.70
RTEL1	q<=1.9e-20	1.0	25.9	-4.70
ARHGEF10	q<=1.9e-20	1.0	26.0	-4.70
LOC730098	q<=1.9e-20	1.0	25.9	-4.69
LINC01088	q<=1.9e-20	94.1	3.7	4.68
F2R	q<=1.9e-20	43.0	1.7	4.67
SPOUT1	q<=1.9e-20	1.0	24.9	-4.64
EGLN2	q<=1.9e-20	5.2	128.4	-4.62
SARS2	q<=1.9e-20	1.0	24.7	-4.62
PTRH1	q<=1.9e-20	1.0	24.5	-4.62
ZNF23	q<=1.9e-20	1.0	25.4	-4.60
SRCAP	q<=1.9e-20	1.0	24.2	-4.59
KRT222	q<=1.9e-20	1.0	23.6	-4.56
NDST2	q<=1.9e-20	1.0	22.8	-4.51
S100A13	q<=1.9e-20	14.4	330.1	-4.51
SLC7A10	q<=1.9e-20	1.0	22.8	-4.51
ATP1A3	q<=1.9e-20	17.4	396.1	-4.51
PRR4	q<=1.9e-20	2.1	47.2	-4.50
CDRT4	q<=1.9e-20	1.0	22.6	-4.50
MAL2	q<=1.9e-20	2.0	43.1	-4.46
C7orf25	q<=1.9e-20	1.0	21.7	-4.44
SNORD104	q<=1.9e-20	21.7	1.0	4.44
SAP25	q<=1.9e-20	1.0	21.7	-4.44
PSMA6	q<=1.9e-20	7.6	164.9	-4.44
PACSIN1	q<=1.9e-20	14.1	304.5	-4.43
DLL3	q<=1.9e-20	286.8	13.3	4.43
BMP2	q<=1.9e-20	50.9	2.4	4.42
WNT10B	q<=1.9e-20	1.4	30.0	-4.42
AGAP6	q<=1.9e-20	1.0	21.2	-4.41
WDR73	q<=1.9e-20	25.1	1.2	4.40
SDHA	q<=1.9e-20	6.4	133.9	-4.39
AQP4	q<=1.9e-20	590.3	29.0	4.35
CD68	q<=1.9e-20	1.0	20.1	-4.33
DYNLRB1	q<=1.9e-20	29.2	585.7	-4.33
HSPA14	q<=1.9e-20	28.0	1.4	4.33
CRABP1	q<=1.9e-20	1.0	20.2	-4.33
CALY	q<=1.9e-20	7.9	155.0	-4.30
SYNPR	q<=1.9e-20	6.7	130.2	-4.28
SFRP2	q<=1.9e-20	87.1	4.5	4.27
KCNK4	q<=1.9e-20	1.0	19.2	-4.26
NIPBL-DT	q<=1.9e-20	19.0	1.0	4.25
UNC13C	q<=1.9e-20	1.0	19.1	-4.25
CDK3	q<=1.9e-20	1.0	18.9	-4.24
JTB	q<=1.9e-20	11.8	221.3	-4.23
C9orf24	q<=1.9e-20	2.7	50.9	-4.22
CCL4	q<=1.9e-20	33.5	1.8	4.20
PCBP1	q<=1.9e-20	4.6	85.6	-4.20
MIR3685	q<=1.9e-20	18.2	1.0	4.19
GJB6	q<=1.9e-20	3.9	70.7	-4.19
MTFP1	q<=1.9e-20	1.0	18.1	-4.18
NMB	q<=1.9e-20	372.0	20.6	4.18
SLC25A32	q<=1.9e-20	1.0	18.0	-4.17
BGLAP	q<=1.9e-20	1.7	31.2	-4.16
TMEM74B	q<=1.9e-20	1.6	28.3	-4.14
SPRN	q<=1.9e-20	1.6	27.9	-4.14
RBP4	q<=1.9e-20	3.7	65.9	-4.13
MIR4720	q<=1.9e-20	17.4	1.0	4.12
NEFM	q<=1.9e-20	9.6	166.8	-4.12
PCP4	q<=1.9e-20	14.7	255.7	-4.12
YJEFN3	q<=1.9e-20	21.2	367.0	-4.11
SPINT2	q<=1.9e-20	7.3	124.9	-4.11
CENPS	q<=1.9e-20	1.2	20.8	-4.11
SOX4	q<=1.9e-20	149.3	8.7	4.10
LINC00836	q<=1.9e-20	21.1	1.2	4.10
UCHL3	q<=1.9e-20	2.0	33.6	-4.10
KRTCAP2	q<=1.9e-20	13.7	231.8	-4.08
MEX3A	q<=1.9e-20	22.9	1.4	4.07
C18orf32	q<=1.9e-20	4.8	80.5	-4.07
CKLF	q<=1.9e-20	1.0	16.7	-4.07
ADORA2A	q<=1.9e-20	1.0	16.7	-4.06
MROH7	q<=1.9e-20	1.0	16.6	-4.06
NFIA-AS2	q<=1.9e-20	22.2	1.3	4.06
RPL26	q<=1.9e-20	68.3	1133.1	-4.05
MAP7D2	q<=1.9e-20	2.9	47.5	-4.05
MYC	q<=1.9e-20	40.5	2.4	4.05
CRYM	q<=1.9e-20	11.6	191.2	-4.04
ARHGAP27P1-BPTFP1-KPNA2P3	q<=1.9e-20	16.4	1.0	4.04
SHD	q<=1.9e-20	239.1	14.5	4.04
AMACR	q<=1.9e-20	1.0	16.3	-4.03
MEG3	q<=1.9e-20	85.3	1381.5	-4.02
TMEM35B	q<=1.9e-20	1.0	16.2	-4.02
UBE2C	q<=1.9e-20	16.1	1.0	4.01
PRKCG	q<=1.9e-20	5.2	82.8	-4.00
SNORA63	q<=1.9e-20	1.0	16.0	-4.00
FKBP1B	q<=1.9e-20	3.4	54.5	-3.99
SOWAHA	q<=1.9e-20	5.3	84.3	-3.99
CORT	q<=1.9e-20	1.3	20.4	-3.98
ZNF410	q<=1.9e-20	1.0	15.8	-3.98
S100A1	q<=1.9e-20	6.3	99.0	-3.97
TMEM265	q<=1.9e-20	1.0	15.6	-3.96
NEURL1	q<=1.9e-20	5.4	83.6	-3.96
VIPR2	q<=1.9e-20	24.3	1.6	3.95
MIR4292	q<=1.9e-20	15.5	1.0	3.95
BHLHB9	q<=1.9e-20	1.0	15.5	-3.95
OPRL1	q<=1.9e-20	1.0	15.4	-3.95
RBFOX1	q<=1.9e-20	6.0	91.9	-3.94
CDC42EP2	q<=1.9e-20	1.0	15.3	-3.93
RAD50	q<=1.9e-20	1.0	15.1	-3.92
P2RX5	q<=1.9e-20	1.2	17.4	-3.91
MIR325HG	q<=1.9e-20	15.0	1.0	3.90
FGF11	q<=1.9e-20	1.0	15.1	-3.89
RNASEH2A	q<=1.9e-20	1.0	14.8	-3.89
CDK11A	q<=1.9e-20	1.2	17.4	-3.88
UHRF1	q<=1.9e-20	19.9	1.3	3.88
DHPS	q<=1.9e-20	8.0	116.3	-3.87
PPM1J	q<=1.9e-20	1.1	16.2	-3.87
SLC12A5	q<=1.9e-20	7.9	114.0	-3.86
CDK5RAP3	q<=1.9e-20	10.0	145.0	-3.86
CHAD	q<=1.9e-20	1.0	14.5	-3.85
KCNT1	q<=1.9e-20	2.3	32.6	-3.85
CRIP1	q<=1.9e-20	1.2	17.1	-3.85
NRN1L	q<=1.9e-20	1.0	14.3	-3.84
MIR1244-4	q<=1.9e-20	14.3	1.0	3.84
BCAN	q<=1.9e-20	3411.2	241.1	3.82
CCL3L1	q<=1.9e-20	14.5	1.0	3.82
LOC105372493	q<=1.9e-20	14.1	1.0	3.82
PET100	q<=1.9e-20	6.1	85.0	-3.81
CASTOR1	q<=1.9e-20	1.7	23.6	-3.81
FABP6	q<=1.9e-20	2.7	37.7	-3.81
PDCD6	q<=1.9e-20	14.9	207.8	-3.81
FERMT1	q<=1.9e-20	49.9	3.6	3.81
C1QTNF4	q<=1.9e-20	7.4	104.7	-3.81
MIR25	q<=1.9e-20	13.8	1.0	3.79
CAMK1	q<=1.9e-20	6.7	92.5	-3.78
PHYHIP	q<=1.9e-20	52.2	718.2	-3.78
CALCRL	q<=1.9e-20	60.4	4.4	3.78
IRF9	q<=1.9e-20	6.4	86.2	-3.76
FABP5	q<=1.9e-20	7.4	99.9	-3.76
STIMATE	q<=1.9e-20	1.0	13.6	-3.76
SLC6A7	q<=1.9e-20	1.0	13.4	-3.75
EGLN1	q<=1.9e-20	4.6	61.6	-3.75
LAT	q<=1.9e-20	1.0	13.3	-3.73
NRGN	q<=1.9e-20	96.3	1278.4	-3.73
CORO6	q<=1.9e-20	6.6	87.8	-3.73
GOLT1A	q<=1.9e-20	1.0	13.3	-3.73
SNORA61	q<=1.9e-20	1.0	13.3	-3.73
FXYD7	q<=1.9e-20	18.7	246.0	-3.72
CA7	q<=1.9e-20	1.0	13.1	-3.72
SNHG3	q<=1.9e-20	13.2	1.0	3.72
TMEM100	q<=1.9e-20	122.5	9.4	3.71
EGFL8	q<=1.9e-20	3.4	44.2	-3.71
LINC02593	q<=1.9e-20	15.9	1.2	3.71
TUNAR	q<=1.9e-20	1.8	23.0	-3.71
KLC1	q<=1.9e-20	39.5	519.1	-3.71
CAVIN3	q<=1.9e-20	1.1	14.5	-3.71
ALKBH6	q<=1.9e-20	3.7	48.1	-3.70
CPLX3	q<=1.9e-20	1.0	13.0	-3.70
PVALB	q<=1.9e-20	2.8	35.6	-3.69
STBD1	q<=1.9e-20	1.0	13.3	-3.69
GSTM1	q<=1.9e-20	1.0	13.0	-3.69
C16orf46	q<=1.9e-20	1.0	12.9	-3.69
SH2D5	q<=1.9e-20	2.0	25.5	-3.68
CAMK2A	q<=1.9e-20	21.3	272.7	-3.68
FAM153A	q<=1.9e-20	1.0	12.8	-3.68
FNDC9	q<=1.9e-20	1.0	12.7	-3.67
BLOC1S1	q<=1.9e-20	24.1	304.9	-3.66
CACNG3	q<=1.9e-20	4.6	57.9	-3.66
CARMIL2	q<=1.9e-20	2.9	35.9	-3.65
GIMAP5	q<=1.9e-20	1.3	16.1	-3.64
MTHFS	q<=1.9e-20	1.0	12.5	-3.64
RABAC1	q<=1.9e-20	32.0	398.2	-3.64
ZNF883	q<=1.9e-20	12.5	1.0	3.64
RAB24	q<=1.9e-20	6.1	76.0	-3.64
CARTPT	q<=1.9e-20	1.0	12.5	-3.64
SMOC1	q<=1.9e-20	538.5	43.3	3.64
ZCCHC12	q<=1.9e-20	4.3	53.9	-3.63
LTC4S	q<=1.9e-20	12.3	1.0	3.62
PAOX	q<=1.9e-20	1.0	12.3	-3.62
MDFI	q<=1.9e-20	81.3	6.7	3.61
NPFF	q<=1.9e-20	1.0	12.2	-3.61
