Gene	FDRAdjustedP-value	CancerSampleMed	NormalSampleMed	|log2FC|
CYP1A2	2.2e-11	1.5	360.0	-7.92
MT1H	1.7e-08	3.0	583.8	-7.61
HAMP	2.8e-08	15.3	1861.9	-6.93
FCN2	5.0e-19	1.0	99.1	-6.63
MT1G	5.5e-09	51.0	5033.7	-6.62
GPC3	q<=3.7e-20	292.9	3.5	6.39
CLEC4G	4.6e-15	1.0	81.5	-6.35
MARCO	1.3e-11	1.0	80.1	-6.32
CRHBP	9.9e-19	1.0	78.5	-6.29
MT1M	1.7e-04	6.1	413.3	-6.09
FCN3	9.3e-17	4.4	240.0	-5.78
MT1F	5.0e-11	17.6	845.3	-5.58
CXCL14	7.3e-19	1.0	39.3	-5.30
LINC01093	4.0e-16	1.6	60.3	-5.23
CYP3A4	8.5e-07	46.7	1741.9	-5.22
AKR1B10	q<=3.7e-20	243.7	7.3	5.06
HSD17B13	q<=3.7e-20	13.3	348.6	-4.71
PZP	4.2e-06	1.0	24.0	-4.58
CLEC4M	9.3e-14	1.0	23.7	-4.57
COLEC10	q<=3.7e-20	1.0	23.3	-4.54
UBE2C	q<=3.7e-20	29.5	1.3	4.46
LINC02027	q<=3.7e-20	1.0	21.8	-4.44
IGFALS	4.4e-10	5.8	124.3	-4.43
CNDP1	7.0e-11	1.0	21.6	-4.43
AVPR1A	2.0e-05	1.0	21.5	-4.42
MDK	q<=3.7e-20	215.1	10.2	4.40
SFN	q<=3.7e-20	20.8	1.0	4.38
SLC25A47	q<=3.7e-20	27.1	564.3	-4.38
CD5L	1.6e-10	3.2	64.9	-4.36
CLEC1B	1.3e-15	1.0	19.9	-4.31
MFSD2A	2.7e-10	8.0	154.9	-4.27
MT1E	1.2e-12	99.0	1905.6	-4.27
SLCO1B3	9.8e-10	1.7	30.8	-4.20
CDKN3	q<=3.7e-20	17.3	1.0	4.12
TTC36	1.6e-16	2.5	43.7	-4.11
PTTG1	q<=3.7e-20	28.7	1.7	4.08
C9	2.3e-18	52.7	867.8	-4.04
EEF1A2	q<=3.7e-20	16.2	1.0	4.02
FAM99A	1.9e-10	2.7	43.4	-4.01
RRM2	q<=3.7e-20	19.2	1.2	4.01
THRSP	3.4e-05	10.7	168.0	-3.97
VIPR1	1.4e-18	1.0	15.4	-3.94
MT1X	9.7e-10	41.6	624.6	-3.91
ADRA1A	1.4e-13	1.3	19.6	-3.88
BIRC5	q<=3.7e-20	14.5	1.0	3.86
