Gene	FDRAdjustedP-value	CancerSampleMed	NormalSampleMed	|log2FC|
SFTPC	q<=5.5e-20	316.8	51864.2	-7.36
AGER	q<=5.5e-20	36.0	3928.4	-6.77
CLDN18	q<=5.5e-20	9.5	804.6	-6.41
LGI3	q<=5.5e-20	1.0	71.6	-6.16
SCGB1A1	7.1e-06	16.7	1144.1	-6.10
FAM83A	q<=5.5e-20	66.1	1.0	6.05
ANKRD1	6.4e-08	1.4	90.5	-6.01
FABP4	3.4e-15	4.9	315.0	-6.01
UPK3B	7.3e-17	3.6	223.3	-5.96
SLC6A4	1.0e-09	1.0	58.7	-5.88
ITLN2	q<=5.5e-20	1.0	51.6	-5.69
GPM6A	q<=5.5e-20	1.0	50.3	-5.65
CA4	2.7e-17	1.0	48.8	-5.61
WIF1	2.4e-18	4.7	213.8	-5.49
CPB2	4.2e-13	1.3	53.0	-5.30
SOSTDC1	1.1e-12	1.0	37.8	-5.24
GKN2	7.2e-14	4.2	155.3	-5.22
MCEMP1	7.5e-17	5.1	186.3	-5.19
TMPRSS4	q<=5.5e-20	40.1	1.1	5.13
FCN3	1.5e-12	11.6	402.8	-5.12
MS4A15	4.6e-15	3.0	101.1	-5.08
MMP11	1.8e-17	54.1	1.6	5.04
TMEM100	6.0e-12	4.8	155.0	-5.01
CRABP2	q<=5.5e-20	242.0	7.9	4.94
HBB	1.5e-08	66.1	1988.5	-4.91
COL10A1	q<=5.5e-20	30.0	1.0	4.91
KRT4	7.7e-10	1.4	43.1	-4.90
GPD1	1.6e-15	1.8	54.7	-4.89
AGTR2	4.2e-09	1.0	28.1	-4.81
VEGFD	q<=5.5e-20	2.3	64.2	-4.81
FAM107A	2.6e-12	4.8	133.7	-4.80
SPP1	q<=5.5e-20	440.6	16.2	4.77
MMP1	8.6e-10	36.4	1.3	4.76
FENDRR	5.0e-16	2.0	53.0	-4.73
HBA2	1.1e-09	14.5	386.6	-4.73
GPIHBP1	1.4e-15	3.5	91.8	-4.72
CD300LG	6.9e-12	1.0	26.1	-4.71
RTKN2	1.1e-18	4.8	123.3	-4.69
CXCL13	4.0e-04	41.0	1.7	4.62
B3GNT3	q<=5.5e-20	35.2	1.4	4.62
NCKAP5	q<=5.5e-20	1.2	27.8	-4.57
CLIC5	q<=5.5e-20	9.0	209.1	-4.53
SPINK1	1.6e-15	86.4	4.0	4.44
HHIP	1.0e-14	1.0	22.4	-4.43
ADAMTS8	q<=5.5e-20	1.7	35.0	-4.41
AFAP1-AS1	q<=5.5e-20	21.3	1.0	4.41
PEBP4	q<=5.5e-20	17.5	359.5	-4.36
CTHRC1	q<=5.5e-20	131.6	6.4	4.36
