Gene	FDRAdjustedP-value	CancerSampleMed	NormalSampleMed	|log2FC|
SFTPC	q<=4.8e-20	29.3	43237.9	-10.53
KRT6A	q<=4.8e-20	3524.5	5.6	9.31
CLDN18	q<=4.8e-20	1.5	598.6	-8.68
KRT5	q<=4.8e-20	5541.7	18.2	8.25
SPRR1B	q<=4.8e-20	255.2	1.0	7.97
KRT16	q<=4.8e-20	444.2	1.8	7.93
AGER	6.6e-20	15.9	3361.3	-7.72
KRT6B	q<=4.8e-20	176.4	1.0	7.46
SERPINB5	q<=4.8e-20	172.3	1.0	7.43
GKN2	q<=4.8e-20	1.0	157.2	-7.30
PGC	1.4e-11	5.8	793.3	-7.10
DSG3	q<=4.8e-20	137.3	1.0	7.10
GPX2	q<=4.8e-20	411.3	3.1	7.03
CLCA2	q<=4.8e-20	146.6	1.1	7.01
SFTPA1	q<=4.8e-20	150.7	18039.6	-6.90
KRT17	q<=4.8e-20	3245.4	27.6	6.88
AKR1B10	q<=4.8e-20	114.8	1.0	6.84
DSC3	q<=4.8e-20	99.9	1.0	6.64
S100A2	q<=4.8e-20	1152.1	11.8	6.61
PKP1	q<=4.8e-20	392.5	4.1	6.58
SFTPA2	q<=4.8e-20	229.7	20788.4	-6.50
ADH1B	6.7e-20	2.7	242.9	-6.50
SCGB1A1	2.6e-05	9.8	876.0	-6.48
PTHLH	q<=4.8e-20	97.0	1.1	6.45
SPRR2A	q<=4.8e-20	85.4	1.0	6.42
TMEM100	5.6e-12	1.6	137.2	-6.40
MS4A15	1.8e-14	1.0	84.5	-6.40
GGTLC1	2.9e-17	1.0	82.8	-6.37
CLIC5	1.1e-19	2.3	190.9	-6.35
KRT14	q<=4.8e-20	202.2	2.5	6.34
CYP4B1	6.0e-20	8.3	663.9	-6.32
FABP4	7.2e-13	3.5	276.1	-6.30
WIF1	8.8e-13	2.1	162.7	-6.29
MCEMP1	1.0e-17	2.2	170.4	-6.26
PEBP4	2.3e-19	3.7	286.0	-6.26
GJB6	q<=4.8e-20	74.8	1.0	6.22
DAPL1	q<=4.8e-20	124.9	1.7	6.21
MIR205HG	q<=4.8e-20	214.3	2.9	6.21
SPRR2D	q<=4.8e-20	73.5	1.0	6.20
KRT13	q<=4.8e-20	187.7	2.6	6.18
FCN3	1.4e-11	6.9	482.7	-6.14
TNNC1	6.1e-19	3.2	225.5	-6.12
SPRR3	q<=4.8e-20	67.5	1.0	6.08
GPIHBP1	1.7e-11	1.4	94.7	-6.06
PLA2G1B	1.4e-15	1.0	64.9	-6.02
ANKRD1	3.1e-08	1.0	65.0	-6.02
FAM107A	1.3e-10	2.5	155.1	-5.97
COL17A1	q<=4.8e-20	92.4	1.5	5.96
VEGFD	1.2e-18	1.1	66.2	-5.95
AQP4	q<=4.8e-20	4.1	250.3	-5.94
PITX1	q<=4.8e-20	61.5	1.0	5.94
COL7A1	q<=4.8e-20	61.1	1.0	5.93
RETN	5.7e-13	1.0	62.9	-5.92
SPRR1A	q<=4.8e-20	60.2	1.0	5.91
ADH7	q<=4.8e-20	59.1	1.0	5.89
MMP12	q<=4.8e-20	84.0	1.4	5.86
GJB2	q<=4.8e-20	141.5	2.4	5.86
TMPRSS4	q<=4.8e-20	103.7	1.8	5.86
GJB5	q<=4.8e-20	56.9	1.0	5.83
PRAME	q<=4.8e-20	55.7	1.0	5.80
SFTPD	q<=4.8e-20	24.8	1352.7	-5.77
TNS4	q<=4.8e-20	69.9	1.3	5.76
KRT15	q<=4.8e-20	621.3	11.6	5.74
CA4	q<=4.8e-20	1.0	52.5	-5.72
C20orf85	9.6e-06	1.0	52.6	-5.72
SFTA2	q<=4.8e-20	14.7	760.2	-5.69
GPD1	1.2e-17	1.0	51.0	-5.67
SFTA1P	q<=4.8e-20	4.5	225.5	-5.65
TP63	q<=4.8e-20	267.4	5.4	5.64
LYPD3	q<=4.8e-20	158.1	3.2	5.63
CACNA2D2	q<=4.8e-20	2.0	97.4	-5.62
SOX2	q<=4.8e-20	154.1	3.1	5.62
SLC2A1	q<=4.8e-20	626.7	12.7	5.62
NAPSA	q<=4.8e-20	36.0	1757.8	-5.61
SUSD2	q<=4.8e-20	10.7	524.2	-5.61
ITLN2	3.8e-13	1.0	47.6	-5.57
INMT	7.3e-20	4.4	207.8	-5.57
SLC6A4	2.9e-08	1.0	45.7	-5.51
HBB	9.3e-08	35.5	1531.7	-5.43
TRIM29	q<=4.8e-20	484.5	11.3	5.42
CLEC3B	7.2e-20	3.6	152.4	-5.38
