Gene	FDRAdjustedP-value	CancerSampleMed	NormalSampleMed	|log2FC|
CLDN3	q<=2.3e-20	1148.3	1.0	10.16
MSLN	q<=2.3e-20	833.4	1.0	9.70
FOLR1	q<=2.3e-20	663.8	1.0	9.38
CD24	q<=2.3e-20	819.8	1.3	9.30
KRT7	q<=2.3e-20	588.1	1.0	9.14
SLPI	q<=2.3e-20	2366.4	4.3	9.10
STAR	q<=2.3e-20	1.0	534.1	-9.06
WFDC2	q<=2.3e-20	4468.0	9.0	8.96
LCN2	q<=2.3e-20	495.5	1.0	8.95
CLDN4	q<=2.3e-20	647.8	1.5	8.76
SLC34A2	q<=2.3e-20	399.4	1.0	8.64
CDKN2A	q<=2.3e-20	398.1	1.1	8.55
DIO3OS	q<=2.3e-20	1.5	554.8	-8.53
EPCAM	q<=2.3e-20	525.7	1.5	8.46
KLK7	q<=2.3e-20	304.3	1.0	8.25
UBE2C	q<=2.3e-20	294.9	1.0	8.20
PEG3	q<=2.3e-20	1.0	279.8	-8.13
MAL2	q<=2.3e-20	269.1	1.0	8.07
MIR3654	q<=2.3e-20	250.3	1.0	7.97
MEG3	q<=2.3e-20	15.4	3758.2	-7.93
WFIKKN2	q<=2.3e-20	1.0	200.0	-7.64
FXYD1	q<=2.3e-20	1.0	199.0	-7.64
RN7SL1	q<=2.3e-20	194.3	1.0	7.60
ST14	q<=2.3e-20	189.6	1.0	7.57
MMP7	q<=2.3e-20	185.8	1.0	7.54
ELF3	q<=2.3e-20	183.0	1.0	7.51
GSTM5	q<=2.3e-20	1.6	289.5	-7.49
RAB25	q<=2.3e-20	174.5	1.0	7.45
KLK6	q<=2.3e-20	168.9	1.0	7.40
PROK1	q<=2.3e-20	1.0	167.4	-7.39
PWWP3B	q<=2.3e-20	1.1	183.0	-7.36
PRSS8	q<=2.3e-20	162.3	1.0	7.34
DAPL1	q<=2.3e-20	156.7	1.0	7.29
AP1M2	q<=2.3e-20	152.8	1.0	7.25
TACSTD2	q<=2.3e-20	320.9	2.2	7.22
RNASE4	q<=2.3e-20	1.0	149.5	-7.22
CRABP2	q<=2.3e-20	1049.3	7.0	7.22
MIR202HG	q<=2.3e-20	1.0	149.6	-7.22
DLK1	3.1e-15	1.0	141.6	-7.15
CP	q<=2.3e-20	140.1	1.0	7.13
SCGB2A1	4.4e-06	139.4	1.0	7.12
TNNT1	q<=2.3e-20	144.4	1.0	7.11
PAX8	q<=2.3e-20	219.9	1.6	7.10
CLDN7	q<=2.3e-20	198.3	1.5	7.09
TMEM238	q<=2.3e-20	134.8	1.0	7.08
PLIN5	q<=2.3e-20	1.3	174.7	-7.04
GATA4	q<=2.3e-20	1.4	176.4	-7.02
PDZK1IP1	q<=2.3e-20	129.9	1.0	7.02
KRT8	q<=2.3e-20	1510.6	11.7	7.01
ARX	q<=2.3e-20	1.0	127.8	-7.00
SPRR2F	q<=2.3e-20	1.0	123.4	-6.95
CCN5	q<=2.3e-20	2.5	304.2	-6.91
PLA2G2A	1.3e-14	2.1	254.4	-6.90
PLA2G5	q<=2.3e-20	1.0	116.7	-6.87
PRRT2	q<=2.3e-20	1.8	203.6	-6.85
CDC20	q<=2.3e-20	115.0	1.0	6.84
C7	q<=2.3e-20	9.2	1030.8	-6.81
KLK5	q<=2.3e-20	111.7	1.0	6.80
CHI3L1	q<=2.3e-20	289.9	2.6	6.78
EGFL8	q<=2.3e-20	1.2	133.3	-6.76
RHEX	q<=2.3e-20	106.3	1.0	6.73
RASL11B	q<=2.3e-20	1.0	105.6	-6.72
ESRP1	q<=2.3e-20	105.4	1.0	6.72
EYA2	q<=2.3e-20	103.3	1.0	6.69
AMT	q<=2.3e-20	1.0	102.2	-6.68
GPRASP1	q<=2.3e-20	1.1	108.7	-6.66
FOXL2NB	q<=2.3e-20	1.0	99.0	-6.63
HMGA1	q<=2.3e-20	700.0	7.2	6.61
CSDC2	q<=2.3e-20	3.0	289.1	-6.60
FAM153B	q<=2.3e-20	1.0	93.4	-6.54
UCP2	q<=2.3e-20	631.6	6.8	6.54
CACNA1H	q<=2.3e-20	1.6	149.5	-6.54
KLK11	q<=2.3e-20	141.8	1.6	6.50
BCYRN1	q<=2.3e-20	90.0	1.0	6.49
LAMA2	q<=2.3e-20	1.1	101.4	-6.47
FOXL2	q<=2.3e-20	1.0	87.5	-6.45
CXCL10	q<=2.3e-20	87.1	1.0	6.45
PLA2G4B	q<=2.3e-20	1.0	86.8	-6.44
FAM83H	q<=2.3e-20	86.5	1.0	6.43
GRB7	2.9e-20	117.0	1.4	6.42
ABCA8	q<=2.3e-20	1.0	85.5	-6.42
SERINC2	q<=2.3e-20	121.6	1.4	6.42
PYURF	q<=2.3e-20	85.2	1.0	6.41
PRSS21	q<=2.3e-20	84.9	1.0	6.41
TMPRSS3	q<=2.3e-20	85.1	1.0	6.41
LYPD6B	q<=2.3e-20	83.1	1.0	6.38
SIGLEC11	q<=2.3e-20	1.0	82.3	-6.36
DEFB1	q<=2.3e-20	78.6	1.0	6.30
ADH1B	1.3e-19	1.0	78.3	-6.29
VTCN1	q<=2.3e-20	75.3	1.0	6.24
SPINT1	q<=2.3e-20	239.7	3.2	6.22
EPS8L1	q<=2.3e-20	112.2	1.5	6.21
KRT17	q<=2.3e-20	73.4	1.0	6.20
PLSCR3	q<=2.3e-20	1.0	72.3	-6.18
MYBL2	q<=2.3e-20	72.8	1.0	6.18
MUC1	q<=2.3e-20	883.5	12.3	6.17
TPX2	q<=2.3e-20	71.3	1.0	6.16
PKP3	q<=2.3e-20	69.7	1.0	6.12
S100A14	q<=2.3e-20	107.6	1.6	6.11
SPP1	q<=2.3e-20	462.2	6.8	6.10
AQP5	q<=2.3e-20	68.7	1.0	6.10
MYH11	4.5e-16	2.3	153.6	-6.06
IL4I1	q<=2.3e-20	65.9	1.0	6.04
SCN7A	q<=2.3e-20	1.0	62.3	-5.96
BBS1	q<=2.3e-20	1.0	62.1	-5.96
SYTL4	q<=2.3e-20	1.4	86.1	-5.95
ETV4	q<=2.3e-20	61.5	1.0	5.94
ACAD11	q<=2.3e-20	1.0	61.1	-5.93
PI3	q<=2.3e-20	60.4	1.0	5.92
TRIM29	q<=2.3e-20	60.0	1.0	5.91
TJP2	q<=2.3e-20	1.1	68.8	-5.91
SMIM22	q<=2.3e-20	57.2	1.0	5.84
ALDH1L1	q<=2.3e-20	1.2	71.0	-5.84
SCNN1A	q<=2.3e-20	283.7	5.0	5.82
TK1	q<=2.3e-20	103.2	1.8	5.81
C11orf96	q<=2.3e-20	16.7	928.0	-5.80
CLDN6	q<=2.3e-20	55.0	1.0	5.78
KLK8	q<=2.3e-20	54.9	1.0	5.78
LY6G5B	q<=2.3e-20	3.7	203.2	-5.78
FOXJ1	q<=2.3e-20	54.2	1.0	5.76
MT1G	q<=2.3e-20	126.1	2.3	5.75
DOK5	q<=2.3e-20	73.2	1.4	5.75
KLHDC8A	q<=2.3e-20	9.5	507.5	-5.74
HLF	q<=2.3e-20	1.0	53.4	-5.74
TMC4	q<=2.3e-20	119.2	2.2	5.74
PTTG1	q<=2.3e-20	115.7	2.2	5.74
SAP25	q<=2.3e-20	1.0	52.6	-5.72
NR2F2-AS1	q<=2.3e-20	1.3	66.2	-5.72
CERNA2	q<=2.3e-20	52.3	1.0	5.71
ABCA9	q<=2.3e-20	1.0	52.3	-5.71
C4BPB	q<=2.3e-20	1.0	51.8	-5.69
SPSB3	q<=2.3e-20	1.0	51.1	-5.68
SST	1.6e-07	59.7	1.2	5.67
MFSD14A	q<=2.3e-20	1.1	55.2	-5.66
UPK3B	q<=2.3e-20	143.7	2.9	5.64
ECEL1	q<=2.3e-20	2.4	117.1	-5.63
ASF1B	q<=2.3e-20	67.4	1.4	5.63
KRT18	q<=2.3e-20	961.7	19.5	5.63
PTGS1	q<=2.3e-20	121.9	2.5	5.62
WNT10A	q<=2.3e-20	48.7	1.0	5.61
SEPTIN5	q<=2.3e-20	1.0	48.9	-5.61
CRABP1	7.7e-15	48.4	1.0	5.60
OGN	q<=2.3e-20	1.8	85.1	-5.60
TSPAN1	q<=2.3e-20	48.6	1.0	5.60
CBLC	q<=2.3e-20	48.1	1.0	5.59
CLSTN2	q<=2.3e-20	1.7	80.8	-5.59
SFN	q<=2.3e-20	50.3	1.0	5.59
TMEM35B	q<=2.3e-20	1.0	47.4	-5.57
NR5A1	q<=2.3e-20	1.5	73.4	-5.57
JMJD7	q<=2.3e-20	1.0	46.8	-5.55
INHA	q<=2.3e-20	3.7	171.9	-5.55
AOX1	q<=2.3e-20	1.4	66.1	-5.55
ABCA10	q<=2.3e-20	1.0	46.6	-5.54
ADHFE1	q<=2.3e-20	1.6	72.7	-5.54
