Gene	FDRAdjustedP-value	CancerSampleMed	NormalSampleMed	|log2FC|
CELA3A	q<=2.0e-20	1.7	34518.7	-14.34
CELA3B	q<=2.0e-20	4.2	16713.1	-11.95
CELA2A	q<=2.0e-20	2.8	6371.3	-11.13
CLPS	q<=2.0e-20	22.3	43802.1	-10.94
CTRL	q<=2.0e-20	1.0	1637.7	-10.68
CUZD1	q<=2.0e-20	1.0	1609.6	-10.65
AMY2A	q<=2.0e-20	2.7	3474.9	-10.33
PNLIP	q<=2.0e-20	26.2	30293.8	-10.17
SYCN	q<=2.0e-20	6.7	7144.2	-10.05
S100P	q<=2.0e-20	990.7	1.0	9.95
CPA1	q<=2.0e-20	59.5	55930.6	-9.88
PLA2G1B	q<=2.0e-20	22.6	19912.9	-9.78
TFF1	8.1e-17	768.3	1.0	9.59
PNLIPRP1	q<=2.0e-20	6.3	4763.1	-9.56
RBPJL	q<=2.0e-20	1.0	598.9	-9.23
CTSE	q<=2.0e-20	674.6	1.1	9.21
MMP11	q<=2.0e-20	589.7	1.0	9.20
REG1B	q<=2.0e-20	27.5	16053.4	-9.19
CELA2B	q<=2.0e-20	2.2	1179.7	-9.06
CPA2	q<=2.0e-20	21.4	11417.1	-9.06
KRT17	1.6e-14	578.2	1.1	9.04
GP2	q<=2.0e-20	32.6	16068.7	-8.95
CEL	q<=2.0e-20	29.2	13161.6	-8.82
PRSS1	q<=2.0e-20	179.5	79626.1	-8.79
CEACAM6	q<=2.0e-20	1052.5	2.4	8.79
CTRC	q<=2.0e-20	7.8	3192.3	-8.68
CTRB1	q<=2.0e-20	58.7	21686.2	-8.53
CPB1	q<=2.0e-20	81.3	29056.5	-8.48
SERPINI2	q<=2.0e-20	1.0	306.1	-8.26
AQP8	q<=2.0e-20	1.0	289.8	-8.18
MSLN	q<=2.0e-20	269.1	1.0	8.07
POSTN	q<=2.0e-20	282.2	1.1	8.00
CEACAM5	6.3e-17	255.4	1.0	8.00
TFF2	2.3e-05	254.0	1.0	7.99
SFN	q<=2.0e-20	242.3	1.0	7.92
CTRB2	q<=2.0e-20	86.2	20093.2	-7.86
LAMB3	q<=2.0e-20	299.6	1.7	7.47
TSPAN1	q<=2.0e-20	412.2	2.5	7.39
RN7SL1	2.0e-04	166.5	1.0	7.38
TCN1	1.3e-16	172.4	1.1	7.36
GNMT	q<=2.0e-20	1.6	251.0	-7.33
LAMC2	q<=2.0e-20	281.2	1.8	7.32
VSIG2	q<=2.0e-20	157.0	1.0	7.29
MISP	q<=2.0e-20	144.6	1.0	7.18
GPRC5A	q<=2.0e-20	204.9	1.4	7.16
CTHRC1	q<=2.0e-20	215.9	1.5	7.14
TRIM29	q<=2.0e-20	137.5	1.0	7.10
SULF1	q<=2.0e-20	172.9	1.3	7.08
PSCA	8.8e-13	131.3	1.0	7.04
PRSS2	q<=2.0e-20	783.2	100246.3	-7.00
COL1A1	q<=2.0e-20	2637.9	20.9	6.98
COMP	q<=2.0e-20	138.7	1.1	6.97
MMP1	8.1e-06	124.5	1.0	6.96
KCNN4	q<=2.0e-20	124.2	1.0	6.96
CLDN18	5.9e-14	121.9	1.0	6.93
AQP12B	q<=2.0e-20	1.0	116.1	-6.86
KRT19	q<=2.0e-20	2614.7	23.1	6.83
AMY2B	q<=2.0e-20	11.5	1259.4	-6.78
TMPRSS4	q<=2.0e-20	109.0	1.0	6.77
PDIA2	q<=2.0e-20	8.5	911.8	-6.75
S100A6	q<=2.0e-20	11971.9	113.3	6.72
COL10A1	q<=2.0e-20	102.7	1.0	6.68
LCN2	q<=2.0e-20	1761.2	17.2	6.68
CST1	1.9e-16	101.8	1.0	6.67
CAPN8	q<=2.0e-20	100.7	1.0	6.66
COL3A1	q<=2.0e-20	2249.2	22.5	6.64
AGR2	7.1e-10	649.6	6.8	6.59
SFRP4	q<=2.0e-20	127.4	1.4	6.54
EPS8L3	q<=2.0e-20	91.6	1.0	6.52
COL1A2	q<=2.0e-20	2037.6	22.9	6.47
REG3G	q<=2.0e-20	11.6	978.3	-6.39
FN1	q<=2.0e-20	908.5	10.9	6.38
NQO1	q<=2.0e-20	196.8	2.4	6.36
VCAN	q<=2.0e-20	121.8	1.5	6.35
TFF3	2.2e-05	246.4	3.1	6.30
IFI27	q<=2.0e-20	1097.9	13.9	6.30
IGFBP3	q<=2.0e-20	482.4	6.1	6.30
MUC13	q<=2.0e-20	132.8	1.7	6.26
LYZ	q<=2.0e-20	818.6	10.7	6.26
PYURF	q<=2.0e-20	73.9	1.0	6.21
ZG16B	6.4e-18	89.6	1.2	6.21
COL17A1	q<=2.0e-20	71.8	1.0	6.17
MIR3654	q<=2.0e-20	70.8	1.0	6.15
FGL1	q<=2.0e-20	2.7	189.8	-6.15
PI3	1.2e-15	69.5	1.0	6.12
AQP5	q<=2.0e-20	68.7	1.0	6.10
SFRP2	q<=2.0e-20	728.8	10.9	6.07
CRABP2	6.1e-18	91.0	1.4	6.07
HLA-DQA1	q<=2.0e-20	167.8	2.5	6.06
GCNT3	q<=2.0e-20	66.8	1.0	6.06
IL1RN	q<=2.0e-20	66.6	1.0	6.06
PLAUR	q<=2.0e-20	211.5	3.2	6.06
GJB2	q<=2.0e-20	65.8	1.0	6.04
CLPSL1	q<=2.0e-20	1.0	65.6	-6.04
AOC1	q<=2.0e-20	64.1	1.0	6.00
DUOX2	7.6e-18	63.9	1.0	6.00
GPX2	q<=2.0e-20	494.7	7.8	5.98
REG1A	q<=2.0e-20	895.8	55038.6	-5.94
UBE2C	q<=2.0e-20	60.5	1.0	5.92
JCHAIN	2.2e-13	151.5	2.5	5.92
TMC5	q<=2.0e-20	59.9	1.0	5.90
OLFML2B	q<=2.0e-20	58.4	1.0	5.87
APOL1	q<=2.0e-20	284.9	5.0	5.85
LINC01133	q<=2.0e-20	57.1	1.0	5.84
CDH3	q<=2.0e-20	57.1	1.0	5.84
SLC2A1	q<=2.0e-20	157.5	2.8	5.83
COL5A1	q<=2.0e-20	214.9	3.8	5.82
ALB	q<=2.0e-20	5.9	327.3	-5.80
GSTA2	q<=2.0e-20	2.0	111.2	-5.79
SLPI	q<=2.0e-20	638.4	11.7	5.77
HTRA3	q<=2.0e-20	198.4	3.6	5.77
MIR1244-2	q<=2.0e-20	77.4	1.4	5.76
KLK1	q<=2.0e-20	46.0	2471.6	-5.75
CLIC3	q<=2.0e-20	53.4	1.0	5.74
ARHGDIG	q<=2.0e-20	1.5	80.5	-5.74
PLAC8	q<=2.0e-20	53.1	1.0	5.73
ERN2	q<=2.0e-20	52.3	1.0	5.71
ISLR	q<=2.0e-20	280.1	5.4	5.70
GJB3	q<=2.0e-20	52.0	1.0	5.70
HLA-DRB5	q<=2.0e-20	313.1	6.0	5.69
KRT16	4.8e-09	51.5	1.0	5.69
GABRP	3.0e-17	51.3	1.0	5.68
PLAT	1.1e-11	234.1	4.6	5.68
SLC16A3	q<=2.0e-20	109.0	2.2	5.66
COL5A2	q<=2.0e-20	161.3	3.2	5.66
HOPX	q<=2.0e-20	122.0	2.4	5.65
B3GNT3	q<=2.0e-20	89.1	1.8	5.65
VILL	q<=2.0e-20	92.0	1.8	5.64
COL8A1	q<=2.0e-20	49.5	1.0	5.63
CYP2S1	q<=2.0e-20	49.4	1.0	5.63
MMP28	q<=2.0e-20	48.5	1.0	5.60
SFTA2	q<=2.0e-20	93.7	2.0	5.58
PLAU	q<=2.0e-20	131.4	2.8	5.58
LINC00339	q<=2.0e-20	1.4	68.3	-5.57
PHLDA2	q<=2.0e-20	85.7	1.8	5.56
SLC44A4	q<=2.0e-20	237.9	5.1	5.54
AGR3	q<=2.0e-20	95.8	2.1	5.54
MIR1244-4	q<=2.0e-20	46.4	1.0	5.54
BCAS1	2.6e-20	46.1	1.0	5.53
PM20D1	q<=2.0e-20	1.0	46.0	-5.52
SELPLG	q<=2.0e-20	45.5	1.0	5.50
BHLHA15	q<=2.0e-20	1.0	44.5	-5.48
DPYSL3	q<=2.0e-20	106.4	2.4	5.47
CCL19	8.2e-13	44.3	1.0	5.47
SERPINB5	q<=2.0e-20	44.4	1.0	5.47
MUCL3	3.5e-13	44.5	1.0	5.47
CDH11	q<=2.0e-20	44.1	1.0	5.46
LUM	q<=2.0e-20	859.6	19.5	5.46
MDK	q<=2.0e-20	562.3	12.9	5.44
MMP7	q<=2.0e-20	1443.9	33.5	5.43
TMEM45B	q<=2.0e-20	43.2	1.0	5.43
CEACAM1	q<=2.0e-20	43.1	1.0	5.42
SGPP2	q<=2.0e-20	56.7	1.3	5.40
ANO1	q<=2.0e-20	65.1	1.6	5.39
OAS1	q<=2.0e-20	77.6	1.9	5.39
FXYD5	q<=2.0e-20	474.8	11.4	5.38
CD52	5.8e-13	78.7	1.9	5.38
SEMA3C	q<=2.0e-20	41.6	1.0	5.38
ST6GALNAC1	3.9e-13	41.8	1.0	5.38
KLK7	3.0e-13	41.4	1.0	5.37
CXCL5	3.0e-12	41.2	1.0	5.36
HLA-DQB1	q<=2.0e-20	154.4	3.8	5.36
ANTXR1	q<=2.0e-20	167.1	4.1	5.35
AREG	2.1e-17	40.7	1.0	5.35
S100A14	q<=2.0e-20	344.6	8.5	5.34
SPARC	q<=2.0e-20	1866.5	46.4	5.33
ITGA2	q<=2.0e-20	39.8	1.0	5.32
HLA-DRA	q<=2.0e-20	1445.5	36.3	5.32
MDFI	q<=2.0e-20	47.0	1.2	5.30
POLR2F	q<=2.0e-20	39.5	1.0	5.30
CTSK	q<=2.0e-20	241.1	6.2	5.29
AQP12A	q<=2.0e-20	1.0	38.9	-5.28
TIMP1	q<=2.0e-20	2779.7	71.5	5.28
GREM1	3.5e-16	38.9	1.0	5.28
THY1	q<=2.0e-20	93.1	2.4	5.26
PTTG1	q<=2.0e-20	37.9	1.0	5.25
CDA	q<=2.0e-20	38.2	1.0	5.25
HLA-DRB1	q<=2.0e-20	1040.0	27.7	5.23
LIF	q<=2.0e-20	37.5	1.0	5.23
CXCL14	q<=2.0e-20	184.3	4.9	5.22
CARD11	q<=2.0e-20	36.8	1.0	5.20
PTGES	2.3e-18	36.2	1.0	5.18
FHL2	q<=2.0e-20	88.0	2.4	5.17
AKR1B10	4.6e-13	35.7	1.0	5.16
SEMA7A	q<=2.0e-20	35.6	1.0	5.15
KLK10	q<=2.0e-20	35.3	1.0	5.14
LAMP5	q<=2.0e-20	35.2	1.0	5.14
ITIH4	q<=2.0e-20	1.0	35.1	-5.13
OAS2	q<=2.0e-20	35.1	1.0	5.13
NRP2	q<=2.0e-20	35.1	1.0	5.13
SMIM24	1.1e-18	60.9	1.7	5.13
PIGR	7.6e-19	219.1	6.3	5.12
FOXQ1	q<=2.0e-20	55.9	1.6	5.12
HPGD	5.6e-17	34.7	1.0	5.12
BATF	q<=2.0e-20	34.4	1.0	5.11
RAC2	q<=2.0e-20	97.4	2.8	5.11
TMEM52	q<=2.0e-20	3.7	127.4	-5.11
TNS4	7.2e-19	34.5	1.0	5.11
TM4SF5	1.1e-13	34.6	1.0	5.11
VSTM2L	2.4e-13	40.5	1.2	5.10
COL11A1	5.7e-15	34.1	1.0	5.09
CST2	q<=2.0e-20	34.0	1.0	5.09
CCL18	3.4e-16	34.1	1.0	5.09
TRIM31	q<=2.0e-20	34.1	1.0	5.09
EMB	q<=2.0e-20	33.9	1.0	5.08
HLA-DQB2	q<=2.0e-20	33.9	1.0	5.08
PLAAT4	q<=2.0e-20	189.8	5.6	5.08
LTB	4.4e-10	33.6	1.0	5.07
LAMA3	q<=2.0e-20	60.3	1.8	5.07
ECM1	q<=2.0e-20	95.4	2.8	5.07
ASPN	q<=2.0e-20	82.2	2.5	5.06
DUOXA2	1.1e-15	33.3	1.0	5.06
LGALS4	q<=2.0e-20	909.0	27.3	5.06
CCL20	3.7e-12	33.1	1.0	5.05
IFI6	q<=2.0e-20	549.0	16.5	5.05
INHBA	q<=2.0e-20	33.0	1.0	5.04
CTSS	q<=2.0e-20	125.3	3.8	5.03
BIK	q<=2.0e-20	41.4	1.3	5.02
GPHA2	q<=2.0e-20	1.0	32.4	-5.02
GPR35	q<=2.0e-20	32.0	1.0	5.00
NT5E	q<=2.0e-20	31.8	1.0	4.99
COL12A1	q<=2.0e-20	65.2	2.0	4.99
S100A2	5.3e-06	31.5	1.0	4.98
DMBT1	2.4e-13	31.6	1.0	4.98
BRSK2	q<=2.0e-20	1.3	40.3	-4.98
CKS2	q<=2.0e-20	54.2	1.7	4.97
PLIN5	q<=2.0e-20	2.1	65.9	-4.97
BGN	q<=2.0e-20	1237.4	39.8	4.96
IL2RG	q<=2.0e-20	32.6	1.1	4.95
FAP	q<=2.0e-20	33.9	1.1	4.95
SNORD104	q<=2.0e-20	30.7	1.0	4.94
S100A16	q<=2.0e-20	595.9	19.4	4.94
FOSL1	q<=2.0e-20	30.4	1.0	4.93
NBL1	q<=2.0e-20	404.7	13.3	4.93
ITGB6	q<=2.0e-20	89.1	2.9	4.93
SULF2	q<=2.0e-20	124.1	4.1	4.93
JPT1	q<=2.0e-20	191.8	6.3	4.93
EPSTI1	q<=2.0e-20	30.5	1.0	4.93
S100A11	q<=2.0e-20	3206.4	106.3	4.92
HLA-DQA2	4.4e-20	30.0	1.0	4.91
SPDEF	2.3e-13	29.8	1.0	4.90
