Gene	FDRAdjustedP-value	CancerSampleMed	NormalSampleMed	|log2FC|
CYP17A1	q<=2.8e-20	1.0	17036.3	-14.06
CYP11B1	q<=2.8e-20	1.0	7866.4	-12.94
CHGA	q<=2.8e-20	57489.4	14.2	11.98
HSD3B2	q<=2.8e-20	1.0	3398.2	-11.73
CYP21A2	q<=2.8e-20	1.0	2488.8	-11.28
MGST1	q<=2.8e-20	1.0	1992.0	-10.96
STAR	q<=2.8e-20	2.5	4763.2	-10.91
PENK	1.0e-14	3471.7	2.0	10.77
SCG5	q<=2.8e-20	1646.8	1.2	10.46
SCG2	q<=2.8e-20	4270.8	3.0	10.45
DBH	q<=2.8e-20	5364.3	3.9	10.43
NPY	6.4e-14	1966.6	1.7	10.19
GSTA1	q<=2.8e-20	1.0	984.1	-9.94
DDC	q<=2.8e-20	1010.6	1.2	9.72
CHRNA3	q<=2.8e-20	848.6	1.1	9.57
FAM166B	q<=2.8e-20	1.1	774.5	-9.47
STMN2	q<=2.8e-20	695.8	1.0	9.44
CPLX2	q<=2.8e-20	639.4	1.0	9.32
CYP11A1	q<=2.8e-20	2.9	1599.5	-9.12
TH	q<=2.8e-20	3880.7	7.1	9.09
TAGLN3	q<=2.8e-20	488.2	1.0	8.93
SULT2A1	q<=2.8e-20	1.0	444.7	-8.80
NSG2	q<=2.8e-20	450.3	1.0	8.78
MIR202HG	q<=2.8e-20	1.0	428.6	-8.74
APLP1	q<=2.8e-20	1097.3	2.6	8.71
PTGDS	q<=2.8e-20	1.0	420.0	-8.71
AOX1	q<=2.8e-20	1.6	656.6	-8.69
AADAC	q<=2.8e-20	1.0	412.9	-8.69
HAND2-AS1	q<=2.8e-20	397.3	1.0	8.63
PHOX2A	q<=2.8e-20	386.8	1.0	8.60
HAND2	q<=2.8e-20	497.7	1.3	8.53
RPS4Y1	2.9e-19	1.5	549.3	-8.48
NR5A1	q<=2.8e-20	1.0	355.3	-8.47
PCSK2	q<=2.8e-20	329.4	1.0	8.36
TMEM130	q<=2.8e-20	381.1	1.2	8.31
SLC18A1	q<=2.8e-20	307.3	1.0	8.26
CARTPT	1.2e-17	1987.3	6.5	8.25
L1CAM	q<=2.8e-20	626.2	2.1	8.21
LOC728392	q<=2.8e-20	291.7	1.0	8.19
ABCC3	q<=2.8e-20	1.3	371.9	-8.17
SCG3	q<=2.8e-20	285.6	1.0	8.16
INSM1	q<=2.8e-20	282.3	1.0	8.14
APOC1	q<=2.8e-20	8.2	2221.0	-8.08
PTPRN	q<=2.8e-20	529.5	2.0	8.08
KIF1A	q<=2.8e-20	263.4	1.0	8.04
ARHGAP36	1.8e-11	260.2	1.0	8.02
SYT4	q<=2.8e-20	257.0	1.0	8.01
CD24	q<=2.8e-20	446.0	1.8	7.99
