Gene	FDRAdjustedP-value	CancerSampleMed	NormalSampleMed	|log2FC|
PCA3	q<=4.9e-19	176.3	3.0	5.88
DLX1	1.3e-18	36.1	1.0	5.18
HOXC6	2.4e-10	13.5	1.0	3.75
AMACR	q<=4.9e-19	17.3	1.5	3.52
SCGB1A1	7.6e-04	3.5	40.2	-3.52
ACSM1	q<=4.9e-19	72.2	7.2	3.33
ACTC1	5.6e-04	8.5	77.8	-3.19
LGR6	5.8e-08	1.3	11.9	-3.16
GPX2	2.6e-04	3.7	30.8	-3.04
CA14	2.0e-07	1.5	11.8	-2.97
GAL	4.9e-05	7.8	1.0	2.97
SLC2A5	1.5e-06	3.4	26.1	-2.95
OR51E2	q<=4.9e-19	418.8	55.4	2.92
KCNJ3	3.7e-05	1.2	8.8	-2.88
CCK	1.6e-04	4.2	30.7	-2.88
DPYS	1.4e-04	1.2	8.9	-2.85
TBX4	1.0e-04	1.0	7.2	-2.85
PENK	2.3e-05	2.3	16.5	-2.85
PHGR1	q<=4.9e-19	7.2	1.0	2.84
SBSPON	9.0e-06	3.2	22.4	-2.83
CD177	5.1e-04	19.4	136.8	-2.82
SLC14A1	4.8e-08	19.9	139.7	-2.81
VSNL1	1.8e-09	1.3	9.4	-2.80
CERNA2	3.9e-06	1.0	7.3	-2.80
COMP	1.3e-10	29.7	4.3	2.78
CPNE6	4.3e-06	1.5	10.2	-2.77
WIF1	1.7e-05	1.9	12.9	-2.76
CPA6	1.5e-07	2.2	15.0	-2.75
PCP4L1	6.0e-07	2.9	18.6	-2.66
SIM2	q<=4.9e-19	50.0	8.0	2.64
C2orf88	6.1e-09	1.7	10.5	-2.63
HPN	q<=4.9e-19	291.5	47.5	2.62
SNORD14E	4.1e-07	6.2	1.0	2.62
AOX1	1.1e-10	7.3	44.7	-2.61
CYP4B1	1.8e-07	7.4	44.2	-2.59
HOXC4	5.0e-16	6.0	1.0	2.59
CHP2	1.3e-05	1.0	5.8	-2.54
SLC39A2	7.9e-04	1.0	5.8	-2.52
SNORD88A	q<=4.9e-19	5.7	1.0	2.52
EDN3	4.6e-06	1.1	6.0	-2.49
TP63	8.9e-14	8.7	48.2	-2.47
EVX2	5.8e-07	1.0	5.5	-2.47
HOXD13	8.4e-11	4.5	23.9	-2.41
ADAMTS9-AS1	2.2e-08	1.6	8.3	-2.41
APOF	q<=4.9e-19	9.2	1.8	2.39
KRT23	2.3e-08	6.8	35.6	-2.39
CHIT1	8.4e-09	5.2	1.0	2.38
TMEM252	9.7e-07	2.0	10.1	-2.37
COL17A1	3.3e-11	7.3	37.7	-2.37
MIR3189	1.2e-09	24.9	4.8	2.37
SOSTDC1	8.8e-10	1.1	5.6	-2.36
APOBEC3C	2.2e-16	17.5	88.9	-2.34
SNHG25	q<=4.9e-19	18.5	3.6	2.34
S100A14	5.5e-07	7.1	35.8	-2.33
STAC	1.9e-05	2.8	14.1	-2.32
DUOXA1	1.5e-08	2.2	11.0	-2.31
KIAA1210	2.2e-06	1.8	8.9	-2.31
GLYATL1	5.1e-15	66.0	13.4	2.30
NKAIN1	7.2e-14	13.3	2.7	2.29
VTCN1	4.2e-05	1.8	8.7	-2.29
FOXP4-AS1	q<=4.9e-19	7.0	1.4	2.26
ASPA	1.5e-07	1.2	5.7	-2.25
GJB5	4.3e-06	2.0	9.3	-2.25
ADRA1D	5.5e-05	1.0	4.8	-2.25
SLC16A5	2.5e-14	6.3	29.8	-2.24
FABP5	1.6e-11	22.9	4.9	2.23
PCAT18	2.2e-10	4.7	1.0	2.23
MAL	8.2e-07	2.5	11.9	-2.23
CRABP2	7.7e-07	26.4	122.9	-2.22
UPK1A	6.5e-04	3.0	14.0	-2.22
EPHA10	q<=4.9e-19	5.8	1.2	2.21
COL4A6	1.3e-11	4.4	20.6	-2.21
MMP9	4.5e-06	6.1	1.3	2.20
BMP5	7.4e-04	1.0	4.6	-2.19
CGREF1	q<=4.9e-19	42.3	9.3	2.19
JPH4	2.7e-08	4.8	21.7	-2.19
PGM5-AS1	1.3e-07	14.4	65.4	-2.19
TMEM35A	2.5e-11	8.8	40.3	-2.19
ANGPT1	5.1e-11	5.8	26.4	-2.17
CAPN6	7.7e-05	2.6	11.8	-2.17
LDB3	2.9e-04	8.6	39.0	-2.17
PRR36	q<=4.9e-19	25.2	5.6	2.17
THBS4	2.6e-11	23.8	5.4	2.15
PAQR6	q<=4.9e-19	11.1	2.5	2.15
CD38	6.7e-06	12.4	54.4	-2.14
CPNE7	4.7e-06	4.4	1.0	2.14
NCAM1	1.1e-04	2.7	12.0	-2.14
PRDM8	1.2e-05	7.5	33.2	-2.14
LINC00668	2.1e-05	1.7	7.6	-2.13
ATP1A2	1.1e-06	9.2	40.1	-2.13
GATA5	1.9e-05	1.3	5.7	-2.13
PPARGC1A	6.7e-11	1.2	5.4	-2.13
KRT15	1.3e-05	86.5	376.0	-2.12
NYNRIN	1.3e-10	3.9	17.0	-2.11
SNCG	2.4e-09	21.1	90.8	-2.11
SNORA26	2.8e-17	4.3	1.0	2.11
DAB1	3.1e-04	1.2	5.1	-2.10
ABO	8.1e-04	1.4	6.0	-2.10
TDRD1	q<=4.9e-19	4.3	1.0	2.10
TNS4	7.0e-06	10.0	42.9	-2.10
PHYHIPL	3.3e-10	1.0	4.3	-2.10
TMEM178A	1.9e-07	35.3	8.3	2.09
ID4	8.1e-14	12.6	53.8	-2.09
IGSF1	3.0e-06	1.0	4.3	-2.09
KRT14	8.5e-05	24.4	103.1	-2.08
BNIPL	2.2e-07	2.6	11.0	-2.08
ADRA1A	2.5e-05	1.9	8.0	-2.08
LAMB3	2.4e-09	19.2	81.0	-2.08
DSC3	2.7e-06	4.4	18.5	-2.07
QPRT	2.7e-05	5.8	24.3	-2.07
GATA3	3.0e-07	5.7	23.9	-2.07
NEFH	1.6e-04	137.3	577.6	-2.07
ARHGEF38-IT1	q<=4.9e-19	4.2	1.0	2.06
KRT5	2.2e-09	120.8	500.9	-2.05
MS4A8	6.7e-04	23.1	5.6	2.05
MYLK	4.9e-08	98.6	406.7	-2.04
MYOCD	1.7e-09	3.5	14.3	-2.04
CCDC78	q<=4.9e-19	4.1	1.0	2.04
SNORD3A	2.3e-05	28.1	6.9	2.04
DNAH5	q<=4.9e-19	5.5	1.3	2.04
PLBD1-AS1	2.2e-11	4.3	17.6	-2.03
DPT	5.2e-05	2.9	11.8	-2.03
DUOX1	1.7e-08	4.1	16.8	-2.03
TRIM29	3.7e-07	43.0	174.9	-2.02
MASP1	8.2e-06	15.2	61.7	-2.02
SLITRK6	3.9e-07	2.5	10.0	-2.02
C8orf88	1.2e-09	1.6	6.7	-2.02
LMO3	5.4e-07	3.5	14.0	-2.02
CAPNS2	6.4e-04	1.0	4.0	-2.01
DRAIC	q<=4.9e-19	102.2	25.4	2.01
PLP1	9.1e-05	2.7	10.8	-2.01
LUZP2	1.1e-16	15.1	3.8	2.01
SNAI2	1.3e-07	9.7	39.0	-2.01
ALDH3A1	8.0e-09	1.0	4.0	-2.01
FOLR1	5.7e-05	1.4	5.4	-2.00
IP6K3	1.2e-04	1.2	4.7	-2.00
FAT2	1.1e-05	1.0	4.0	-1.99
SPON2	q<=4.9e-19	1062.2	268.2	1.99
MYBL2	3.1e-06	4.1	1.0	1.98
ACOX2	2.9e-15	5.9	23.1	-1.98
TMEM40	2.9e-04	1.2	4.6	-1.98
TBX5	1.9e-04	1.0	3.9	-1.98
KCNAB1	1.1e-06	5.5	21.6	-1.97
SRD5A2	8.3e-09	6.6	25.9	-1.97
GSTM3	3.3e-06	14.8	57.4	-1.96
FAM107A	7.1e-11	24.2	93.9	-1.96
GNAO1	1.0e-06	4.0	15.6	-1.96
GOLM1	q<=4.9e-19	1017.8	263.7	1.95
UBE2C	6.7e-06	11.2	2.9	1.95
L3MBTL4	8.8e-14	1.0	4.0	-1.95
KANK4	6.6e-07	1.0	3.9	-1.95
VPS9D1-AS1	q<=4.9e-19	10.9	2.8	1.94
FFAR2	1.1e-18	11.5	3.0	1.94
LINC00683	1.2e-10	1.3	4.9	-1.93
SNORD104	q<=4.9e-19	48.2	12.7	1.93
CNTFR	1.9e-06	2.1	7.9	-1.93
C16orf74	7.3e-11	2.6	10.1	-1.93
FNDC10	q<=4.9e-19	8.5	2.3	1.92
LINC01018	3.4e-09	1.0	4.0	-1.92
PCDH7	3.1e-10	4.9	18.5	-1.92
SYNPO2	2.6e-05	87.7	332.0	-1.92
UBXN10	6.0e-09	1.4	5.2	-1.91
MSMB	3.4e-04	4655.9	17435.4	-1.91
CTBP1-AS	q<=4.9e-19	3.7	1.0	1.89
CRYAB	2.1e-07	105.7	393.1	-1.89
TSLP	2.0e-06	1.4	5.2	-1.89
FGFR2	9.0e-17	14.3	53.1	-1.89
LINC00958	4.6e-06	1.0	3.7	-1.88
LSAMP	9.4e-06	8.0	29.5	-1.88
KLK15	2.0e-10	10.0	2.7	1.88
MATK	q<=4.9e-19	7.8	2.1	1.88
NEK5	q<=4.9e-19	4.5	1.2	1.88
VGLL1	4.6e-05	1.4	5.2	-1.87
PGM5	3.4e-07	65.5	239.6	-1.87
SNHG3	1.5e-18	29.3	8.0	1.87
APOC1	q<=4.9e-19	22.4	6.1	1.87
SLIT1	q<=4.9e-19	3.7	1.0	1.87
PPP1R1A	9.2e-06	2.5	9.0	-1.86
PCAT1	q<=4.9e-19	6.7	1.8	1.86
GSTP1	6.2e-08	234.6	854.0	-1.86
TIMP4	1.5e-04	2.6	9.2	-1.85
HAGHL	q<=4.9e-19	8.4	2.3	1.85
EFS	9.5e-12	16.0	57.2	-1.84
PDZRN4	3.6e-08	4.9	17.6	-1.84
ARHGAP20	2.1e-08	1.3	4.8	-1.84
TCEAL2	2.5e-10	16.9	60.7	-1.84
FOLH1	8.6e-11	323.8	91.3	1.83
MYH11	2.7e-07	656.7	2319.4	-1.82
TMLHE	5.5e-15	1.9	6.7	-1.82
NDP	6.2e-06	1.9	6.9	-1.82
MEIS2	3.6e-10	12.7	45.0	-1.82
CDKN2A	2.9e-07	5.8	1.6	1.82
AHNAK2	2.5e-06	2.6	9.2	-1.82
ST6GALNAC2	1.1e-08	1.3	4.6	-1.82
CLU	7.7e-05	256.9	909.3	-1.82
RNF165	7.2e-09	1.2	4.1	-1.82
RAB17	q<=4.9e-19	64.5	18.3	1.82
ANXA8	6.5e-04	1.1	4.0	-1.82
RBFOX3	6.9e-07	6.5	22.6	-1.81
BIRC5	9.5e-10	5.0	1.4	1.81
CACNA1D	q<=4.9e-19	8.9	2.5	1.81
C2orf72	q<=4.9e-19	34.1	9.7	1.81
NECAB1	3.0e-10	1.3	4.5	-1.81
RND2	6.3e-13	1.7	5.9	-1.81
FEV	q<=4.9e-19	27.3	7.8	1.81
