Gene	FDRAdjustedP-value	CancerSampleMed	NormalSampleMed	|log2FC|
CA1	1.3e-04	1.0	1938.9	-10.92
DPEP1	5.3e-15	309.8	1.0	8.28
GUCA2B	4.7e-04	1.0	231.5	-7.86
CLDN8	1.2e-06	1.0	146.2	-7.19
CA7	3.4e-05	1.0	122.3	-6.93
GUCA2A	8.0e-05	18.0	2059.6	-6.84
CA2	7.2e-06	22.3	2041.0	-6.52
FOXQ1	q<=1.5e-18	75.4	1.0	6.24
KRT23	1.3e-04	71.1	1.0	6.15
CLDN2	2.2e-07	63.5	1.0	5.99
MT1M	6.6e-04	5.0	302.2	-5.93
MMP7	1.9e-08	55.8	1.0	5.80
ETV4	q<=1.5e-18	135.0	2.5	5.76
SCARA5	7.5e-05	1.3	62.9	-5.59
ADH1C	5.9e-06	9.2	376.1	-5.35
CLDN1	q<=1.5e-18	80.1	2.0	5.34
C11orf86	4.7e-04	1.7	69.5	-5.32
CDH3	q<=1.5e-18	54.4	1.4	5.30
SFRP1	1.0e-03	1.0	39.1	-5.29
SCGN	2.7e-04	1.0	36.4	-5.18
CWH43	4.0e-04	1.1	37.5	-5.07
MT1H	9.2e-04	5.8	181.3	-4.96
MMP3	1.2e-06	34.1	1.1	4.92
CEMIP	7.3e-18	43.9	1.5	4.84
CST1	1.1e-05	27.1	1.0	4.76
FABP6	9.1e-16	26.8	1.0	4.74
NOTUM	6.8e-05	25.5	1.0	4.67
CLEC3B	3.3e-05	4.0	99.7	-4.65
VSIG2	3.1e-05	16.6	417.8	-4.65
MMP1	1.6e-06	55.3	2.3	4.58
CFD	1.4e-04	11.8	276.7	-4.55
KRT80	8.5e-17	22.3	1.0	4.48
ADAMDEC1	3.2e-05	16.2	344.8	-4.41
CPNE7	8.8e-10	21.1	1.0	4.40
MMRN1	6.4e-04	1.0	20.0	-4.32
C16orf89	6.0e-04	1.0	19.4	-4.28
MMP28	8.0e-05	4.1	78.6	-4.26
VWA2	2.3e-18	20.8	1.1	4.26
UGT2A3	1.2e-05	4.7	89.2	-4.25
C2orf88	6.8e-04	2.9	55.0	-4.25
TMEM72	8.0e-04	1.0	18.8	-4.24
TESC	6.3e-18	121.0	6.6	4.19
GPR15	3.7e-04	1.0	18.3	-4.19
PDX1	q<=1.5e-18	18.1	1.0	4.18
PKIB	1.9e-04	7.9	141.5	-4.17
MMP11	2.2e-05	134.7	7.7	4.14
C6orf223	9.1e-10	17.3	1.0	4.11
GRIN2D	q<=1.5e-18	16.0	1.0	4.00
CEL	1.6e-04	15.9	1.0	3.99
NKD2	5.9e-18	27.6	1.7	3.98
INHBA	2.8e-12	15.5	1.0	3.95
LARGE2	q<=1.5e-18	39.4	2.6	3.94
SULT2B1	q<=1.5e-18	28.6	1.9	3.93
ELFN1-AS1	3.4e-13	20.7	1.4	3.91
GLDN	3.7e-04	1.0	15.1	-3.90
AZGP1	q<=1.5e-18	174.5	11.7	3.90
GSTM5	6.3e-04	1.4	20.9	-3.89
CHP2	5.8e-05	21.1	302.8	-3.85
HOXB8	9.1e-15	30.4	2.1	3.84
CHI3L1	2.7e-11	40.0	2.9	3.79
LINC02418	3.4e-13	13.7	1.0	3.78
TRIB3	q<=1.5e-18	84.3	6.2	3.77
PRSS22	1.6e-07	44.1	3.2	3.77
CASC19	q<=1.5e-18	126.0	9.4	3.75
ASCL2	q<=1.5e-18	165.5	12.4	3.74
