Gene	FDRAdjustedP-value	CancerSampleMed	NormalSampleMed	|log2FC|
CDKN2A	q<=4.4e-19	157.7	1.5	6.68
MYBL2	q<=4.4e-19	36.3	1.9	4.24
SHOX2	q<=4.4e-19	17.3	1.0	4.12
TOP2A	1.0e-17	60.6	3.6	4.06
MELK	q<=4.4e-19	21.2	1.4	3.97
CPNE6	1.7e-04	1.0	14.7	-3.88
THBS2	q<=4.4e-19	52.9	3.8	3.81
EN1	q<=4.4e-19	13.7	1.0	3.78
GTSE1	q<=4.4e-19	15.5	1.1	3.76
CDCA8	q<=4.4e-19	24.8	1.9	3.71
SIX2	7.9e-16	14.7	1.1	3.71
PRRX1	1.9e-05	154.2	12.0	3.68
SCG2	2.0e-08	12.6	1.0	3.66
TPX2	4.6e-04	70.7	5.6	3.65
NUF2	5.0e-15	20.5	1.7	3.63
KIF2C	5.2e-12	28.0	2.3	3.63
MPP7	1.5e-09	1.3	16.2	-3.62
KIF18B	q<=4.4e-19	12.2	1.0	3.61
ADAM12	5.8e-17	31.7	2.6	3.60
TROAP	9.2e-11	22.0	1.8	3.60
KIF20A	6.3e-07	30.5	2.5	3.59
ASF1B	1.1e-18	49.6	4.1	3.59
UHRF1	q<=4.4e-19	12.0	1.0	3.58
FOXM1	4.2e-07	28.6	2.4	3.56
MKI67	2.0e-13	19.1	1.6	3.54
PLK1	1.8e-04	28.1	2.5	3.50
NCAPG	q<=4.4e-19	11.1	1.0	3.48
CDCA7	q<=4.4e-19	12.2	1.1	3.46
FBN2	5.7e-13	10.9	1.0	3.45
CCNA2	2.2e-08	19.9	1.8	3.44
CDC20	1.0e-05	71.3	6.6	3.44
CENPF	2.8e-17	16.1	1.5	3.38
CDC45	8.4e-09	16.6	1.6	3.36
KIF4A	3.1e-16	15.2	1.5	3.35
TBX15	q<=4.4e-19	10.1	1.0	3.34
BUB1B	q<=4.4e-19	9.9	1.0	3.31
SV2A	q<=4.4e-19	17.3	1.8	3.29
HMMR	q<=4.4e-19	12.9	1.3	3.26
CKAP2L	q<=4.4e-19	9.5	1.0	3.25
LMNB1	2.1e-08	44.2	4.7	3.24
VCAN	1.1e-17	99.2	10.8	3.20
CENPK	1.6e-06	15.1	1.6	3.19
CDC6	q<=4.4e-19	11.5	1.3	3.19
HJURP	6.5e-13	12.7	1.4	3.17
PKMYT1	4.2e-05	16.1	1.8	3.17
GABRE	q<=4.4e-19	13.0	1.5	3.16
BCAT1	q<=4.4e-19	19.5	2.2	3.14
IQGAP3	q<=4.4e-19	12.3	1.4	3.14
NEK2	4.0e-07	14.9	1.7	3.12
SLC1A3	q<=4.4e-19	10.5	1.2	3.12
TTK	q<=4.4e-19	10.1	1.2	3.12
PCOLCE2	1.9e-04	11.0	95.3	-3.12
BUB1	1.6e-04	18.3	2.1	3.12
FAP	3.4e-13	22.1	2.5	3.12
GXYLT2	1.1e-05	21.4	2.5	3.11
CCDC144NL-AS1	9.0e-08	8.6	1.0	3.10
CDT1	1.3e-06	25.9	3.0	3.10
PLEKHG4	q<=4.4e-19	15.2	1.8	3.10
