Gene	FDRAdjustedP-value	CancerSampleMed	NormalSampleMed	|log2FC|
KRT2	q<=4.4e-20	1.0	2399.4	-11.23
KRT1	q<=4.4e-20	5.5	12330.2	-11.13
DCD	q<=4.4e-20	1.0	916.1	-9.84
LY6G6C	q<=4.4e-20	1.0	669.4	-9.39
SOX10	q<=4.4e-20	648.8	1.0	9.34
PRAME	q<=4.4e-20	633.8	1.0	9.31
SLURP1	q<=4.4e-20	1.0	588.7	-9.20
FLG2	q<=4.4e-20	1.0	469.2	-8.87
C1orf68	q<=4.4e-20	1.0	447.5	-8.81
KRTDAP	q<=4.4e-20	15.0	6169.6	-8.68
C19orf33	q<=4.4e-20	1.0	400.6	-8.65
SERPINA12	q<=4.4e-20	1.0	397.7	-8.64
CASP14	q<=4.4e-20	1.5	525.9	-8.45
WFDC5	q<=4.4e-20	1.0	337.5	-8.40
CST6	q<=4.4e-20	1.6	555.6	-8.40
LCE1C	q<=4.4e-20	1.0	333.9	-8.38
KRT10	q<=4.4e-20	55.1	18131.9	-8.36
LCE2B	q<=4.4e-20	1.0	316.8	-8.31
CALML5	q<=4.4e-20	9.5	2962.6	-8.28
SLURP2	q<=4.4e-20	1.0	300.4	-8.23
CDHR1	q<=4.4e-20	1.0	283.4	-8.15
SCEL	q<=4.4e-20	1.0	283.6	-8.15
PMEL	3.6e-19	9280.5	34.2	8.09
KPRP	q<=4.4e-20	1.0	268.0	-8.07
SCGB2A2	q<=4.4e-20	1.0	264.2	-8.05
HOPX	q<=4.4e-20	6.7	1705.2	-8.00
DSG1	q<=4.4e-20	1.0	259.4	-8.00
KRT15	q<=4.4e-20	4.4	1055.1	-7.92
KLK11	q<=4.4e-20	1.6	357.9	-7.82
LGALS7B	q<=4.4e-20	7.1	1577.5	-7.79
FLG	q<=4.4e-20	1.0	220.0	-7.78
KRT77	q<=4.4e-20	1.0	218.4	-7.77
POF1B	q<=4.4e-20	1.0	213.0	-7.74
TRIM29	q<=4.4e-20	8.2	1743.8	-7.73
