Gene	FDRAdjustedP-value	CancerSampleMed	NormalSampleMed	|log2FC|
PRM2	q<=2.1e-20	1.0	27917.6	-14.77
PRM1	q<=2.1e-20	1.0	25801.1	-14.65
TNP1	q<=2.1e-20	1.0	10445.7	-13.35
LELP1	q<=2.1e-20	1.0	2188.0	-11.10
SMCP	q<=2.1e-20	1.0	1884.7	-10.88
CMTM2	q<=2.1e-20	1.0	1488.2	-10.54
CRISP2	q<=2.1e-20	1.0	1460.2	-10.51
CATSPERZ	q<=2.1e-20	1.0	1375.0	-10.43
TUBA3C	q<=2.1e-20	1.0	1130.0	-10.14
HMGB4	q<=2.1e-20	1.0	1122.0	-10.13
MIR202HG	q<=2.1e-20	1.0	1058.4	-10.05
TCP11	q<=2.1e-20	1.0	995.6	-9.96
TEX38	q<=2.1e-20	1.0	978.4	-9.93
RBAKDN	q<=2.1e-20	1.0	955.2	-9.90
SPATA8	q<=2.1e-20	1.0	958.7	-9.90
PTGDS	q<=2.1e-20	8.0	7531.7	-9.88
ODF1	q<=2.1e-20	1.0	920.2	-9.85
BOD1L2	q<=2.1e-20	1.0	788.4	-9.62
C10orf62	q<=2.1e-20	1.0	730.7	-9.51
POU5F1	q<=2.1e-20	1375.0	2.0	9.45
ZMYND10	q<=2.1e-20	1.0	672.5	-9.39
ANKRD7	q<=2.1e-20	2.0	1318.2	-9.35
ACTL7A	q<=2.1e-20	1.0	637.9	-9.32
DEFB119	q<=2.1e-20	1.0	622.9	-9.28
GTSF1L	q<=2.1e-20	1.0	598.3	-9.22
ACTL7B	q<=2.1e-20	1.0	587.0	-9.20
GSG1	q<=2.1e-20	1.0	584.6	-9.19
ROPN1L	q<=2.1e-20	1.7	960.2	-9.18
AKAP4	q<=2.1e-20	1.0	576.1	-9.17
C1orf194	q<=2.1e-20	1.0	482.3	-8.91
CAPZA3	q<=2.1e-20	1.0	475.9	-8.89
RNF151	q<=2.1e-20	1.0	464.2	-8.86
UBQLN3	q<=2.1e-20	1.0	458.6	-8.84
ROPN1B	q<=2.1e-20	1.0	450.4	-8.81
PGK2	q<=2.1e-20	1.0	443.2	-8.79
KHDC3L	q<=2.1e-20	432.8	1.0	8.76
ACTRT2	q<=2.1e-20	1.0	423.9	-8.73
IRGC	q<=2.1e-20	1.0	423.6	-8.73
TEX44	q<=2.1e-20	1.0	418.8	-8.71
LDHC	q<=2.1e-20	1.0	415.6	-8.70
PRR30	q<=2.1e-20	1.0	416.2	-8.70
TUBA3E	q<=2.1e-20	1.0	404.2	-8.66
ACSBG2	q<=2.1e-20	1.0	404.8	-8.66
SPATA3	q<=2.1e-20	1.0	392.0	-8.62
IZUMO4	q<=2.1e-20	3.6	1368.9	-8.59
TPPP2	q<=2.1e-20	1.0	377.1	-8.56
CETN1	q<=2.1e-20	1.0	378.2	-8.56
FATE1	q<=2.1e-20	1.6	588.2	-8.54
SPEM2	q<=2.1e-20	1.0	366.3	-8.52
NUPR2	q<=2.1e-20	2.1	735.7	-8.47
LYPD4	q<=2.1e-20	1.0	351.8	-8.46
CCDC70	q<=2.1e-20	1.0	347.6	-8.44
SEPTIN12	q<=2.1e-20	1.0	344.9	-8.43
CCDC54	q<=2.1e-20	1.0	335.4	-8.39
SPACA3	q<=2.1e-20	1.0	334.0	-8.38
TMEM225B	q<=2.1e-20	1.0	332.5	-8.38
ZNRF4	q<=2.1e-20	1.0	330.7	-8.37
SHCBP1L	q<=2.1e-20	1.0	325.7	-8.35
C17orf64	q<=2.1e-20	1.0	324.0	-8.34
CITED1	q<=2.1e-20	1.0	323.1	-8.34
DYNLRB2	q<=2.1e-20	1.0	319.4	-8.32
SPATA19	q<=2.1e-20	1.0	320.3	-8.32
C20orf141	q<=2.1e-20	1.0	316.5	-8.31
C9orf24	q<=2.1e-20	1.0	315.4	-8.30
ACTL9	q<=2.1e-20	1.0	313.0	-8.29
PHF7	q<=2.1e-20	9.2	2839.4	-8.27
SYCE1	q<=2.1e-20	1.0	306.2	-8.26
TMCO2	q<=2.1e-20	1.0	303.9	-8.25
TMCO5A	q<=2.1e-20	1.0	303.6	-8.25
C16orf95	q<=2.1e-20	1.0	302.5	-8.24
TPD52L3	q<=2.1e-20	1.0	302.2	-8.24
SPACA4	q<=2.1e-20	1.0	298.2	-8.22
TEX101	q<=2.1e-20	1.0	296.0	-8.21
BPIFA3	q<=2.1e-20	1.0	293.6	-8.20
BANF2	q<=2.1e-20	1.0	291.7	-8.19
SPATA42	q<=2.1e-20	1.0	290.1	-8.18
UBL4B	q<=2.1e-20	1.0	289.5	-8.18
TEX35	q<=2.1e-20	1.0	285.8	-8.16
CABS1	q<=2.1e-20	1.0	283.9	-8.15
P3R3URF	q<=2.1e-20	1.0	276.3	-8.11
ZPBP	q<=2.1e-20	1.0	270.9	-8.08
MROH7	q<=2.1e-20	1.0	268.8	-8.07
CPT1B	q<=2.1e-20	1.0	264.3	-8.05
LINC01191	q<=2.1e-20	1.0	264.5	-8.05
LINC00917	q<=2.1e-20	1.0	262.5	-8.04
SPATA4	q<=2.1e-20	1.0	261.7	-8.03
FSCN3	q<=2.1e-20	1.0	262.2	-8.03
TSPAN16	q<=2.1e-20	1.0	259.1	-8.02
SYCE3	q<=2.1e-20	1.0	259.5	-8.02
TMEM270	q<=2.1e-20	1.0	252.0	-7.98
CCDC196	q<=2.1e-20	1.0	251.9	-7.98
TDRG1	q<=2.1e-20	1.0	251.5	-7.97
DPPA3	3.9e-16	263.6	1.1	7.97
C17orf50	q<=2.1e-20	1.0	239.9	-7.91
LEMD1	q<=2.1e-20	1.0	239.8	-7.91
NXF3	q<=2.1e-20	1.0	240.8	-7.91
MYCBPAP	q<=2.1e-20	1.0	239.5	-7.90
ROPN1	q<=2.1e-20	1.0	238.2	-7.90
CCDC42	q<=2.1e-20	1.0	237.2	-7.89
CCER1	q<=2.1e-20	1.0	235.4	-7.88
IQCF1	q<=2.1e-20	1.2	276.3	-7.86
PAOX	q<=2.1e-20	1.0	226.6	-7.82
TSSK6	q<=2.1e-20	2.6	597.6	-7.82
COX6B2	q<=2.1e-20	1.5	340.0	-7.80
GAPDHS	q<=2.1e-20	1.0	221.4	-7.79
MS4A14	q<=2.1e-20	1.0	219.4	-7.78
TLCD3B	q<=2.1e-20	1.0	219.6	-7.78
PCP2	q<=2.1e-20	1.3	290.2	-7.76
FAM220A	q<=2.1e-20	1.0	216.6	-7.76
CST9L	q<=2.1e-20	1.0	216.7	-7.76
SPACA7	q<=2.1e-20	1.0	215.9	-7.75
MORN5	q<=2.1e-20	1.0	213.5	-7.74
ADAD1	q<=2.1e-20	1.0	213.0	-7.74
DNAAF1	q<=2.1e-20	1.0	214.4	-7.74
DPPA5	q<=2.1e-20	615.1	2.9	7.73
KIF2B	q<=2.1e-20	1.0	211.4	-7.72
EPPIN	q<=2.1e-20	1.0	211.5	-7.72
CCIN	q<=2.1e-20	1.0	208.9	-7.71
LOC105372440	q<=2.1e-20	1.6	328.1	-7.70
SH3RF2	q<=2.1e-20	1.7	355.6	-7.69
TEX33	q<=2.1e-20	1.0	204.4	-7.67
LOC730098	q<=2.1e-20	1.0	203.5	-7.67
SPEM1	q<=2.1e-20	1.0	204.0	-7.67
KRBOX1	q<=2.1e-20	1.0	202.5	-7.66
TPTE	q<=2.1e-20	1.0	201.7	-7.66
SIRPD	q<=2.1e-20	1.0	202.9	-7.66
IQCF2	q<=2.1e-20	1.0	201.8	-7.66
SOX30	q<=2.1e-20	1.0	199.9	-7.64
ACTL10	q<=2.1e-20	1.0	197.9	-7.63
TMEM210	q<=2.1e-20	1.0	197.6	-7.63
GGN	q<=2.1e-20	1.0	198.6	-7.63
FAM209A	q<=2.1e-20	1.0	196.0	-7.62
GDF3	1.7e-14	195.1	1.0	7.61
ABHD1	q<=2.1e-20	1.0	193.5	-7.60
ACR	q<=2.1e-20	1.0	194.4	-7.60
TEX46	q<=2.1e-20	1.0	191.5	-7.58
CLDN6	q<=2.1e-20	306.9	1.6	7.56
CFAP100-DT	q<=2.1e-20	1.0	184.1	-7.53
FNDC11	q<=2.1e-20	1.7	315.5	-7.53
C20orf85	q<=2.1e-20	1.0	185.0	-7.53
NANOG	q<=2.1e-20	185.0	1.0	7.53
ZPBP2	q<=2.1e-20	1.0	183.9	-7.52
FAM209B	q<=2.1e-20	1.0	184.0	-7.52
LLCFC1	q<=2.1e-20	1.0	180.5	-7.50
TXNDC2	q<=2.1e-20	1.0	181.3	-7.50
ART3	q<=2.1e-20	1.0	181.6	-7.50
LRRC73	q<=2.1e-20	1.0	179.6	-7.49
PFN4	q<=2.1e-20	1.0	180.1	-7.49
CALR3	q<=2.1e-20	1.0	179.2	-7.49
DUSP15	q<=2.1e-20	3.0	531.7	-7.48
GK2	q<=2.1e-20	1.0	177.5	-7.47
TEX55	q<=2.1e-20	1.0	172.5	-7.43
FAM187B	q<=2.1e-20	1.0	171.9	-7.42
CMTM1	q<=2.1e-20	1.1	186.9	-7.42
IPO4	q<=2.1e-20	1.0	170.3	-7.41
