Gene	FDRAdjustedP-value	CancerSampleMed	NormalSampleMed	|log2FC|
DCSTAMP	q<=1.6e-19	130.5	1.0	7.03
ZCCHC12	q<=1.6e-19	338.2	2.7	6.97
CCL21	9.5e-10	6.2	623.4	-6.66
TFF3	5.3e-14	25.3	2330.7	-6.53
PRR15	q<=1.6e-19	145.3	1.8	6.35
RXRG	q<=1.6e-19	125.7	1.6	6.29
SLC22A31	q<=1.6e-19	67.6	1.0	6.08
CDH16	q<=1.6e-19	2.1	131.1	-5.98
LINC02471	q<=1.6e-19	58.6	1.0	5.87
PKHD1L1	8.6e-13	1.1	57.8	-5.74
DPP6	q<=1.6e-19	1.2	60.7	-5.72
HMGA2	q<=1.6e-19	49.8	1.0	5.64
SYT12	q<=1.6e-19	49.1	1.0	5.62
FN1	q<=1.6e-19	3412.0	70.6	5.60
WSCD2	7.0e-18	1.2	57.3	-5.57
LIPH	q<=1.6e-19	47.3	1.0	5.56
SEMA3D	3.2e-13	1.0	46.9	-5.55
CLDN16	q<=1.6e-19	53.6	1.2	5.49
DPT	2.4e-18	1.0	40.4	-5.30
NGEF	q<=1.6e-19	38.1	1.0	5.25
KLHDC8A	q<=1.6e-19	37.1	1.0	5.21
ZMAT4	7.5e-19	1.0	35.5	-5.15
ARHGAP36	2.1e-13	34.9	1.0	5.12
KLK7	q<=1.6e-19	33.4	1.0	5.06
SLC34A2	q<=1.6e-19	1229.3	36.7	5.06
GABRB2	q<=1.6e-19	33.1	1.0	5.05
BMP8A	2.0e-07	5.2	162.8	-4.96
TPO	q<=1.6e-19	135.9	4226.5	-4.96
SLC5A5	1.7e-05	1.0	30.8	-4.95
CHRDL1	6.1e-15	1.4	42.5	-4.95
KLK10	q<=1.6e-19	29.8	1.0	4.90
DPP4	q<=1.6e-19	106.6	3.6	4.88
B3GNT3	q<=1.6e-19	28.7	1.0	4.84
TMPRSS6	q<=1.6e-19	28.5	1.0	4.83
SERPINA1	q<=1.6e-19	1338.1	50.2	4.74
PI16	3.5e-13	1.9	49.9	-4.70
TACSTD2	q<=1.6e-19	544.8	21.4	4.67
LAMB3	q<=1.6e-19	101.4	4.0	4.66
IPCEF1	2.7e-14	2.5	62.2	-4.61
NECTIN4	q<=1.6e-19	23.9	1.0	4.58
PDZK1IP1	q<=1.6e-19	97.8	4.1	4.56
MAPK4	3.1e-15	1.0	23.3	-4.54
KCNN4	q<=1.6e-19	51.5	2.3	4.47
GPC3	1.5e-17	1.0	22.7	-4.46
SLC5A8	q<=1.6e-19	3.6	78.9	-4.46
GJB3	q<=1.6e-19	21.7	1.0	4.44
CWH43	q<=1.6e-19	1.5	32.6	-4.41
STRA6	q<=1.6e-19	21.1	1.0	4.40
TMPRSS4	q<=1.6e-19	20.4	1.0	4.35
PCSK1N	q<=1.6e-19	24.4	1.2	4.31
AOX1	7.1e-19	1.0	19.5	-4.28
DIO1	9.0e-11	19.5	367.5	-4.24
TFCP2L1	4.0e-11	3.1	57.3	-4.22
ADH1B	5.7e-13	1.0	18.5	-4.21
IGFBPL1	1.1e-18	3.3	61.1	-4.21
METTL7B	q<=1.6e-19	123.7	6.7	4.21
SCEL	q<=1.6e-19	49.0	2.7	4.20
MMRN1	1.0e-16	1.6	28.2	-4.18
CDH3	q<=1.6e-19	75.7	4.2	4.17
IGSF1	q<=1.6e-19	181.8	10.3	4.14
SCARA5	9.5e-12	1.0	17.6	-4.14
LRP4	q<=1.6e-19	57.3	3.3	4.13
CLDN1	q<=1.6e-19	329.9	19.3	4.10
GDF15	q<=1.6e-19	148.6	8.8	4.08
GOLT1A	q<=1.6e-19	40.0	2.4	4.07
OCA2	1.6e-13	1.0	16.6	-4.04
