Gene	FDRAdjustedP-value	CancerSampleMed	NormalSampleMed	|log2FC|
RPS4Y1	4.3e-17	578.8	1.0	9.18
AQP5	1.1e-10	50.6	1.0	5.66
EIF1AY	1.7e-15	33.6	1.0	5.07
GALNT9	5.8e-15	18.0	1.0	4.17
BBOX1-AS1	q<=2.4e-18	23.8	1.4	4.12
TBX1	8.5e-09	36.6	2.4	3.95
KLK8	4.1e-13	14.2	1.0	3.83
CCL13	2.0e-06	1.4	17.3	-3.67
PRAME	1.1e-09	13.2	1.1	3.55
LINC02893	1.5e-15	16.9	1.5	3.51
GOLT1A	4.7e-06	15.0	1.4	3.38
FAR2P1	6.3e-09	9.7	1.0	3.28
ASCL2	1.6e-13	26.5	2.9	3.20
CASC9	5.1e-09	8.8	1.0	3.13
WFDC2	1.1e-06	253.7	29.2	3.12
NPTX1	4.9e-09	72.3	9.0	3.00
DDX3Y	5.3e-13	7.8	1.0	2.97
NEFL	1.3e-05	1.6	11.8	-2.89
RAMP1	7.8e-09	94.2	12.7	2.89
FAM71E1	2.0e-17	14.7	2.2	2.76
LGI3	1.7e-11	6.6	1.0	2.72
AQP5-AS1	4.3e-10	6.5	1.0	2.71
CDH4	1.0e-11	7.3	1.1	2.68
PNCK	7.2e-09	14.7	2.3	2.67
KDM5D	2.2e-12	6.2	1.0	2.63
ELFN1	3.8e-10	20.2	3.4	2.58
HS3ST6	4.5e-05	10.4	1.8	2.55
LINC01980	1.1e-10	5.8	1.0	2.54
LINC01807	1.5e-10	5.5	1.0	2.46
NKAIN4	7.1e-08	10.0	1.8	2.46
FOXQ1	5.9e-06	9.1	1.7	2.44
KRTAP5-9	2.4e-13	5.2	1.0	2.33
GPC4	4.6e-11	96.2	19.4	2.31
FGF17	9.0e-09	9.6	2.0	2.28
HS6ST2	4.2e-10	4.8	1.0	2.25
DEFA6	7.2e-07	17.2	3.7	2.23
IRX2	1.4e-07	5.3	1.1	2.20
S100A14	2.0e-09	1347.6	300.4	2.17
LINC00491	3.7e-11	4.5	1.0	2.16
EGR2	q<=2.4e-18	5.9	25.6	-2.11
GPR143	5.7e-07	14.4	3.4	2.10
ATAD3C	1.4e-13	9.0	2.1	2.08
COL2A1	7.2e-07	4.2	1.0	2.07
CRABP2	2.4e-10	247.6	59.4	2.06
TMSB4Y	1.7e-13	4.2	1.0	2.06
GNGT1	1.5e-14	4.2	1.0	2.06
LINC01451	9.4e-08	6.6	1.6	2.05
ATRNL1	8.4e-12	4.1	1.0	2.03
AK5	8.3e-06	4.8	1.2	2.02
SNORD59A	2.4e-13	1.0	4.1	-2.02
WNT2	2.9e-06	5.9	1.5	2.02
IGFBP2	4.9e-11	534.3	131.7	2.02
CDH2	1.5e-09	16.1	4.0	2.00
NPM2	3.5e-12	27.9	7.1	1.97
SLC52A1	1.6e-09	10.2	2.6	1.97
DUOXA1	2.0e-09	4.1	1.1	1.94
MEIG1	1.2e-07	18.2	4.7	1.94
SP6	5.2e-08	13.6	3.6	1.93
FBN3	1.0e-06	4.5	1.2	1.93
WNT4	2.6e-13	8.5	2.2	1.93
SMIM1	5.0e-04	40.1	10.6	1.92
UBE4A	q<=2.4e-18	5.5	20.8	-1.92
