Gene	FDRAdjustedP-value	CancerSampleMed	NormalSampleMed	|log2FC|
MYH11	q<=7.0e-20	2.8	1668.8	-9.23
FXYD1	q<=7.0e-20	1.0	341.9	-8.42
PRAME	2.1e-17	282.8	1.0	8.14
PTGER3	q<=7.0e-20	1.1	297.9	-8.12
MIR3654	5.3e-13	260.7	1.0	8.03
ADH1B	q<=7.0e-20	1.0	236.5	-7.89
UBE2C	3.6e-14	398.5	1.8	7.79
EPCAM	4.7e-09	217.8	1.0	7.77
LMOD1	q<=7.0e-20	2.4	518.9	-7.76
CCL14	q<=7.0e-20	1.0	203.1	-7.67
ACTA2-AS1	q<=7.0e-20	1.0	180.5	-7.50
C7	q<=7.0e-20	1.3	234.6	-7.47
CNN1	q<=7.0e-20	13.6	2287.6	-7.39
CDKN2A	4.5e-17	203.0	1.3	7.31
CDC20	1.2e-17	154.6	1.0	7.27
PRELP	q<=7.0e-20	1.8	276.6	-7.27
DPT	q<=7.0e-20	1.0	151.2	-7.24
RN7SL1	q<=7.0e-20	132.5	1.0	7.05
MUSTN1	q<=7.0e-20	1.0	128.2	-7.00
MAMDC2	q<=7.0e-20	1.0	123.3	-6.95
PLN	q<=7.0e-20	1.0	123.8	-6.95
ACTG2	5.1e-17	23.2	2764.3	-6.90
ACTA2	q<=7.0e-20	48.7	5734.9	-6.88
TPX2	4.8e-14	114.5	1.0	6.84
HMGA2	3.1e-06	112.6	1.0	6.81
RNASE4	q<=7.0e-20	1.0	110.1	-6.78
PLSCR3	q<=7.0e-20	1.0	109.3	-6.77
DIO3OS	q<=7.0e-20	3.5	367.3	-6.73
KRT17	1.4e-05	151.9	1.4	6.71
HAND2-AS1	q<=7.0e-20	1.0	104.1	-6.70
CRABP1	1.9e-05	100.2	1.0	6.65
DPP6	q<=7.0e-20	1.0	100.5	-6.65
DES	2.6e-19	37.5	3734.5	-6.64
TCF23	q<=7.0e-20	1.0	99.4	-6.63
LCN6	q<=7.0e-20	1.0	99.1	-6.63
MYBL2	q<=7.0e-20	97.8	1.0	6.61
MFAP5	3.7e-16	1.6	146.3	-6.52
AMT	q<=7.0e-20	1.0	91.1	-6.51
KCNMB1	q<=7.0e-20	1.1	100.3	-6.50
BIRC5	8.7e-16	89.4	1.0	6.48
TNFAIP8L3	q<=7.0e-20	1.3	110.5	-6.43
MASP1	q<=7.0e-20	1.7	140.1	-6.40
TOP2A	2.2e-08	83.3	1.0	6.38
MEG3	q<=7.0e-20	7.5	613.5	-6.36
RSPO1	q<=7.0e-20	1.0	80.9	-6.34
COL2A1	4.7e-04	78.0	1.0	6.29
PGR	q<=7.0e-20	1.0	76.6	-6.26
XIST	q<=7.0e-20	1.0	76.0	-6.25
IDS	q<=7.0e-20	1.7	132.0	-6.24
GSTM5	q<=7.0e-20	1.0	74.1	-6.21
TAGLN	q<=7.0e-20	31.3	2299.2	-6.20
AURKB	q<=7.0e-20	72.1	1.0	6.17
TMEM35B	q<=7.0e-20	1.0	72.1	-6.17
SDC1	4.2e-08	97.1	1.4	6.16
ACAD11	q<=7.0e-20	1.0	70.3	-6.14
PYURF	q<=7.0e-20	69.2	1.0	6.11
COL26A1	1.1e-09	68.1	1.0	6.09
PTGDS	q<=7.0e-20	5.2	356.3	-6.09
ECSCR	q<=7.0e-20	1.2	79.7	-6.09
LCN10	q<=7.0e-20	1.0	67.0	-6.07
LY6G5B	q<=7.0e-20	3.0	198.0	-6.05
SYTL4	q<=7.0e-20	1.0	68.2	-6.05
PGM5-AS1	2.9e-15	1.2	76.1	-6.04
PILRB	q<=7.0e-20	3.2	213.1	-6.04
MFSD14A	q<=7.0e-20	1.0	65.3	-6.03
ESR1	q<=7.0e-20	1.9	122.5	-6.02
ADAM33	q<=7.0e-20	9.3	584.0	-5.98
RAB25	1.6e-07	64.4	1.0	5.98
BBS1	q<=7.0e-20	1.0	60.7	-5.92
CACNA1H	q<=7.0e-20	1.9	115.4	-5.92
ACKR1	q<=7.0e-20	4.2	249.9	-5.88
SEPTIN5	q<=7.0e-20	1.0	58.5	-5.87
PLA2G4B	q<=7.0e-20	1.0	57.6	-5.85
MIR1244-4	6.9e-15	56.8	1.0	5.83
PTTG1	q<=7.0e-20	178.0	3.2	5.80
CCN5	1.1e-13	1.0	55.7	-5.80
RRM2	5.8e-08	55.5	1.0	5.79
MYLK	q<=7.0e-20	7.6	422.3	-5.79
PRSS8	4.8e-07	54.6	1.0	5.77
POLR2F	8.6e-20	76.3	1.4	5.77
PSAT1	7.9e-15	94.0	1.7	5.75
JPH2	q<=7.0e-20	1.4	73.0	-5.75
KRT7	3.9e-04	56.2	1.1	5.74
BMP7	2.8e-05	53.3	1.0	5.74
PLIN4	q<=7.0e-20	1.0	53.2	-5.73
GIMAP5	q<=7.0e-20	1.0	53.1	-5.73
CHD1L	q<=7.0e-20	1.0	50.4	-5.66
