Gene.stable.ID,Gene.name,NCBI.gene..formerly.Entrezgene..ID
ENSG00000210049,MT-TF,NA
ENSG00000198888,MT-ND1,4535
ENSG00000198763,MT-ND2,4536
ENSG00000198804,MT-CO1,4512
ENSG00000210151,MT-TS1,113219467
ENSG00000198712,MT-CO2,4513
ENSG00000228253,MT-ATP8,4509
ENSG00000198899,MT-ATP6,4508
ENSG00000198938,MT-CO3,4514
ENSG00000198840,MT-ND3,4537
ENSG00000212907,MT-ND4L,4539
ENSG00000198886,MT-ND4,4538
ENSG00000198786,MT-ND5,4540
ENSG00000198695,MT-ND6,4541
ENSG00000198727,MT-CYB,4519
ENSG00000303867,,124907012
ENSG00000303867,,124908455
ENSG00000271254,,124905564
ENSG00000278625,U6,124905334
ENSG00000277630,,100288966
ENSG00000304745,,101928669
ENSG00000304422,,102724750
ENSG00000304422,,124907407
ENSG00000278294,5_8S_rRNA,124907156
ENSG00000278294,5_8S_rRNA,124907485
ENSG00000278294,5_8S_rRNA,124908250
ENSG00000274917,RNA5-8SN5,100008587
ENSG00000274917,RNA5-8SN5,124907114
ENSG00000274917,RNA5-8SN5,124907115
ENSG00000274917,RNA5-8SN5,124907116
ENSG00000274917,RNA5-8SN5,124907117
ENSG00000274917,RNA5-8SN5,124907118
ENSG00000274917,RNA5-8SN5,124907119
ENSG00000274917,RNA5-8SN5,124907120
ENSG00000274917,RNA5-8SN5,124907121
ENSG00000274917,RNA5-8SN5,124907122
ENSG00000274917,RNA5-8SN5,124907123
ENSG00000274917,RNA5-8SN5,124907124
ENSG00000274917,RNA5-8SN5,124907125
ENSG00000274917,RNA5-8SN5,124907126
ENSG00000274917,RNA5-8SN5,124907127
ENSG00000274917,RNA5-8SN5,124907128
ENSG00000274917,RNA5-8SN5,124907129
ENSG00000274917,RNA5-8SN5,124907130
ENSG00000274917,RNA5-8SN5,124907131
ENSG00000274917,RNA5-8SN5,124907132
ENSG00000274917,RNA5-8SN5,124907133
ENSG00000274917,RNA5-8SN5,124907134
ENSG00000274917,RNA5-8SN5,124907135
ENSG00000274917,RNA5-8SN5,124907136
ENSG00000274917,RNA5-8SN5,124907137
ENSG00000274917,RNA5-8SN5,124907138
ENSG00000274917,RNA5-8SN5,124907139
ENSG00000274917,RNA5-8SN5,124907140
ENSG00000274917,RNA5-8SN5,124907141
ENSG00000274917,RNA5-8SN5,124907142
ENSG00000274917,RNA5-8SN5,124907143
ENSG00000274917,RNA5-8SN5,124907144
ENSG00000274917,RNA5-8SN5,124907145
ENSG00000274917,RNA5-8SN5,124907146
ENSG00000274917,RNA5-8SN5,124907147
ENSG00000274917,RNA5-8SN5,124907148
ENSG00000274917,RNA5-8SN5,124907149
ENSG00000274917,RNA5-8SN5,124907150
ENSG00000274917,RNA5-8SN5,124907151
ENSG00000274917,RNA5-8SN5,124907152
ENSG00000274917,RNA5-8SN5,124907153
ENSG00000274917,RNA5-8SN5,124907154
ENSG00000274917,RNA5-8SN5,124907155
ENSG00000274917,RNA5-8SN5,124907160
ENSG00000274917,RNA5-8SN5,124907172
ENSG00000274917,RNA5-8SN5,124907183
ENSG00000274917,RNA5-8SN5,124907194
ENSG00000274917,RNA5-8SN5,124907205
ENSG00000274917,RNA5-8SN5,124907216
ENSG00000274917,RNA5-8SN5,124907227
ENSG00000274917,RNA5-8SN5,124907238
ENSG00000274917,RNA5-8SN5,124907248
ENSG00000274917,RNA5-8SN5,124907258
ENSG00000274917,RNA5-8SN5,124907269
ENSG00000274917,RNA5-8SN5,124907280
ENSG00000274917,RNA5-8SN5,124907291
ENSG00000274917,RNA5-8SN5,124907302
ENSG00000274917,RNA5-8SN5,124907313
ENSG00000274917,RNA5-8SN5,124907324
ENSG00000274917,RNA5-8SN5,124907327
ENSG00000274917,RNA5-8SN5,124907328
ENSG00000274917,RNA5-8SN5,124907329
ENSG00000274917,RNA5-8SN5,124907330
ENSG00000274917,RNA5-8SN5,124907331
