pathway,pval,padj,log2err,ES,NES,size,leadingEdge
1,0.10536359983929289,0.5794997991161108,0.04215406713532638,-0.2397053814721172,-1.2673533339824494,96,
10,0.7052247066637148,0.7757471773300864,0.010890059019355726,-0.20699602365598052,-0.841988800180135,23,
11,0.6782082047765969,0.7757471773300864,0.011941401507274263,-0.22558441323662295,-0.8561158958739329,18,
12,0.6850713374318524,0.7757471773300864,0.012013299292753462,-0.2307113139822353,-0.8464194028482974,16,
2,0.2328,0.6402,0.026193976396820005,-0.20628781459536988,-1.1370247213121887,159,
4,0.01807898192101808,0.19886880113119887,0.10701482812120706,-0.28846482603685214,-1.4795883105964642,75,
5,0.9740325865580448,0.9740325865580448,0.0030801778267331385,-0.11305295388128106,-0.5618841132370711,60,
6,0.6077930047044385,0.7757471773300864,0.011921615398680516,-0.19000157331277934,-0.9311119201679535,55,
7,0.5335661184951566,0.7757471773300864,0.015208726499038079,-0.2454535792670119,-0.9608964415935002,20,
8,0.6602660266026603,0.7757471773300864,0.010351849501924115,-0.16764481958818692,-0.9243300926104666,161,
9,0.16432182897340075,0.6025133729024694,0.03441742715306239,-0.3063895135682624,-1.2613550682698806,24,
