pathway,pval,padj,log2err,ES,NES,size,leadingEdge
1,0.8647129666800482,0.9966619461865264,0.00578426690537807,0.2090595346349749,0.7526839807879272,75,
10,0.03651202749140894,0.1825601374570447,0.07695815920914909,0.479344227450756,1.5109321767694253,23,
12,0.18803777544596012,0.6267925848198671,0.030881642894319026,0.38433632773708803,1.2516692262689433,28,
2,1.596696570603631e-8,1.5966965706036311e-7,0.7337619883564803,0.4987245157592527,1.8490841550540609,145,
4,0.559554842590736,0.9966619461865264,0.012839208726327983,0.26878759456302537,0.972744650796095,83,
5,0.8401326366559485,0.9966619461865264,0.0063895383280466594,0.21580670902117866,0.7743693615753144,71,
6,0.9966619461865264,0.9966619461865264,0.0017681590052707804,0.10778124559593233,0.3779845957272192,52,
7,0.759123299503347,0.9966619461865264,0.009376673618508732,0.24949501165214794,0.7805073049119836,22,
8,0.9074092590740926,0.9966619461865264,0.004608481220825748,0.21304591981052468,0.7988528108938556,215,
9,0.7131231973629996,0.9966619461865264,0.009619810269611924,0.24982834528972597,0.8415232835580571,36,
