pathway,pval,padj,log2err,ES,NES,size,leadingEdge
1,0.004909836517856376,0.054008201696420136,0.40701791892395395,-0.21999238301360957,-2.077855585892224,72,
10,0.03578000408914332,0.09839501124514413,0.10825644000893633,0.2797266234398571,1.645866761471846,25,
11,0.23528196653583971,0.4313502719823728,0.040249734642366516,0.1959519185555773,1.1944401011546737,27,
12,0.5559655596555966,0.6174580723378461,0.02365336041162802,0.1638898441812653,0.9124246690210331,22,
2,0.5613255203071328,0.6174580723378461,0.02326459263003914,0.07455270187116814,0.9031154545473793,131,
4,0.06728492501973166,0.14802683504340966,0.0768410915258218,-0.15081224071469768,-1.4944354179014154,81,
5,0.029197080291970802,0.09839501124514413,0.11791011662349678,-0.1821870628948124,-1.6745246007314223,68,
6,0.013695829926410465,0.07532706459525756,0.1763237517377301,0.19676842220584817,1.8179579652231155,67,
7,0.9788202692003167,0.9788202692003167,0.014588344905958728,-0.10185185185185185,-0.5338860925119772,20,
8,0.3035822707953855,0.4770578541070344,0.034349897500454384,0.07760347769770531,1.1155063422785259,213,
9,0.48519736842105265,0.6174580723378461,0.025961440532813976,0.1553952723529033,0.9659805790300046,28,
