pathway,pval,padj,log2err,ES,NES,size,leadingEdge
1,2.553639896890111e-6,2.553639896890111e-5,0.6272567397185284,-0.29653962730857186,-3.028605921679995,90,
11,0.062218583708555056,0.12443716741711011,0.08154603126573544,0.3264530965631144,1.5481068469973507,16,
12,0.10854456255110384,0.18090760425183974,0.06095311560061419,0.3048717137709156,1.401990770656032,15,
2,0.5539510629763338,0.6151100535395598,0.02335771973910726,0.07202576844644115,0.9137297351883821,156,
4,0.0011134013791484635,0.005567006895742317,0.45505986738722953,0.20807177419329814,2.1809941626897666,94,
5,0.6151100535395598,0.6151100535395598,0.021516461905381135,-0.09675794069454591,-0.8699003270559121,68,
6,0.025955446556304926,0.06607033949989835,0.12745704201113045,0.178300071655635,1.743191549174524,80,
7,0.02642813579995934,0.06607033949989835,0.1259529316386221,0.29543602311746586,1.7242743124631867,25,
8,0.506429277942631,0.6151100535395598,0.024598111373244077,-0.07054934784127774,-0.9416449554000774,188,
9,0.25263774912075027,0.3609110701725004,0.037446187171478275,-0.20634783432250164,-1.1801437871503304,24,
