pathway,pval,padj,log2err,ES,NES,size,leadingEdge
1,0.485357025337282,0.7280355380059229,0.034690770658950085,-0.14709415959159178,-0.9735852898171664,46,
10,0.34174420438416653,0.68348840876833306,0.027433177525934792,0.24497731560973204,1.0970971734113022,23,
11,0.025993652712709685,0.07798095813812905,0.10921584776585129,0.33353530497142597,1.6659337613507965,32,
12,0.5918762088974855,0.7891682785299806,0.018941285989011895,0.21303033289282483,0.8914022201481706,19,
2,0.00368546278249614,0.02211277669497684,0.4317076958033464,-0.19570051428797683,-1.725357939615523,122,
3,0.2379327157484154,0.571038517796197,0.03484335368345159,0.2988167448602852,1.2084799014632956,17,
4,0.02574002574002574,0.07798095813812905,0.18647262923999633,-0.1923500001820201,-1.5865730748725326,94,
5,0.41330645161290325,0.7085253456221198,0.021652979967242306,0.16243345908409473,1.0360011245445933,76,
6,0.8413068844807468,0.8656104889374487,0.02746554672729081,-0.09563751049995758,-0.7517926445502706,78,
7,0.8656104889374487,0.8656104889374487,0.021184135830476805,-0.13673168835573335,-0.6972752774174156,23,
8,0.0022471910112359553,0.02211277669497684,0.3350685587170139,0.22545586488733682,1.7752544396336316,240,
9,0.7116910866910867,0.854029304029304,0.015436311815051102,0.16721701403149075,0.801744390514082,28,
