pathway,pval,padj,log2err,ES,NES,size,leadingEdge
1,0.09817232375979112,0.2699738903394256,0.04480261179995763,0.34255042639014,1.3404616377939107,61,
10,0.045701581027667984,0.16757246376811594,0.07365326681848156,0.5006193970442653,1.5372927164089925,16,
11,0.5650381107084843,0.9980994298289487,0.015880825109464227,0.30663905894747245,0.9253794054677162,15,
12,0.044444444444444446,0.16757246376811594,0.18647262923999633,-0.3112815520699736,-1.5390419830462263,24,
2,2.2330752238273505e-10,2.4563827462100857e-9,0.826657301178302,0.5067173734635633,2.103202021170977,147,
4,0.9321331040760594,0.9980994298289487,0.00421055221999234,0.15990672811672182,0.6526890468087966,99,
5,0.8605220228384992,0.9980994298289487,0.00620449978697512,0.1816405180181394,0.7344754272604868,87,
6,0.9794676021460998,0.9980994298289487,0.00333737673803041,0.13078413132741235,0.5200398048543418,72,
7,0.9874213836477987,0.9980994298289487,0.041068366529457286,-0.10122237098247552,-0.5415042454637071,30,
8,0.9980994298289487,0.9980994298289487,6.926546132925114e-4,0.11560305836244744,0.4854850524845157,212,
9,0.9465631679604005,0.9980994298289487,0.006265616292092374,0.158135843889121,0.5577691998811044,30,
