pathway,pval,padj,log2err,ES,NES,size,leadingEdge
1,0.019268451992161987,0.09634225996080993,0.10763038966489588,-0.2684252092189096,-1.566754952362254,82,
10,0.34086822501926534,0.4806190741773564,0.024005411352951995,-0.2617394684701847,-1.0986303570854543,22,
12,0.7430860687516154,0.7430860687516154,0.012404926464497049,-0.19156270701296907,-0.7939882085375449,21,
2,8.47805018992479e-10,8.478050189924789e-9,0.8012155746177786,0.25627371734283155,2.6863208813885766,170,
4,0.1748932910145562,0.4806190741773564,0.033087230871802445,-0.21583289336595043,-1.2481501701556565,77,
5,0.4452928984400567,0.4947698871556186,0.017373125212004428,-0.17722388337035885,-1.0273275304141076,78,
6,0.3844952593418851,0.4806190741773564,0.019894258500410163,-0.19129855107329483,-1.0666002695332049,64,
7,0.22757818557766865,0.4806190741773564,0.031211113712682936,-0.2916667370537972,-1.2088989222085764,21,
8,0.3249819569027735,0.4806190741773564,0.02126760602983777,-0.1697413411153701,-1.103500685280868,179,
9,0.26054653066364436,0.4806190741773564,0.028250573376528344,-0.2697656919348117,-1.177979708353742,25,
