pathway,pval,padj,log2err,ES,NES,size,leadingEdge
1,1.0858475164628112e-20,3.5290044285041363e-20,1.1778932614941966,0.30557560550587987,2.463579151266059,647,
10,2.414125549530659e-7,4.4833760205569383e-7,0.674962860011025,0.28868495669517125,2.0600593254394624,233,
11,3.5008235836693206e-5,4.551070658770117e-5,0.557332238758646,0.2518050323514899,1.8080561666752482,240,
12,1.58288595271862e-8,3.429586230890343e-8,0.7337619883564803,-0.29553032339210195,-2.147441313283468,259,
13,0.011217430847628922,0.011217430847628922,0.3807304007227924,-0.31570971727168234,-1.6551231802308661,51,
14,0.005507233397881548,0.005966169514371677,0.40701791892395395,-0.32350158143039964,-1.755504015126659,59,
15,0.003101686329257796,0.0036656292982137594,0.4317076958033464,0.3628092909608655,1.8583569113714982,48,
3,4.2066732438730963e-7,6.076305796705584e-7,0.674962860011025,0.371487962857021,2.3023166872319534,111,
4,6.2964052598234215e-27,8.185326837770448e-26,1.34992572002205,0.3119566686266612,2.5802991890278184,812,
5,2.4834185753571877e-22,1.076148049321448e-21,1.221053756771862,0.3269990544805028,2.5907788366638465,555,
6,2.243475954753053e-24,1.4582593705894844e-23,1.2790339772504933,0.33932426923561043,2.678147142616533,540,
7,6.0101033519969e-10,1.562626871519194e-9,0.8012155746177786,0.345328150925862,2.3992901957278985,195,
9,3.409997315805781e-7,5.541245638184394e-7,0.674962860011025,0.27263810200665906,2.0082621530266564,290,
