Gene	FDRAdjustedP-value	CancerSampleMed	NormalSampleMed	|log2FC|
DES	5.6e-05	7.0	1464.7	-7.70
MYH11	1.3e-05	8.1	1142.9	-7.14
CNN1	5.6e-06	13.6	1419.9	-6.70
ZCCHC12	4.2e-05	1.5	145.9	-6.61
OGN	1.3e-07	1.0	93.1	-6.54
PTGER3	1.8e-04	1.0	86.3	-6.43
MYBL2	q<=2.2e-19	79.4	1.1	6.23
PTGIS	3.2e-07	1.3	95.9	-6.18
LMOD1	2.1e-07	3.6	238.2	-6.05
PLN	2.4e-06	1.0	61.9	-5.95
CHRDL1	8.5e-05	1.0	60.2	-5.91
ACTG2	3.0e-04	20.2	1178.2	-5.86
RSPO1	3.9e-10	1.0	53.0	-5.73
TNXB	1.4e-07	1.2	61.8	-5.72
MASP1	7.4e-07	1.0	52.7	-5.72
C7	3.3e-04	1.0	52.4	-5.71
WT1	4.3e-12	2.6	129.4	-5.65
DLX5	7.7e-14	200.2	4.1	5.62
HSPB7	2.6e-06	1.7	84.0	-5.60
RERG	1.8e-08	2.4	110.9	-5.55
PDLIM3	8.8e-06	2.3	100.6	-5.47
MAMDC2	5.7e-09	1.0	43.9	-5.46
PGM5	4.9e-07	4.3	186.5	-5.45
GSTM5	4.5e-04	1.5	65.3	-5.44
HAND2-AS1	2.7e-08	1.1	46.6	-5.43
TNFAIP8L3	6.2e-06	1.4	60.0	-5.42
RSPO3	4.7e-06	1.0	44.3	-5.40
DPP6	6.2e-06	1.1	45.7	-5.38
TCF23	1.5e-06	1.0	40.6	-5.34
TMPRSS4	q<=2.2e-19	48.8	1.2	5.29
ASPN	8.5e-05	3.2	122.6	-5.26
UBE2C	q<=2.2e-19	233.4	6.2	5.24
CDC20	q<=2.2e-19	118.8	3.2	5.21
ADH1B	2.4e-04	1.0	36.8	-5.20
TCEAL2	8.4e-07	1.6	60.4	-5.20
AQP5	q<=2.2e-19	159.7	4.4	5.19
BCHE	8.3e-06	1.0	36.2	-5.18
TSPAN2	1.6e-07	1.4	48.3	-5.12
HAND2	4.6e-08	1.7	57.2	-5.11
SHISAL1	1.2e-06	1.0	34.4	-5.11
MIR145	3.2e-05	1.0	33.8	-5.08
CCL21	7.9e-06	10.7	359.7	-5.07
BIRC5	q<=2.2e-19	50.1	1.5	5.05
DLX6	2.9e-11	38.1	1.2	5.04
TCEAL7	6.2e-10	2.3	75.8	-5.02
NCAM1	2.5e-06	1.6	52.2	-5.02
PRAME	q<=2.2e-19	279.4	8.7	5.00
GAS1	1.3e-05	3.3	104.7	-5.00
ANGPTL1	1.1e-06	1.0	30.4	-4.93
PRUNE2	4.3e-08	1.1	33.0	-4.92
KCNMB1	3.6e-06	1.3	39.9	-4.92
TMEM200B	3.2e-08	1.5	46.1	-4.91
TROAP	q<=2.2e-19	37.1	1.2	4.91
AURKB	q<=2.2e-19	61.4	2.1	4.90
RPRM	4.5e-06	1.0	29.9	-4.88
SFN	q<=2.2e-19	210.6	7.2	4.87
VSIG2	3.8e-05	1.3	36.2	-4.86
DPT	5.2e-04	1.0	28.8	-4.85
SPARCL1	1.6e-09	54.8	1575.8	-4.85
FHL1	1.3e-07	10.5	298.8	-4.83
FLNC	3.3e-04	2.1	59.2	-4.81
WT1-AS	5.5e-15	1.0	27.9	-4.80
PI3	1.9e-07	38.7	1.4	4.79
JPH4	1.1e-06	1.0	27.5	-4.78
CAVIN2	1.3e-06	2.7	72.5	-4.77
PRELP	2.6e-06	3.4	91.5	-4.76
CSDC2	1.4e-05	2.2	61.1	-4.76
PKMYT1	q<=2.2e-19	26.7	1.0	4.74
CEP55	q<=2.2e-19	26.8	1.0	4.74
CXCL12	5.9e-06	15.9	414.5	-4.71
NEK2	q<=2.2e-19	27.9	1.1	4.70
TPX2	q<=2.2e-19	53.4	2.1	4.70
PDE2A	9.4e-08	1.1	29.3	-4.70
CLEC3B	3.8e-07	2.0	52.5	-4.69
PPP1R12B	2.9e-06	4.6	116.7	-4.68
PAGE4	6.0e-04	1.0	25.7	-4.68
DACT3	3.3e-09	2.3	58.7	-4.66
MRGPRF	8.2e-08	4.6	115.9	-4.65
KIF20A	q<=2.2e-19	26.5	1.1	4.64
BNC2	4.4e-09	1.0	24.9	-4.64
ALDH1A2	2.8e-10	5.2	127.9	-4.63
SYNPO2	5.3e-06	4.3	104.5	-4.62
ASF1B	q<=2.2e-19	64.7	2.7	4.60
MFAP4	5.4e-10	17.5	420.4	-4.59
CLMP	5.2e-09	2.1	50.8	-4.58
CES1	9.9e-05	3.0	70.9	-4.55
JPH2	1.5e-06	1.0	22.8	-4.51
ACTA2	1.4e-05	75.7	1728.2	-4.51
CDO1	2.1e-11	1.0	22.1	-4.47
RRM2	q<=2.2e-19	39.1	1.8	4.46
MELK	q<=2.2e-19	21.9	1.0	4.46
GPRASP1	4.7e-11	1.3	28.8	-4.46
MYLK	2.0e-06	9.2	201.8	-4.45
TOP2A	q<=2.2e-19	44.8	2.1	4.42
TAGLN	1.2e-05	37.0	794.2	-4.42
OSR2	7.6e-11	14.9	317.3	-4.42
ABI3BP	4.4e-10	1.8	39.2	-4.41
CACNA1H	4.6e-07	1.8	39.0	-4.41
TFAP2A	q<=2.2e-19	21.3	1.0	4.41
DCN	2.0e-06	27.4	577.1	-4.40
TMPRSS13	q<=2.2e-19	21.0	1.0	4.39
ECM2	4.8e-08	1.9	39.0	-4.39
BUB1	q<=2.2e-19	20.8	1.0	4.38
LRRN4CL	4.8e-11	2.9	60.5	-4.38
MKI67	q<=2.2e-19	20.7	1.0	4.38
CDC45	q<=2.2e-19	20.9	1.0	4.38
SGCA	5.2e-04	1.0	20.7	-4.37
GATA6	5.5e-07	1.4	28.1	-4.35
PBK	q<=2.2e-19	20.4	1.0	4.35
ABCG2	4.7e-07	1.4	28.8	-4.33
TIMP3	7.0e-08	25.8	519.3	-4.33
DIO3OS	1.7e-05	1.7	33.4	-4.32
CPED1	4.1e-08	2.0	39.1	-4.32
FOXM1	q<=2.2e-19	25.7	1.3	4.30
FRMD6-AS2	1.0e-05	1.0	19.6	-4.29
HSD17B6	1.1e-06	1.1	21.0	-4.27
NDN	2.0e-14	8.5	163.5	-4.27
HJURP	q<=2.2e-19	19.2	1.0	4.26
TSPYL5	1.9e-14	1.6	29.8	-4.21
SLC24A3	2.7e-12	2.8	51.6	-4.21
APOD	2.5e-04	15.2	278.8	-4.19
OLFM1	1.0e-03	2.0	35.2	-4.17
PHYHIP	1.6e-09	1.6	28.2	-4.16
ITM2A	6.8e-07	5.7	101.5	-4.16
MAGI2-AS3	2.5e-12	2.1	37.3	-4.16
SPC24	q<=2.2e-19	35.9	2.0	4.15
CYS1	5.9e-06	1.7	29.5	-4.15
SRPX	6.7e-06	2.5	43.6	-4.14
FGF7	2.2e-07	1.0	17.7	-4.14
LGI4	2.6e-07	1.0	18.4	-4.14
CENPA	q<=2.2e-19	17.5	1.0	4.13
GALNT17	4.4e-06	1.0	17.5	-4.13
HLF	8.2e-07	1.0	17.5	-4.13
PID1	2.4e-07	1.0	17.5	-4.13
SAPCD2	q<=2.2e-19	17.3	1.0	4.11
F10	4.0e-09	2.3	39.2	-4.11
NUF2	q<=2.2e-19	17.2	1.0	4.10
CENPF	q<=2.2e-19	21.4	1.2	4.10
MEIS3	3.3e-10	5.7	98.1	-4.10
PLK1	q<=2.2e-19	39.4	2.3	4.09
FAM83D	q<=2.2e-19	17.5	1.0	4.09
ABCA8	1.4e-06	1.0	17.0	-4.09
CCDC144NL-AS1	9.0e-04	1.0	16.9	-4.08
DLGAP5	q<=2.2e-19	16.9	1.0	4.08
C1QTNF7	3.5e-08	1.0	16.7	-4.06
ZFPM2	2.8e-07	1.0	16.7	-4.06
COL4A6	3.0e-05	1.0	16.7	-4.06
MMP28	1.8e-05	1.0	16.9	-4.06
CDCA8	q<=2.2e-19	29.0	1.7	4.06
ARHGAP6	3.9e-09	1.0	16.5	-4.05
PLIN4	4.4e-07	1.4	22.6	-4.05
RAMP1	1.8e-09	51.1	847.7	-4.05
MEDAG	4.5e-04	1.1	17.7	-4.04
EFEMP1	9.3e-09	8.6	140.9	-4.04
MAOB	1.1e-12	13.3	216.1	-4.02
FBXO32	1.4e-08	7.4	120.0	-4.02
FOXL2	3.1e-05	1.9	31.0	-4.02
SLC22A3	3.7e-06	1.0	16.3	-4.02
MSRB3	2.2e-06	3.9	63.2	-4.01
TSHZ3	1.5e-10	4.4	69.8	-4.00
FGF2	2.2e-12	1.0	16.0	-4.00
AQP5-AS1	q<=2.2e-19	42.8	2.7	4.00
KCNMA1	1.8e-07	3.2	50.6	-3.99
TGFBR3	5.0e-09	4.2	66.5	-3.99
ADAM33	2.3e-05	2.9	45.2	-3.98
PODN	4.6e-06	4.2	65.4	-3.96
AKT3	7.7e-11	3.2	49.4	-3.96
ATOH8	2.5e-08	1.5	23.2	-3.96
EMCN	2.7e-07	2.2	33.7	-3.95
RERGL	6.1e-04	1.0	15.4	-3.94
MSX1	2.6e-15	446.3	29.1	3.94
CCNB2	q<=2.2e-19	58.0	3.8	3.94
KIFC1	q<=2.2e-19	52.1	3.4	3.94
ADGRD1	2.4e-07	1.0	15.2	-3.93
CTSV	2.6e-19	18.6	1.2	3.93
TUB	1.4e-11	1.3	19.4	-3.92
SERTM1	1.4e-05	1.4	21.2	-3.92
GTSE1	q<=2.2e-19	15.2	1.0	3.92
C11orf96	6.4e-06	14.7	221.1	-3.91
NAP1L3	1.4e-10	1.1	17.1	-3.91
AVPR1A	6.3e-06	1.0	15.0	-3.91
PLSCR4	4.9e-10	2.7	40.6	-3.90
CYP1B1	7.7e-08	3.4	50.9	-3.90
JCAD	6.0e-11	2.7	40.5	-3.89
CPA3	5.5e-04	1.0	14.8	-3.89
GNG7	5.1e-12	1.2	18.2	-3.88
TK1	q<=2.2e-19	138.8	9.5	3.88
DIRAS1	4.0e-08	1.0	14.7	-3.88
NEXN	3.3e-06	2.1	30.9	-3.87
S100A2	q<=2.2e-19	44.0	3.0	3.87
AOC3	2.4e-05	3.6	51.8	-3.86
ESPN	1.0e-18	36.3	2.5	3.85
KIF1A	q<=2.2e-19	14.4	1.0	3.85
JAM2	1.7e-08	3.5	50.4	-3.84
PTTG1	q<=2.2e-19	105.3	7.4	3.84
NXPH3	6.8e-09	1.0	14.2	-3.83
KIF2C	q<=2.2e-19	28.5	2.0	3.83
HOXB9	q<=2.2e-19	25.3	1.8	3.83
ADAMTS5	5.1e-06	1.3	18.8	-3.82
