GeneID,Phylostrata,EnsemblID,Entrez
A1BG,12,ENSG00000121410,1
A1CF,4,ENSG00000148584,29974
A1CF,4,ENSDARG00000002968,562916
A2M,5,ENSG00000175899,2
A2ML1,5,ENSG00000166535,144568
A4GALT,2,ENSG00000128274,53947
A4GALT,2,ENSGALG00010012867,418223
A4GNT,9,ENSG00000118017,51146
A4GNT,9,ENSGALG00010024560,429136
AAAS,2,ENSG00000291836,8086
AAAS,2,ENSGALG00010024389,100859661
AACS,1,ENSG00000081760,65985
AACS,1,ENSGALG00010020928,416811
AADAC,1,ENSG00000114771,13
AADAC,1,ENSGALG00010001708,425034
AADACL2,1,ENSG00000261846,344752
AADACL3,6,ENSG00000188984,126767
AADACL4,8,ENSG00000204518,343066
AAGAB,5,ENSG00000103591,79719
AAGAB,5,ENSGALG00010018150,415553
AAK1,2,ENSGALG00010017516,419512
AAK1,2,ENSG00000115977,22848
AAK1,2,ENSDARG00000011855,568999
AAMP,2,ENSG00000127837,14
AAMP,2,ENSGALG00010019223,769880
AANAT,1,ENSG00000129673,15
AANAT,1,ENSGALG00010029400,396066
AAR2,2,ENSG00000131043,25980
AAR2,2,ENSGALG00010024639,419118
AARD,13,ENSG00000205002,441376
AARS2,1,ENSDARG00000107385,100536819
AARS2,1,ENSG00000124608,57505
AARS2,1,ENSGALG00010018354,421436
AASDH,1,ENSGALG00010014902,422744
AASDH,1,ENSG00000157426,132949
AASDHPPT,1,ENSGALG00010005177,418975
AASDHPPT,1,ENSG00000149313,60496
AASS,1,ENSG00000008311,10157
AASS,1,ENSGALG00010001234,417757
AATF,2,ENSGALG00010029352,417653
AATF,2,ENSG00000276072,26574
AATK,8,ENSG00000181409,9625
AATK,8,ENSDARG00000078222,100004850
AATK,8,ENSGALG00010029542,422076
ABAT,1,ENSG00000183044,18
ABAT,1,ENSGALG00010017337,416642
ABCA1,1,ENSG00000165029,19
ABCA1,1,ENSGALG00010014122,373945
ABCA10,1,ENSG00000154263,10349
